,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,mov_oc_25000_18,state_x,county_x,tract_x,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,2821.0,2780.0,1034.0,69125.0,171700.0,20448.0,571.0,365.0,1951.0,317.0,156.0,10.0,28.0,1050.0,28.0,171.0,932.0,102.0,744.0,34390.0,33.0,39.0,11.0,22.0,27.0,48.0,43.0,77.0,68.0,50.0,149.0,149.0,67.0,120.0,72.0,59.0,121.0,14.0,0.0,26.0,13.0,17.0,0.0,46.0,5.0,49.0,7.0,2.0,7.0,39,055,312000,5.0,11.0,4.0,0.0,13.0,24.0,9.0,0.0,0.0,4.0,6.0,5.0,0.0,0.0,9.0,0.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,39055312000,171700.0,13256.0,886.0,72.0,48.0,16.0,0.0,21.0,8.0,0.0,3.0,0.0,0.0,68.0,13.0,4.0,11.0,3.0,16.0,9.0,0.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30168.0,39,055,312000
1,6611.0,6428.0,2540.0,81857.0,217400.0,15366.0,1146.0,47.0,4764.0,1461.0,316.0,27.0,153.0,2612.0,101.0,88.0,2413.0,127.0,1245.0,36310.0,76.0,137.0,55.0,54.0,13.0,101.0,128.0,116.0,103.0,103.0,301.0,314.0,402.0,249.0,204.0,184.0,47.0,25.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,147.0,20.0,0.0,17.0,39,055,310600,16.0,25.0,43.0,26.0,0.0,18.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39055310600,229400.0,15561.0,1000.0,430.0,85.0,41.0,0.0,20.0,24.0,0.0,0.0,0.0,0.0,74.0,30.0,17.0,0.0,27.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35836.0,39,055,310600
2,3664.0,3618.0,1059.0,56625.0,179600.0,14576.0,713.0,64.0,1927.0,192.0,59.0,9.0,0.0,1149.0,60.0,231.0,876.0,183.0,870.0,26689.0,11.0,26.0,41.0,52.0,0.0,80.0,108.0,69.0,92.0,97.0,171.0,119.0,64.0,60.0,49.0,20.0,83.0,0.0,13.0,17.0,26.0,27.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,39,055,311000,5.0,2.0,0.0,0.0,5.0,12.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39055311000,172200.0,14877.0,854.0,73.0,40.0,9.0,5.0,10.0,0.0,16.0,0.0,0.0,0.0,30.0,7.0,0.0,9.0,5.0,9.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,31616.0,39,055,311000
3,4438.0,4249.0,1738.0,56402.0,171800.0,7108.0,896.0,52.0,2958.0,474.0,153.0,40.0,6.0,1794.0,118.0,406.0,1237.0,501.0,955.0,26750.0,90.0,116.0,44.0,43.0,81.0,62.0,53.0,99.0,107.0,226.0,295.0,193.0,132.0,46.0,43.0,108.0,320.0,64.0,12.0,49.0,41.0,86.0,37.0,23.0,8.0,158.0,46.0,15.0,34.0,39,055,311300,11.0,4.0,14.0,4.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39055311300,184800.0,12011.0,695.0,79.0,137.0,35.0,19.0,27.0,19.0,23.0,4.0,0.0,10.0,33.0,15.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27133.0,39,055,311300
4,3706.0,3612.0,1621.0,71326.0,233100.0,22815.0,868.0,198.0,2800.0,596.0,234.0,74.0,31.0,1750.0,78.0,117.0,1501.0,120.0,1200.0,36851.0,19.0,38.0,63.0,116.0,71.0,89.0,42.0,47.0,35.0,140.0,178.0,184.0,179.0,118.0,189.0,113.0,27.0,0.0,0.0,8.0,8.0,8.0,0.0,0.0,3.0,51.0,10.0,12.0,0.0,39,055,310700,18.0,0.0,0.0,0.0,11.0,17.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39055310700,241000.0,16955.0,983.0,200.0,111.0,49.0,0.0,0.0,9.0,40.0,13.0,0.0,0.0,31.0,6.0,0.0,11.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,35738.0,39,055,310700
5,5355.0,5279.0,2199.0,106712.0,283100.0,35531.0,1415.0,333.0,4084.0,1353.0,519.0,192.0,133.0,2347.0,1.0,323.0,2018.0,181.0,1672.0,45417.0,18.0,66.0,66.0,40.0,18.0,57.0,19.0,64.0,30.0,127.0,263.0,259.0,254.0,211.0,292.0,415.0,37.0,1.0,0.0,0.0,12.0,12.0,12.0,0.0,0.0,113.0,0.0,0.0,10.0,39,055,311500,0.0,0.0,47.0,0.0,56.0,6.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,38.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,39055311500,316000.0,30852.0,679.0,564.0,23.0,11.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,13.0,39.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40556.0,39,055,311500
6,4355.0,3790.0,1807.0,109671.0,347700.0,87799.0,1199.0,120.0,3077.0,1408.0,412.0,270.0,44.0,1857.0,81.0,284.0,1491.0,316.0,1546.0,49500.0,86.0,30.0,36.0,42.0,7.0,33.0,77.0,37.0,27.0,113.0,179.0,174.0,120.0,156.0,170.0,520.0,88.0,0.0,0.0,8.0,8.0,15.0,0.0,32.0,25.0,126.0,10.0,0.0,0.0,39,055,311700,9.0,10.0,36.0,0.0,61.0,52.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,39.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,39055311700,282000.0,18454.0,1072.0,194.0,66.0,0.0,0.0,0.0,8.0,12.0,8.0,0.0,38.0,64.0,39.0,0.0,0.0,13.0,12.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,40582.0,39,055,311700
7,4169.0,4104.0,1036.0,64167.0,188700.0,11754.0,633.0,301.0,1978.0,163.0,75.0,13.0,0.0,1080.0,78.0,196.0,916.0,120.0,947.0,27009.0,15.0,0.0,9.0,34.0,26.0,45.0,93.0,36.0,89.0,132.0,153.0,129.0,103.0,70.0,54.0,48.0,54.0,7.0,0.0,0.0,26.0,12.0,9.0,0.0,0.0,78.0,8.0,0.0,9.0,39,055,312100,18.0,26.0,9.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39055312100,169700.0,6614.0,820.0,188.0,80.0,41.0,0.0,15.0,15.0,0.0,9.0,0.0,0.0,112.0,97.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25485.0,39,055,312100
8,5464.0,5162.0,2409.0,70096.0,178600.0,21355.0,731.0,28.0,3909.0,767.0,324.0,64.0,8.0,2587.0,192.0,562.0,1436.0,973.0,911.0,32986.0,163.0,61.0,182.0,86.0,77.0,15.0,117.0,92.0,87.0,207.0,171.0,466.0,171.0,273.0,152.0,89.0,165.0,19.0,0.0,52.0,10.0,45.0,32.0,0.0,7.0,211.0,10.0,15.0,50.0,39,055,312201,65.0,0.0,25.0,16.0,30.0,51.0,0.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,16.0,39055312201,180500.0,12468.0,721.0,114.0,379.0,97.0,5.0,192.0,59.0,13.0,0.0,0.0,13.0,82.0,41.0,0.0,16.0,0.0,19.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,26829.0,39,055,312201
9,6500.0,6205.0,2236.0,128977.0,310600.0,26527.0,971.0,360.0,4568.0,1331.0,558.0,235.0,91.0,2408.0,13.0,187.0,2178.0,58.0,1666.0,47696.0,46.0,0.0,29.0,13.0,39.0,57.0,64.0,27.0,45.0,57.0,66.0,228.0,408.0,298.0,510.0,349.0,24.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0,228.0,29.0,49.0,28.0,39,055,311900,0.0,43.0,24.0,0.0,55.0,90.0,0.0,0.0,27.0,0.0,0.0,14.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39055311900,282300.0,15706.0,1442.0,525.0,86.0,24.0,0.0,20.0,15.0,0.0,0.0,6.0,21.0,29.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,22.0,23.0,0.0,37614.0,39,055,311900
