,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
0,8378,1535,2714,457,2257,08,001,007800,08001007800,4407,86,17,9,10,62,22,14,0,104700,527,2706,25351,514,327,218,263,307,225,199,145,177,170,87,69,0,0,0,5
1,6617,1312,1944,732,1212,08,001,007900,08001007900,3517,75,46,7,8,61,13,0,0,109900,587,1948,28734,236,184,163,179,289,112,125,101,121,104,140,76,74,6,24,14
2,6183,1817,1877,1303,574,08,001,008000,08001008000,3483,91,6,15,0,61,4,20,7,114600,615,1931,38395,166,37,116,164,212,136,182,131,141,195,183,160,65,32,5,6
3,1050,522,370,107,263,08,001,008100,08001008100,499,39,14,10,6,20,0,0,4,9999,721,317,33967,10,28,39,22,22,47,15,23,20,46,38,7,0,0,0,0
4,5393,2395,1558,1334,224,08,001,008200,08001008200,3350,157,36,11,9,104,49,19,0,132000,798,1561,48107,64,40,89,89,93,99,74,161,98,232,268,172,35,22,13,12
5,4972,2282,1847,1118,729,08,001,008308,08001008308,2988,142,29,11,8,67,15,8,0,42600,591,1848,31346,229,147,140,222,151,180,101,89,69,218,143,118,16,15,0,10
6,3052,1783,1096,794,302,08,001,008309,08001008309,1753,34,6,10,0,49,0,0,0,29700,634,1092,36270,112,75,57,55,87,128,133,56,89,127,109,46,12,6,0,0
7,4612,2994,1554,1371,183,08,001,008353,08001008353,2722,145,16,6,0,167,35,11,0,131000,1027,1567,53125,31,26,12,54,83,113,116,149,107,231,295,224,70,45,5,6
8,0,0,0,0,0,08,001,008385,08001008385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3261,3008,1168,953,215,08,001,008401,08001008401,2025,97,20,16,0,109,31,11,0,134100,659,1168,52052,44,38,23,57,67,95,51,73,81,174,187,134,76,18,20,30
10,2389,2222,860,703,157,08,001,008402,08001008402,1541,87,42,15,4,103,39,7,0,171400,751,872,50333,46,47,24,43,34,68,46,64,60,93,134,131,44,9,15,14
11,7169,5234,2437,2059,378,08,001,008505,08001008505,4605,147,95,16,0,162,31,29,0,133700,861,2444,48167,69,27,166,84,118,195,175,255,210,361,331,322,89,17,17,8
12,4504,3158,1984,564,1420,08,001,008506,08001008506,2819,145,65,0,6,171,54,5,0,116200,649,2004,36074,120,128,139,134,190,239,205,146,100,237,191,125,41,6,0,3
13,6511,4864,2101,1873,228,08,001,008507,08001008507,4092,224,91,18,8,269,31,15,7,144700,1015,2106,60672,38,50,86,28,53,159,77,131,172,234,427,449,110,46,25,21
14,4750,3695,1584,1460,124,08,001,008508,08001008508,3015,130,62,15,0,243,43,0,0,162300,1092,1588,64907,40,21,65,34,83,74,37,99,93,172,339,377,101,23,30,0
15,2194,1595,750,652,98,08,001,008512,08001008512,1456,88,12,5,0,71,16,13,0,206500,583,734,58056,34,15,0,33,56,33,20,65,28,90,59,141,36,52,19,53
16,6442,5231,2176,2039,137,08,001,008515,08001008515,4063,527,166,21,56,520,143,64,16,200500,1574,2181,74890,36,40,13,32,74,45,105,58,74,223,392,549,290,93,62,95
17,6621,5446,2171,1982,189,08,001,008516,08001008516,3955,410,51,37,24,312,41,39,8,141900,1245,2166,57042,58,63,38,89,77,64,78,214,107,345,389,432,125,44,25,18
18,2536,2253,851,793,58,08,001,008520,08001008520,1645,121,114,30,27,143,91,18,0,351000,1446,828,86244,12,6,0,19,35,13,0,21,32,42,167,168,146,33,75,59
19,1501,1355,515,483,32,08,001,008521,08001008521,1068,87,20,9,0,64,39,6,0,297300,1073,540,82565,34,8,14,0,14,5,24,19,13,13,96,142,38,57,25,38
20,5067,3849,1827,1491,336,08,001,008522,08001008522,3372,248,81,25,8,270,49,8,0,157300,825,1816,52813,95,112,85,79,139,155,52,56,66,257,218,281,115,27,73,6
21,3888,3118,1343,1153,190,08,001,008523,08001008523,2462,170,80,21,0,279,39,0,0,237500,1128,1229,58574,62,16,51,28,71,65,23,73,110,152,201,165,76,77,35,24
22,5877,4627,1857,1819,38,08,001,008524,08001008524,3708,421,90,23,22,406,73,32,0,189400,1307,1985,67603,24,8,18,0,8,29,75,130,116,343,475,403,176,117,39,24
23,6093,5100,1952,1899,53,08,001,008525,08001008525,3776,485,115,6,19,422,107,30,0,207000,1261,1950,81187,25,25,18,7,64,45,60,77,7,250,292,468,283,189,104,36
24,6230,5111,2173,1879,294,08,001,008526,08001008526,3922,704,213,23,23,537,202,23,0,231700,963,2179,79702,11,9,29,18,63,63,80,101,84,139,381,464,359,193,85,100
25,4950,4113,1730,1606,124,08,001,008527,08001008527,3168,345,73,32,34,425,68,0,10,175400,1196,1726,62266,69,25,33,60,65,97,62,74,55,294,271,395,87,81,51,7
26,5127,4074,2172,1455,717,08,001,008528,08001008528,3349,550,180,16,0,456,188,17,0,169500,883,2168,59798,77,29,81,77,148,87,71,177,78,264,341,425,163,85,32,33
27,3606,2892,1532,765,767,08,001,008529,08001008529,2359,178,61,26,8,322,71,8,6,194500,897,1501,58073,28,32,8,47,112,117,105,117,103,100,272,272,110,26,43,9
28,9505,7372,3129,2679,450,08,001,008530,08001008530,5735,536,83,52,6,579,97,37,0,160700,982,3154,62016,67,32,75,36,100,146,178,167,232,444,684,650,199,72,37,35
29,6046,4785,1992,1840,152,08,001,008531,08001008531,3722,375,60,15,19,276,45,0,0,168500,847,1989,64663,18,45,29,60,64,60,90,114,80,321,327,463,192,66,31,29
30,2575,1928,1090,582,508,08,001,008533,08001008533,1681,150,50,20,0,145,100,14,6,176700,1053,1104,52447,44,84,81,59,60,58,54,58,8,121,189,147,75,53,13,0
31,4597,3493,1424,1331,93,08,001,008534,08001008534,2695,144,34,10,6,187,66,0,0,152700,1108,1426,64359,21,17,27,22,38,57,68,91,97,154,344,343,95,20,32,0
32,2262,621,657,400,257,08,001,008603,08001008603,1290,16,0,0,0,16,0,0,0,103100,593,657,35108,36,57,51,35,77,70,104,36,21,78,33,45,14,0,0,0
33,3937,2083,947,743,204,08,001,008604,08001008604,2473,107,39,22,8,92,19,16,0,141900,870,953,49393,34,16,25,55,41,96,77,58,83,130,121,143,48,21,5,0
34,3525,2438,1254,927,327,08,001,008605,08001008605,2186,109,105,24,5,152,36,17,0,171000,573,1253,54345,48,35,58,94,73,76,65,59,58,130,188,215,79,45,30,0
35,5465,2718,1849,1059,790,08,001,008606,08001008606,3129,120,31,17,0,118,37,11,0,128700,706,1856,41116,153,110,70,169,150,131,91,180,112,178,331,81,55,43,0,2
36,0,0,0,0,0,08,001,008701,08001008701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6497,2531,2127,1100,1027,08,001,008703,08001008703,3674,37,0,10,0,20,0,5,0,108800,563,2132,30900,320,145,151,209,196,174,110,192,72,233,183,71,15,22,0,39
38,4640,2192,1535,1052,483,08,001,008705,08001008705,2914,60,10,0,0,53,10,5,0,112200,653,1537,37830,174,62,79,139,144,93,140,98,106,151,192,90,41,5,8,15
39,5384,2108,1623,969,654,08,001,008706,08001008706,3018,47,0,12,0,35,13,0,0,105700,646,1626,32273,185,127,134,133,144,164,101,87,72,118,180,120,21,7,14,19
40,4807,2104,1479,1032,447,08,001,008801,08001008801,2716,17,5,6,0,55,5,0,0,102200,733,1481,34018,172,98,65,147,143,132,91,116,64,166,172,49,27,15,13,11
41,3706,1920,1218,881,337,08,001,008802,08001008802,2220,69,7,30,0,24,0,5,0,78500,582,1199,38794,89,96,56,90,106,99,91,81,83,163,136,58,33,7,4,7
42,2418,996,742,541,201,08,001,008901,08001008901,1419,4,0,0,0,44,8,0,0,112400,753,761,32656,88,35,68,106,75,46,43,90,34,63,71,42,0,0,0,0
43,495,258,208,128,80,08,001,008952,08001008952,291,0,0,0,0,0,0,0,0,113200,542,186,32500,15,16,20,35,0,23,20,9,32,7,0,9,0,0,0,0
44,4520,2404,1440,1013,427,08,001,009001,08001009001,2554,73,20,11,0,63,5,6,0,131300,548,1494,39032,183,128,78,92,123,56,111,96,85,171,207,121,26,3,10,4
45,7379,4060,2662,1917,745,08,001,009002,08001009002,4497,200,20,7,0,227,36,41,6,120200,621,2689,41601,180,100,164,95,273,213,210,247,171,303,287,294,115,18,5,14
46,2026,1497,887,786,101,08,001,009003,08001009003,1464,34,2,4,0,34,6,0,0,56100,492,852,33077,60,67,93,84,70,82,54,55,36,46,123,42,23,8,9,0
47,3989,2440,1329,1142,187,08,001,009101,08001009101,2498,51,12,0,14,67,14,12,0,117500,839,1318,44265,54,49,92,100,89,72,87,131,71,97,248,157,35,15,5,16
48,3149,2357,1151,1034,117,08,001,009103,08001009103,1778,47,9,0,0,32,0,0,0,33900,698,1170,41739,40,22,50,82,118,146,79,124,77,175,160,82,8,0,0,7
49,3958,2687,1394,1056,338,08,001,009104,08001009104,2117,123,40,8,0,59,28,8,0,120200,816,1366,47373,33,37,72,97,63,133,71,102,156,243,127,159,47,17,9,0
