,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
0,3969.0,2124.0,2097.0,181.0,478.0,872.0,694.0,193.0,147.0,12.0,53000.0,276.0,11984.0,418.0,1555.0,306.0,510.0,293.0,145.0,164.0,181.0,69.0,27.0,41.0,66.0,73.0,25.0,59.0,32.0,0.0,0.0,10.0,15.0,37.0,15.0,11.0,18.0,0.0,0.0,0.0,08,001,007800,08001007800
1,3393.0,1814.0,1392.0,139.0,334.0,695.0,498.0,121.0,92.0,27.0,53300.0,335.0,20270.0,546.0,820.0,214.0,185.0,59.0,53.0,74.0,100.0,102.0,83.0,46.0,57.0,63.0,24.0,49.0,57.0,8.0,17.0,31.0,17.0,42.0,63.0,24.0,7.0,9.0,0.0,8.0,08,001,007900,08001007900
2,4111.0,2582.0,1588.0,129.0,365.0,952.0,746.0,184.0,229.0,59.0,61800.0,445.0,29023.0,1104.0,516.0,107.0,96.0,91.0,47.0,77.0,46.0,107.0,82.0,74.0,110.0,70.0,88.0,68.0,88.0,90.0,50.0,44.0,45.0,92.0,15.0,68.0,33.0,0.0,0.0,0.0,08,001,008000,08001008000
3,2069.0,1532.0,448.0,21.0,48.0,160.0,295.0,94.0,201.0,236.0,0.0,461.0,26920.0,112.0,340.0,5.0,21.0,26.0,18.0,27.0,25.0,49.0,0.0,69.0,23.0,21.0,17.0,16.0,18.0,14.0,0.0,30.0,12.0,7.0,6.0,7.0,15.0,22.0,0.0,0.0,08,001,008100,08001008100
4,4589.0,3079.0,1497.0,122.0,358.0,1012.0,799.0,268.0,295.0,83.0,66000.0,640.0,34406.0,1238.0,245.0,16.0,48.0,16.0,53.0,63.0,54.0,79.0,82.0,65.0,100.0,126.0,61.0,74.0,107.0,66.0,49.0,84.0,48.0,89.0,37.0,141.0,39.0,0.0,0.0,0.0,08,001,008200,08001008200
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,001,008288,08001008288
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,001,008289,08001008289
7,3652.0,2485.0,1622.0,148.0,415.0,880.0,621.0,179.0,112.0,34.0,78900.0,322.0,20669.0,1038.0,609.0,107.0,306.0,127.0,75.0,98.0,75.0,86.0,74.0,84.0,55.0,68.0,77.0,59.0,25.0,44.0,48.0,20.0,37.0,60.0,29.0,41.0,18.0,0.0,0.0,9.0,08,001,008308,08001008308
8,2423.0,1927.0,877.0,35.0,168.0,545.0,388.0,111.0,90.0,6.0,63800.0,466.0,22732.0,548.0,331.0,37.0,87.0,36.0,35.0,61.0,96.0,80.0,70.0,24.0,58.0,67.0,15.0,33.0,27.0,44.0,20.0,13.0,18.0,6.0,14.0,20.0,10.0,6.0,0.0,0.0,08,001,008309,08001008309
9,3467.0,2998.0,1142.0,62.0,215.0,755.0,610.0,186.0,156.0,25.0,66100.0,665.0,34153.0,913.0,209.0,29.0,11.0,22.0,22.0,32.0,39.0,73.0,59.0,72.0,75.0,96.0,62.0,76.0,70.0,49.0,43.0,74.0,64.0,60.0,53.0,39.0,7.0,8.0,7.0,0.0,08,001,008353,08001008353
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,08,001,008383,08001008383
