,FIPS,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,trtid_base,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,trtid00
0,53033000100,5530.0,3291.0,2573.0,834.0,1739.0,53,033,000100,53033000100,3749.0,404.0,246.0,138.0,54.0,420.0,232.0,89.0,60.0,267600.0,653.0,2581.0,31980.0,422.0,190.0,153.0,261.0,175.0,234.0,109.0,101.0,69.0,211.0,205.0,224.0,43.0,46.0,73.0,65.0,53033000100
1,53033000200,7345.0,5042.0,3361.0,1885.0,1476.0,53,033,000200,53033000200,5459.0,701.0,256.0,68.0,71.0,760.0,240.0,37.0,40.0,195600.0,744.0,3379.0,43470.0,308.0,180.0,151.0,193.0,220.0,241.0,204.0,239.0,165.0,372.0,376.0,389.0,137.0,114.0,71.0,19.0,53033000200
2,53033000300,2485.0,1752.0,1067.0,694.0,373.0,53,033,000300,53033000300,1793.0,167.0,62.0,10.0,5.0,207.0,43.0,10.0,6.0,189100.0,852.0,1063.0,45108.0,74.0,18.0,44.0,32.0,79.0,94.0,104.0,83.0,114.0,78.0,142.0,125.0,48.0,15.0,13.0,0.0,53033000300
3,53033000401,4734.0,3328.0,2669.0,779.0,1890.0,53,033,000401,53033000401,3595.0,350.0,55.0,48.0,31.0,394.0,64.0,34.0,22.0,186000.0,658.0,2675.0,28821.0,492.0,246.0,177.0,220.0,261.0,146.0,183.0,159.0,90.0,197.0,193.0,155.0,58.0,22.0,60.0,16.0,53033000401
4,53033000402,4582.0,3570.0,2148.0,1044.0,1104.0,53,033,000402,53033000402,3576.0,332.0,151.0,27.0,0.0,469.0,181.0,24.0,25.0,226000.0,797.0,2156.0,42444.0,98.0,44.0,141.0,171.0,161.0,225.0,108.0,178.0,128.0,113.0,280.0,180.0,193.0,39.0,42.0,55.0,53033000402
5,53033000500,3296.0,2891.0,1343.0,1266.0,77.0,53,033,000500,53033000500,2512.0,432.0,171.0,101.0,33.0,502.0,164.0,26.0,21.0,356300.0,1108.0,1346.0,71983.0,38.0,27.0,41.0,44.0,22.0,54.0,40.0,107.0,14.0,95.0,214.0,192.0,193.0,72.0,79.0,114.0,53033000500
6,53033000600,7361.0,4678.0,3172.0,1819.0,1353.0,53,033,000600,53033000600,5298.0,665.0,272.0,124.0,27.0,711.0,231.0,101.0,17.0,203000.0,819.0,3158.0,42938.0,220.0,227.0,221.0,197.0,125.0,260.0,225.0,170.0,171.0,277.0,381.0,311.0,154.0,94.0,68.0,57.0,53033000600
7,53033000700,4189.0,2703.0,2030.0,805.0,1225.0,53,033,000700,53033000700,2954.0,380.0,197.0,33.0,18.0,404.0,138.0,24.0,8.0,195500.0,691.0,2037.0,36080.0,161.0,100.0,188.0,209.0,172.0,144.0,147.0,119.0,73.0,208.0,172.0,221.0,74.0,21.0,22.0,6.0,53033000700
8,53033000800,2600.0,1994.0,1036.0,774.0,262.0,53,033,000800,53033000800,1883.0,232.0,103.0,11.0,42.0,286.0,173.0,11.0,0.0,217600.0,996.0,1032.0,59000.0,32.0,35.0,62.0,49.0,35.0,62.0,58.0,42.0,42.0,111.0,135.0,204.0,64.0,72.0,29.0,0.0,53033000800
9,53033000900,2044.0,1752.0,867.0,740.0,127.0,53,033,000900,53033000900,1527.0,187.0,135.0,89.0,67.0,322.0,163.0,38.0,63.0,398000.0,1175.0,842.0,81118.0,19.0,18.0,14.0,28.0,14.0,12.0,22.0,17.0,48.0,90.0,109.0,106.0,70.0,80.0,75.0,120.0,53033000900
