,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
235,4891.0,3526.0,2385.0,236.0,291.0,651.0,922.0,180.0,643.0,451.0,171600.0,447.0,23782.0,828.0,1560.0,121.0,343.0,112.0,236.0,130.0,123.0,87.0,79.0,125.0,158.0,35.0,73.0,42.0,38.0,65.0,38.0,38.0,59.0,66.0,48.0,111.0,125.0,52.0,28.0,53.0,53,033,000100,53033000100
236,7097.0,5575.0,3276.0,92.0,312.0,1385.0,1407.0,366.0,1134.0,506.0,125100.0,534.0,31395.0,1824.0,1449.0,58.0,197.0,104.0,77.0,127.0,181.0,292.0,177.0,180.0,144.0,181.0,118.0,171.0,76.0,136.0,119.0,135.0,80.0,187.0,90.0,216.0,167.0,25.0,16.0,22.0,53,033,000200,53033000200
237,2466.0,1947.0,1051.0,83.0,133.0,398.0,531.0,172.0,287.0,149.0,120200.0,571.0,30302.0,650.0,379.0,51.0,56.0,35.0,38.0,33.0,39.0,80.0,71.0,69.0,50.0,29.0,42.0,49.0,44.0,44.0,34.0,20.0,33.0,46.0,60.0,97.0,23.0,8.0,0.0,0.0,53,033,000300,53033000300
238,7953.0,6811.0,4162.0,278.0,542.0,1622.0,1781.0,367.0,1067.0,464.0,124600.0,483.0,26409.0,1820.0,2304.0,221.0,506.0,226.0,155.0,207.0,184.0,318.0,109.0,275.0,226.0,140.0,123.0,179.0,105.0,127.0,103.0,154.0,55.0,143.0,137.0,195.0,176.0,45.0,20.0,33.0,53,033,000400,53033000400
239,3123.0,2954.0,1284.0,35.0,89.0,481.0,557.0,127.0,741.0,377.0,198300.0,848.0,51724.0,1192.0,86.0,23.0,37.0,5.0,36.0,28.0,4.0,12.0,36.0,47.0,74.0,44.0,19.0,50.0,45.0,34.0,39.0,53.0,26.0,81.0,51.0,137.0,145.0,106.0,31.0,121.0,53,033,000500,53033000500
240,6585.0,5236.0,2911.0,189.0,430.0,1128.0,1178.0,402.0,978.0,527.0,132400.0,608.0,30325.0,1757.0,1186.0,87.0,225.0,95.0,136.0,170.0,130.0,210.0,71.0,188.0,121.0,173.0,75.0,101.0,82.0,112.0,67.0,61.0,57.0,131.0,92.0,247.0,191.0,66.0,17.0,6.0,53,033,000600,53033000600
241,3444.0,2771.0,1696.0,57.0,194.0,541.0,566.0,195.0,643.0,217.0,119000.0,485.0,28288.0,715.0,991.0,36.0,155.0,114.0,80.0,81.0,70.0,98.0,95.0,96.0,73.0,87.0,74.0,61.0,49.0,69.0,68.0,44.0,19.0,60.0,59.0,92.0,78.0,0.0,11.0,27.0,53,033,000700,53033000700
242,2422.0,2079.0,1004.0,43.0,113.0,333.0,466.0,182.0,431.0,284.0,128100.0,598.0,36585.0,721.0,266.0,58.0,28.0,11.0,35.0,38.0,5.0,47.0,37.0,46.0,53.0,51.0,48.0,71.0,48.0,25.0,30.0,67.0,24.0,59.0,28.0,31.0,106.0,29.0,23.0,6.0,53,033,000800,53033000800
243,1856.0,1647.0,827.0,34.0,57.0,206.0,235.0,100.0,414.0,408.0,233500.0,643.0,53510.0,734.0,112.0,19.0,48.0,0.0,27.0,43.0,46.0,22.0,0.0,15.0,7.0,28.0,37.0,17.0,7.0,35.0,15.0,13.0,18.0,23.0,48.0,108.0,114.0,62.0,36.0,39.0,53,033,000900,53033000900
244,1517.0,1243.0,616.0,16.0,48.0,258.0,212.0,84.0,317.0,157.0,140200.0,581.0,38833.0,412.0,167.0,7.0,11.0,8.0,14.0,28.0,37.0,18.0,36.0,45.0,47.0,7.0,31.0,11.0,15.0,62.0,19.0,12.0,28.0,24.0,21.0,73.0,32.0,12.0,13.0,5.0,53,033,001000,53033001000
245,2101.0,1790.0,837.0,62.0,92.0,396.0,313.0,98.0,360.0,237.0,139000.0,557.0,35893.0,626.0,217.0,29.0,23.0,16.0,50.0,6.0,40.0,28.0,37.0,35.0,54.0,58.0,25.0,49.0,17.0,26.0,0.0,62.0,14.0,26.0,10.0,100.0,98.0,4.0,13.0,17.0,53,033,001100,53033001100
246,5367.0,4002.0,2985.0,185.0,322.0,783.0,948.0,339.0,1041.0,245.0,131700.0,487.0,23825.0,799.0,2211.0,214.0,402.0,161.0,140.0,123.0,134.0,239.0,150.0,171.0,163.0,152.0,141.0,70.0,96.0,67.0,63.0,38.0,90.0,145.0,44.0,116.0,37.0,29.0,0.0,0.0,53,033,001200,53033001200
247,3872.0,3065.0,1867.0,164.0,264.0,662.0,553.0,290.0,595.0,223.0,110400.0,488.0,24929.0,663.0,1210.0,89.0,231.0,63.0,79.0,115.0,94.0,142.0,124.0,170.0,84.0,94.0,46.0,52.0,65.0,43.0,46.0,77.0,19.0,73.0,20.0,38.0,67.0,26.0,0.0,10.0,53,033,001300,53033001300
248,4384.0,3983.0,1956.0,109.0,306.0,903.0,661.0,255.0,720.0,243.0,132400.0,543.0,32137.0,1187.0,767.0,48.0,94.0,111.0,85.0,91.0,101.0,107.0,102.0,66.0,67.0,124.0,30.0,156.0,20.0,50.0,76.0,77.0,79.0,86.0,58.0,179.0,109.0,23.0,8.0,9.0,53,033,001400,53033001400
249,2372.0,2125.0,1010.0,62.0,83.0,313.0,483.0,122.0,541.0,225.0,186100.0,626.0,46462.0,827.0,165.0,12.0,41.0,32.0,15.0,24.0,47.0,31.0,31.0,12.0,18.0,20.0,44.0,33.0,40.0,34.0,40.0,53.0,59.0,96.0,35.0,65.0,107.0,69.0,5.0,47.0,53,033,001500,53033001500
250,3759.0,3572.0,1767.0,122.0,214.0,681.0,693.0,230.0,689.0,337.0,226800.0,566.0,43108.0,1334.0,400.0,24.0,88.0,36.0,53.0,82.0,62.0,53.0,60.0,72.0,50.0,68.0,61.0,50.0,56.0,51.0,72.0,36.0,74.0,73.0,64.0,170.0,210.0,55.0,57.0,90.0,53,033,001600,53033001600
251,6781.0,5369.0,3061.0,292.0,686.0,1160.0,1075.0,379.0,1001.0,324.0,103200.0,534.0,26172.0,1587.0,1480.0,164.0,304.0,143.0,145.0,153.0,192.0,121.0,218.0,193.0,82.0,150.0,105.0,189.0,98.0,177.0,83.0,69.0,73.0,144.0,83.0,90.0,47.0,35.0,3.0,0.0,53,033,001700,53033001700
252,3490.0,2820.0,1640.0,111.0,135.0,437.0,613.0,165.0,646.0,255.0,111600.0,533.0,28150.0,547.0,1081.0,16.0,137.0,78.0,34.0,84.0,75.0,158.0,130.0,76.0,123.0,90.0,97.0,65.0,49.0,90.0,69.0,62.0,31.0,42.0,20.0,87.0,22.0,0.0,0.0,5.0,53,033,001800,53033001800
253,3180.0,2715.0,1455.0,81.0,176.0,552.0,599.0,163.0,629.0,322.0,121700.0,573.0,36004.0,1007.0,425.0,13.0,84.0,39.0,14.0,75.0,76.0,91.0,46.0,59.0,66.0,79.0,63.0,56.0,40.0,89.0,26.0,42.0,58.0,79.0,80.0,158.0,71.0,41.0,6.0,4.0,53,033,001900,53033001900
254,2880.0,2533.0,1352.0,31.0,174.0,344.0,435.0,178.0,689.0,358.0,130400.0,519.0,34265.0,955.0,395.0,20.0,44.0,56.0,51.0,69.0,46.0,55.0,59.0,128.0,38.0,74.0,51.0,73.0,49.0,61.0,22.0,43.0,53.0,101.0,62.0,87.0,61.0,11.0,23.0,15.0,53,033,002000,53033002000
255,3433.0,2963.0,1542.0,43.0,167.0,484.0,586.0,211.0,728.0,429.0,136800.0,516.0,35500.0,1081.0,451.0,26.0,64.0,38.0,51.0,84.0,78.0,76.0,67.0,62.0,78.0,72.0,62.0,65.0,42.0,81.0,38.0,100.0,19.0,65.0,67.0,153.0,114.0,14.0,12.0,14.0,53,033,002100,53033002100
256,5326.0,4655.0,2224.0,32.0,109.0,522.0,865.0,254.0,1437.0,823.0,177900.0,607.0,50268.0,1868.0,364.0,0.0,38.0,44.0,25.0,82.0,40.0,94.0,104.0,96.0,107.0,76.0,70.0,31.0,56.0,46.0,68.0,78.0,48.0,150.0,129.0,237.0,303.0,151.0,46.0,105.0,53,033,002200,53033002200
257,175.0,116.0,6.0,0.0,0.0,30.0,20.0,8.0,11.0,0.0,0.0,725.0,48750.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53,033,002398,53033002398
258,2742.0,2258.0,1227.0,17.0,115.0,302.0,441.0,116.0,719.0,354.0,146400.0,593.0,36929.0,876.0,340.0,50.0,76.0,42.0,11.0,44.0,26.0,79.0,46.0,32.0,44.0,67.0,34.0,81.0,33.0,28.0,33.0,16.0,42.0,81.0,52.0,116.0,167.0,15.0,5.0,7.0,53,033,002400,53033002400
259,1332.0,1145.0,606.0,2.0,47.0,221.0,162.0,60.0,297.0,236.0,140000.0,808.0,40859.0,455.0,154.0,7.0,14.0,18.0,22.0,11.0,15.0,17.0,20.0,35.0,12.0,73.0,12.0,19.0,17.0,32.0,7.0,23.0,7.0,36.0,33.0,52.0,106.0,7.0,11.0,0.0,53,033,002500,53033002500
260,4181.0,3833.0,1843.0,71.0,150.0,388.0,604.0,192.0,967.0,680.0,146700.0,663.0,41306.0,1280.0,548.0,29.0,104.0,71.0,12.0,85.0,53.0,38.0,61.0,45.0,60.0,113.0,91.0,55.0,58.0,89.0,75.0,69.0,67.0,146.0,89.0,217.0,145.0,42.0,21.0,8.0,53,033,002600,53033002600
261,4753.0,4413.0,2123.0,73.0,217.0,617.0,661.0,239.0,1280.0,623.0,155100.0,620.0,34466.0,1475.0,665.0,71.0,107.0,57.0,70.0,83.0,48.0,81.0,104.0,123.0,68.0,152.0,124.0,50.0,69.0,120.0,43.0,23.0,37.0,59.0,133.0,180.0,193.0,27.0,25.0,76.0,53,033,002700,53033002700
262,3982.0,3654.0,1960.0,36.0,223.0,596.0,665.0,214.0,921.0,447.0,123400.0,519.0,30093.0,1103.0,837.0,25.0,171.0,129.0,82.0,81.0,90.0,117.0,79.0,122.0,82.0,54.0,101.0,50.0,67.0,87.0,51.0,101.0,20.0,72.0,90.0,198.0,75.0,6.0,0.0,10.0,53,033,002800,53033002800
