GEOID,Typology
8001009326,Stable Moderate/Mixed Income
8001009411,At Risk of Becoming Exclusive
8005005553,Low-Income/Susceptible to Displacement
8005005627,Stable Moderate/Mixed Income
8005006100,Low-Income/Susceptible to Displacement
8005006708,At Risk of Becoming Exclusive
8005006857,Becoming Exclusive
8005007301,Early/Ongoing Gentrification
8005007302,At Risk of Gentrification
8005007400,Low-Income/Susceptible to Displacement
8005080600,Low-Income/Susceptible to Displacement
8005082800,At Risk of Becoming Exclusive
8005084300,At Risk of Becoming Exclusive
8005085600,Stable Moderate/Mixed Income
8005087300,Low-Income/Susceptible to Displacement
8013012401,High Student Population
8013012607,High Student Population
8013013305,At Risk of Becoming Exclusive
8059009824,At Risk of Becoming Exclusive
8059009833,Stable Moderate/Mixed Income
8059010206,Stable Moderate/Mixed Income
8059011602,Low-Income/Susceptible to Displacement
8059011723,Low-Income/Susceptible to Displacement
8059011805,Early/Ongoing Gentrification
8059012038,At Risk of Becoming Exclusive
8059012052,At Risk of Becoming Exclusive
8059012058,At Risk of Becoming Exclusive
8001008546,Stable Moderate/Mixed Income
8001008604,Stable Moderate/Mixed Income
8001009207,At Risk of Becoming Exclusive
8001007801,At Risk of Gentrification
8001008506,Low-Income/Susceptible to Displacement
8013013308,Low-Income/Susceptible to Displacement
8013013701,At Risk of Becoming Exclusive
8014030400,At Risk of Becoming Exclusive
8014980100,Unavailable or Unreliable Data
8031000202,Early/Ongoing Gentrification
8031000902,At Risk of Gentrification
8031001702,High Student Population
8031002802,Early/Ongoing Gentrification
8031003300,Stable Moderate/Mixed Income
8031004202,Stable Moderate/Mixed Income
8031004601,At Risk of Gentrification
8031006811,Stable Moderate/Mixed Income
8031008390,Stable Moderate/Mixed Income
8035014006,Unavailable or Unreliable Data
8035014110,At Risk of Becoming Exclusive
8035014116,Stable Moderate/Mixed Income
8035014126,Unavailable or Unreliable Data
8035014300,Low-Income/Susceptible to Displacement
8013061300,Becoming Exclusive
8014030100,Stable Moderate/Mixed Income
8005006704,Stable/Advanced Exclusive
8005006709,At Risk of Becoming Exclusive
8005080000,At Risk of Gentrification
8005080500,Stable Moderate/Mixed Income
8005081200,At Risk of Gentrification
8005082000,Low-Income/Susceptible to Displacement
8005082900,Stable Moderate/Mixed Income
8005084200,At Risk of Becoming Exclusive
8001008000,At Risk of Gentrification
8001008507,At Risk of Becoming Exclusive
8001008508,At Risk of Becoming Exclusive
8001008542,Stable Moderate/Mixed Income
8001008548,Unavailable or Unreliable Data
8001008605,Stable Moderate/Mixed Income
8001009001,Low-Income/Susceptible to Displacement
8001009206,Stable Moderate/Mixed Income
8001009310,Low-Income/Susceptible to Displacement
8001009321,Ongoing Displacement
8059009839,At Risk of Becoming Exclusive
8059009851,Stable Moderate/Mixed Income
8001009410,At Risk of Becoming Exclusive
8001009603,Low-Income/Susceptible to Displacement
8059010210,At Risk of Becoming Exclusive
8059010307,Low-Income/Susceptible to Displacement
8059010604,Low-Income/Susceptible to Displacement
8059010902,Low-Income/Susceptible to Displacement
8005085000,Unavailable or Unreliable Data
8005086200,At Risk of Becoming Exclusive
8005086900,Advanced Gentrification
8013012102,Stable Moderate/Mixed Income
8013012202,High Student Population
8013012501,Stable Moderate/Mixed Income
8013012608,Advanced Gentrification
8013012903,Advanced Gentrification
8013013004,Stable Moderate/Mixed Income
8013013208,At Risk of Becoming Exclusive
8013013505,Low-Income/Susceptible to Displacement
8031000201,Low-Income/Susceptible to Displacement
8031000303,Advanced Gentrification
8031000701,At Risk of Gentrification
8031001000,At Risk of Gentrification
8031001701,At Risk of Becoming Exclusive
8031002000,At Risk of Becoming Exclusive
8031002402,Advanced Gentrification
8031002803,Low-Income/Susceptible to Displacement
8031003004,High Student Population
8031003401,Stable Moderate/Mixed Income
8031004003,Stable Moderate/Mixed Income
8031004700,At Risk of Becoming Exclusive
8031005502,At Risk of Becoming Exclusive
8031006813,Low-Income/Susceptible to Displacement
8031008305,Low-Income/Susceptible to Displacement
8031015400,At Risk of Becoming Exclusive
8035014005,Stable Moderate/Mixed Income
8035014007,Stable Moderate/Mixed Income
8035014138,Stable Moderate/Mixed Income
8059012039,At Risk of Becoming Exclusive
8059012045,Stable Moderate/Mixed Income
8059012051,Stable Moderate/Mixed Income
8005005614,Stable Moderate/Mixed Income
8059012059,Stable Moderate/Mixed Income
8059980000,Unavailable or Unreliable Data
8059980400,Unavailable or Unreliable Data
8059011709,Low-Income/Susceptible to Displacement
8059011725,At Risk of Becoming Exclusive
8059011803,Stable Moderate/Mixed Income
8059012024,At Risk of Becoming Exclusive
8005004951,Early/Ongoing Gentrification
8005005623,Stable Moderate/Mixed Income
8005005629,Stable/Advanced Exclusive
8005005800,Stable Moderate/Mixed Income
8005006300,Stable Moderate/Mixed Income
8059009807,At Risk of Becoming Exclusive
8035014602,At Risk of Becoming Exclusive
8059009830,Low-Income/Susceptible to Displacement
8031004201,Stable Moderate/Mixed Income
8031004404,Low-Income/Susceptible to Displacement
8031004505,At Risk of Gentrification
8013013401,Low-Income/Susceptible to Displacement
8013013702,Stable Moderate/Mixed Income
8001009306,Low-Income/Susceptible to Displacement
8001009409,Stable Moderate/Mixed Income
8005005620,Low-Income/Susceptible to Displacement
8005006858,At Risk of Becoming Exclusive
8005083800,Stable Moderate/Mixed Income
8005087100,Low-Income/Susceptible to Displacement
8031000905,Early/Ongoing Gentrification
8031003101,Becoming Exclusive
8031004306,Stable Moderate/Mixed Income
8035014112,Stable Moderate/Mixed Income
8059011100,Low-Income/Susceptible to Displacement
8059012036,Stable Moderate/Mixed Income
8059012049,Stable Moderate/Mixed Income
8005084000,At Risk of Becoming Exclusive
8059010701,Low-Income/Susceptible to Displacement
8059009831,Stable Moderate/Mixed Income
8059010306,At Risk of Becoming Exclusive
8059011550,Low-Income/Susceptible to Displacement
8001009104,At Risk of Becoming Exclusive
8001009406,At Risk of Becoming Exclusive
8001008309,At Risk of Gentrification
8001009204,Stable Moderate/Mixed Income
8001009752,Advanced Gentrification
8005006713,Stable Moderate/Mixed Income
8005007201,At Risk of Gentrification
8013012511,High Student Population
8013013207,At Risk of Becoming Exclusive
8031002902,Becoming Exclusive
8031004303,Stable/Advanced Exclusive
8031008304,Low-Income/Susceptible to Displacement
8035014109,At Risk of Becoming Exclusive
8035014115,Stable Moderate/Mixed Income
8059009832,At Risk of Becoming Exclusive
8005081800,At Risk of Gentrification
8059010503,Low-Income/Susceptible to Displacement
8005006601,Low-Income/Susceptible to Displacement
8005005631,At Risk of Becoming Exclusive
8059011202,Stable Moderate/Mixed Income
8031006810,At Risk of Becoming Exclusive
8031980100,Unavailable or Unreliable Data
8005081400,Stable Moderate/Mixed Income
8059010504,At Risk of Becoming Exclusive
8059011601,Low-Income/Susceptible to Displacement
8059012048,At Risk of Becoming Exclusive
8013012104,Stable Moderate/Mixed Income
8001007802,At Risk of Gentrification
8001008547,Stable Moderate/Mixed Income
8001009407,At Risk of Becoming Exclusive
8013012709,Stable Moderate/Mixed Income
8013013306,Low-Income/Susceptible to Displacement
8013013602,Stable Moderate/Mixed Income
8059010304,At Risk of Becoming Exclusive
8001009320,Ongoing Displacement
8005080800,At Risk of Gentrification
8031000102,Advanced Gentrification
8014030800,At Risk of Becoming Exclusive
8031001102,Stable Moderate/Mixed Income
8031003003,High Student Population
8031004302,Stable Moderate/Mixed Income
8001009608,At Risk of Becoming Exclusive
8005005952,Low-Income/Susceptible to Displacement
8005005632,At Risk of Becoming Exclusive
8035014127,Stable/Advanced Exclusive
8035014128,Stable Moderate/Mixed Income
8035014132,Stable Moderate/Mixed Income
8035014203,Stable Moderate/Mixed Income
8005006400,Ongoing Displacement
8005006502,Becoming Exclusive
8005006711,Stable Moderate/Mixed Income
8005006712,Stable/Advanced Exclusive
8005006815,Stable Moderate/Mixed Income
8005006854,At Risk of Becoming Exclusive
8005006855,Stable Moderate/Mixed Income
8035014108,At Risk of Becoming Exclusive
8035014113,Stable Moderate/Mixed Income
8035014114,Stable Moderate/Mixed Income
