GEOID,Typology
6037128702,Stable Moderate/Mixed Income
6037131600,Stable Moderate/Mixed Income
6037134104,At Risk of Becoming Exclusive
6037134304,Advanced Gentrification
6037242000,Low-Income/Susceptible to Displacement
6037264102,Stable/Advanced Exclusive
6037265201,High Student Population
6037265305,High Student Population
6037267403,Stable Moderate/Mixed Income
6037269904,Stable Moderate/Mixed Income
6037270300,Advanced Gentrification
6037271902,Stable Moderate/Mixed Income
6037273502,Becoming Exclusive
6037275400,Stable/Advanced Exclusive
6037277400,Ongoing Displacement
6037293201,Stable Moderate/Mixed Income
6037294410,Advanced Gentrification
6037294820,Ongoing Displacement
6037296210,Low-Income/Susceptible to Displacement
6037300200,Stable/Advanced Exclusive
6037301204,At Risk of Becoming Exclusive
6037301702,Low-Income/Susceptible to Displacement
6037302301,Advanced Gentrification
6037310703,Low-Income/Susceptible to Displacement
6037400302,Stable Moderate/Mixed Income
6037400602,Advanced Gentrification
6037113301,At Risk of Becoming Exclusive
6037115301,Stable/Advanced Exclusive
6037117405,Low-Income/Susceptible to Displacement
6037119202,At Risk of Becoming Exclusive
6037119800,Stable Moderate/Mixed Income
6037120030,Low-Income/Susceptible to Displacement
6037134901,Stable Moderate/Mixed Income
6037137103,At Risk of Becoming Exclusive
6037139200,Becoming Exclusive
6037139503,Stable Moderate/Mixed Income
6037141101,Stable Moderate/Mixed Income
6037141400,At Risk of Becoming Exclusive
6037143603,Stable Moderate/Mixed Income
6037183101,Stable Moderate/Mixed Income
6037183401,Advanced Gentrification
6037185320,Low-Income/Susceptible to Displacement
6037188300,Becoming Exclusive
6037189904,Low-Income/Susceptible to Displacement
6037190510,Early/Ongoing Gentrification
6037191204,Early/Ongoing Gentrification
6037191810,Early/Ongoing Gentrification
6037195803,Advanced Gentrification
6037195902,Advanced Gentrification
6037199201,Ongoing Displacement
6037203100,At Risk of Gentrification
6037203710,Ongoing Displacement
6037204120,Low-Income/Susceptible to Displacement
6037204420,At Risk of Gentrification
6037206031,Advanced Gentrification
6037208903,Advanced Gentrification
6037209510,At Risk of Gentrification
6037211202,Early/Ongoing Gentrification
6037211910,Early/Ongoing Gentrification
6037212410,Early/Ongoing Gentrification
6037213202,Low-Income/Susceptible to Displacement
6037215102,Becoming Exclusive
6037216402,Stable Moderate/Mixed Income
6037218600,Advanced Gentrification
6037401001,Stable Moderate/Mixed Income
6037401701,At Risk of Becoming Exclusive
6037402502,Low-Income/Susceptible to Displacement
6037402803,Early/Ongoing Gentrification
6037403702,Stable Moderate/Mixed Income
6037404302,Advanced Gentrification
6037405002,Stable Moderate/Mixed Income
6037405702,Advanced Gentrification
6037406601,Stable Moderate/Mixed Income
6037407601,Low-Income/Susceptible to Displacement
6037408136,Stable Moderate/Mixed Income
6037408501,Stable Moderate/Mixed Income
6037408504,Stable Moderate/Mixed Income
6037408722,Stable Moderate/Mixed Income
6037430723,Becoming Exclusive
6037430901,Advanced Gentrification
6037220100,Ongoing Displacement
6037222001,Advanced Gentrification
6037222700,High Student Population
6037224320,At Risk of Gentrification
6037224700,High Student Population
6037228210,Early/Ongoing Gentrification
6037229100,Low-Income/Susceptible to Displacement
6037231710,Low-Income/Susceptible to Displacement
6037232120,Low-Income/Susceptible to Displacement
6037234902,Low-Income/Susceptible to Displacement
