GEOID,Site_Notes,Miriam_Student_Notes,City,AltType,CommunityComments
8001008100,"This tract contains the regional Anschutz Medical Campus. The majority of the pre-existing units (many of which were mobile homes) have since been demolished, and what has been built new would definitely not consititute a low-income status. If anything, this tract would warrant risk of becoming exclusive, rather than the one above (north).",,Denver,At Risk of Becoming Exclusive,"This tract contains the regional Anschutz Medical Campus. The majority of the pre-existing units (many of which were mobile homes) have since been demolished, and what has been built new would definitely not consititute a low-income status. If anything, this tract would warrant risk of becoming exclusive, rather than the one above (north)."
8001008200,"I'm confused about this tract's designation.This is an area that is definitely lower-income, and does not hold very desirable housing stock.",,Denver,Stable/Low-Income,"This is an area that is definitely lower-income, and does not hold very desirable housing stock."
8001008709,"This tract is part of the Globeville/Elyria-Swansea neighborhoods, and in the middle of the I70 redevelopment project (if you are not familiar, the highway will be buried along this stretch of Denver). This effort has brought not only eminent domain, but a lot of speculation to the community, purchasing/displacing residents in the process. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,At Risk of Gentrification,"This tract is part of the Globeville/Elyria-Swansea neighborhoods, and in the middle of the I70 redevelopment project (if you are not familiar, the highway will be buried along this stretch of Denver). This effort has brought not only eminent domain, but a lot of speculation to the community, purchasing/displacing residents in the process. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8001009604,"(Just using this tract as an example for the area - south/sw Adams County) This area is interesting because we hear from the community, and have seen in some education data that while the community profile may not be demonstrating displacement of residents, it is actually happening. The replacement just happens to be those with similar lower-incomes.",,Denver,Ongoing Displacement,"(Just using this tract as an example for the area - south/sw Adams County) This area is interesting because we hear from the community, and have seen in some education data that while the community profile may not be demonstrating displacement of residents, it is actually happening. The replacement just happens to be those with similar lower-incomes."
8031000502,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,At Risk of Gentrification,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8031000702,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,At Risk of Gentrification,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8031000904,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,At Risk of Gentrification,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8031001301,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,At Risk of Gentrification,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8031001500,"This tract is part of the Globeville/Elyria-Swansea neighborhoods, and in the middle of the I70 redevelopment project (if you are not familiar, the highway will be buried along this stretch of Denver). This effort has brought not only eminent domain, but a lot of speculation to the community, purchasing/displacing residents in the process. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,At Risk of Gentrification,"This tract is part of the Globeville/Elyria-Swansea neighborhoods, and in the middle of the I70 redevelopment project (if you are not familiar, the highway will be buried along this stretch of Denver). This effort has brought not only eminent domain, but a lot of speculation to the community, purchasing/displacing residents in the process. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8031002403,"This area has seen immense development and while there are some subsidized properties, the units coming to the market have definitely elevated existing unit prices that have pushed long-time residents out",,Denver,Ongoing Displacement,"This area has seen immense development and while there are some subsidized properties, the units coming to the market have definitely elevated existing unit prices that have pushed long-time residents out"
