GEOID,Site_Notes,Miriam_Student_Notes,City,AltType,CommunityComments
1.31E+11,Change to Advanced Gentrification.  This tract rapidly changed between 2013 and 2018 so it was likely missed in the 2012-17 ACS data.,,Atlanta,Advanced Gentrification,Change to Advanced Gentrification.  This tract rapidly changed between 2013 and 2018 so it was likely missed in the 2012-17 ACS data.
13121004200,Change to Ongoing Gentrification.  This tract was already showing signs of gentrification in 2013 (based on our analysis).  It has been gentrifying over the proceeding years (albeit not as rapidly as 13121004100 to its west).,,Atlanta,Ongoing Gentrification,Change to Ongoing Gentrification.  This tract was already showing signs of gentrification in 2013 (based on our analysis).  It has been gentrifying over the proceeding years (albeit not as rapidly as 13121004100 to its west).
13121002500,Change to At Risk of Gentrification.  Based on adjacency to rapidly changeing neighborhoods and already higher home sale prices than other nearby low-income neighborhoods.,,Atlanta,At ,Change to At Risk of Gentrification.  Based on adjacency to rapidly changeing neighborhoods and already higher home sale prices than other nearby low-income neighborhoods.
17031490600,Would not consider early/ongoing gentrification,,Chicago,,Would not consider early/ongoing gentrification
17031830600,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031010503,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",This is Loyola - probably a lot of turnover due to student population,Chicago,,This is Loyola - probably a lot of turnover due to student population
17031010400,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",This is Loyola - probably a lot of turnover due to student population,Chicago,,This is Loyola - probably a lot of turnover due to student population
17031140200,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031140200,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031030703,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031830700,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031031200,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031830700,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031809300,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031310800,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031310700,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031310500,"Ongoing displacement tracts, but would not consider disinvested. Perhaps I am misunderstanding the category",,Chicago,,
17031827500,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled",,Chicago,,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled"
17031826700,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled",,Chicago,,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled"
17031827000,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled",,Chicago,,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled"
17031825801,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled",Labeled as at risk for gentrification but we think its not due to the location (plus distance from downtown chicago)  and amenities in the area ,Chicago,,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabledLabeled as at risk for gentrification but we think its not due to the location (plus distance from downtown chicago)  and amenities in the area "
17031824300,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled",,Chicago,,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled"
17031821200,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled",,Chicago,,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled"
17031520100,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled",,Chicago,,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled"
17031822102,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled",,Chicago,,"""At risk of gentrification"", but these are areas that have little gentrification pressures or risk. Could definitely add more tracts to this list. It is a bit of a confusing category, perhaps mislabled"
17031826500,Tract it labled Stable/Low Income but we think its Stable to mixed Income,,Chicago,,Tract it labled Stable/Low Income but we think its Stable to mixed Income
17031826402,At risk of becoming exclusive but Average home value in this area is ~$12k lower than average for Dolton ,,Chicago,,At risk of becoming exclusive but Average home value in this area is ~$12k lower than average for Dolton 
17031230100,Tract is one of the only labeled Stable. This is interesting because the Eastern edge of the community area may be the ones most likely to be under gentrification pressure,,Chicago,,Tract is one of the only labeled Stable. This is interesting because the Eastern edge of the community area may be the ones most likely to be under gentrification pressure
17031230800,"This is labeled advanced but wouldn’t seem particularly high income compared to the rest of the community area. Would have assumed it might have been early gentrification, but stats seem to indicate otherwise. Median income over 70k?",,Chicago,,"This is labeled advanced but wouldn’t seem particularly high income compared to the rest of the community area. Would have assumed it might have been early gentrification, but stats seem to indicate otherwise. Median income over 70k?"
17031240900,"Tract is labeled low/ moderate income but would expect it to be labeled as early gentrification. Given its proximity to Humboldt Park, we would expect that property values would be higher and that this tract would be gentrifying",,Chicago,,"Tract is labeled low/ moderate income but would expect it to be labeled as early gentrification. Given its proximity to Humboldt Park, we would expect that property values would be higher and that this tract would be gentrifying"
17031050200,Labeled as stable/moderate but i think should be recategorized as at risk or becoming exclusive. North Center neighborhood has rising rents,,Chicago,,Labeled as stable/moderate but i think should be recategorized as at risk or becoming exclusive. North Center neighborhood has rising rents
17031310300,tract is labeled stable low income but expected to be at risk or gentrifying,,Chicago,,tract is labeled stable low income but expected to be at risk or gentrifying
17031010300,"Says stable low income, but I think that there’s a major difference between rental and owner units. Perhaps the subsidized housing in the neighborhood and older rental stock keeps the median low, but there are high end single family homes and condos as well.  It’s a pretty stable mixed neighborhood. ",,Chicago,,"Says stable low income, but I think that there’s a major difference between rental and owner units. Perhaps the subsidized housing in the neighborhood and older rental stock keeps the median low, but there are high end single family homes and condos as well.  It’s a pretty stable mixed neighborhood. "
17031220602,"Says on early/ongoing but very progressed gentrification. Borders the heart of Logan Square, massive new development of apartments + Target right around the corner",,Chicago,,"Says on early/ongoing but very progressed gentrification. Borders the heart of Logan Square, massive new development of apartments + Target right around the corner"
8031000502,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8031000702,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8031000904,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8031001301,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,,"This tract is at the center of massive development in Denver, and the rate of displacement in and around it has been immense. The local Boys and Girls Club has seen a 60% drop in membership in the past eight years. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
8031003500,"This tract is part of the Globeville/Elyria-Swansea neighborhoods, and in the middle of the I70 redevelopment project (if you are not familiar, the highway will be buried along this stretch of Denver). This effort has brought not only eminent domain, but a lot of speculation to the community, purchasing/displacing residents in the process. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification"".",,Denver,,"This tract is part of the Globeville/Elyria-Swansea neighborhoods, and in the middle of the I70 redevelopment project (if you are not familiar, the highway will be buried along this stretch of Denver). This effort has brought not only eminent domain, but a lot of speculation to the community, purchasing/displacing residents in the process. At a minimum this (and others below) need to be classified as ""At Risk of Gentrification""."
