"Buffer","Agency","Line(s)","Station Name","Year Opened","Latitude","Longitude"
"Existing Transit","ACE ","Altamont Commuter Express","Lathrop/Manteca","Pre-2000",37.8988904055703,-121.27032995224
"Existing Transit","ACE ","Altamont Commuter Express","Livermore","Pre-2000",37.6844560696227,-121.769663393497
"Existing Transit","ACE ","Altamont Commuter Express","Pleasanton","Pre-2000",37.6584657699152,-121.882190108299
"Existing Transit","ACE ","Altamont Commuter Express","Santa Clara/Great America","Pre-2000",37.4068,-121.967
"Existing Transit","ACE ","Altamont Commuter Express","Stockton","Pre-2000",37.9558,-121.277
"Existing Transit","ACE ","Altamont Commuter Express","Tracy","Pre-2000",37.6963,-121.435
"Existing Transit","ACE ","Altamont Commuter Express","Vasco","Pre-2000",37.6968928221864,-121.718827486038
"Existing Transit","ACE , Capitol Corridor Joint Powers Authority","Altamont Commuter Express, Capitol Corridor","Fremont","Pre-2000",37.5590882938435,-122.007465362549
"Existing Transit","Alameda/Oakland Ferry","Oakland / Alameda / San Francisco","Alameda Ferry Terminal","Pre-2000",37.7911972815759,-122.294188141823
"Existing Transit","Alameda/Oakland Ferry","Oakland / Alameda / San Francisco","Oakland Ferry Terminal","Pre-2000",37.795011,-122.279758
"Existing Transit","Alameda/Oakland Ferry","Oakland / Alameda / San Francisco","S.F. Ferry Building","Pre-2000",37.795923,-122.392052
"Existing Transit","Alameda/Oakland Ferry","Oakland / Alameda / San Francisco","S.F. Pier 41","Pre-2000",37.81053,-122.412801
"Existing Transit","Amtrak ","Acela Express","New Haven","Pre-2000",41.2977321706702,-72.9265433549881
"Existing Transit","Amtrak ","Acela Express","Route 128","Pre-2000",42.2103181240543,-71.1474287509918
"Existing Transit","Amtrak ","Acela Express, Keystone","Metropark, Islin, Nj","Pre-2000",40.5682025402184,-74.3295961618423
"Existing Transit","Amtrak ","Cascades","Albany ","Pre-2000",44.6306936645508,-123.102659583092
"Existing Transit","Amtrak ","Cascades","Eugene","Pre-2000",44.0552792042755,-123.092397451401
"Existing Transit","Amtrak ","Cascades","Kelso-Longview","Pre-2000",46.1421265476874,-122.913032770157
"Existing Transit","Amtrak ","Cascades","Oregon City","Pre-2000",45.3660165251273,-122.596049308777
"Existing Transit","Amtrak ","Cascades","PDX","Pre-2000",45.5285595564713,-122.676424384117
"Existing Transit","Amtrak ","Cascades","Salem","Pre-2000",44.9322172041224,-123.028120994568
"Existing Transit","Amtrak ","Cascades","Vancouver","Pre-2000",45.6290898089516,-122.685956954956
"Existing Transit","Amtrak ","Cascades ","Bellingham","Pre-2000",48.7202549687977,-122.511237859726
"Existing Transit","Amtrak ","Cascades ","Centralia","Pre-2000",46.7175187775804,-122.95285820961
"Existing Transit","Amtrak ","Cascades ","Mount Vernon","Pre-2000",48.4183855442024,-122.334308624268
"Existing Transit","Amtrak ","Cascades ","Olympia/Lacey","Pre-2000",46.9913150165224,-122.794007062912
"Existing Transit","Amtrak ","Cascades ","Tacoma","Pre-2000",47.2418796250225,-122.42050409317
"Existing Transit","Amtrak ","Downeaster","Dover","Pre-2000",43.1982055576142,-70.8781027793884
"Existing Transit","Amtrak ","Downeaster","Durham","Pre-2000",43.139,-70.9361
"Existing Transit","Amtrak ","Downeaster","Exeter","Pre-2000",42.9809732064826,-70.9587568044662
"Existing Transit","Amtrak ","Downeaster","Haverhill","Pre-2000",42.7734517430472,-71.0863924026489
"Existing Transit","Amtrak ","Downeaster","Old Orchard Beach","Pre-2000",43.5144575009971,-70.3760147094727
"Existing Transit","Amtrak ","Downeaster","Portland, ME Transportation Center","Pre-2000",43.6539452670809,-70.2914822101593
"Existing Transit","Amtrak ","Downeaster","Saco","Pre-2000",43.4962248979563,-70.4489976167679
"Existing Transit","Amtrak ","Downeaster","Wells","Pre-2000",43.3206448033153,-70.6120651960373
"Existing Transit","Amtrak ","Ethan Allen Express","Fair Haven","Pre-2000",43.5906,-73.262
"Existing Transit","Amtrak ","Ethan Allen Express","Fort Edward, Ny","Pre-2000",43.2697614922041,-73.5802754759789
"Existing Transit","Amtrak ","Ethan Allen Express","Hudson","Pre-2000",42.2539195718126,-73.7979340553284
"Existing Transit","Amtrak ","Ethan Allen Express","Rensselaer","Pre-2000",42.6416,-73.7413
"Existing Transit","Amtrak ","Ethan Allen Express","Rhinecliff","Pre-2000",41.9209,-73.9521
"Existing Transit","Amtrak ","Ethan Allen Express","Rutland, Vt - Rutland Plaza Shopping Mal","Pre-2000",43.6056614319183,-72.9817700386047
"Existing Transit","Amtrak ","Ethan Allen Express","Saratoga Springs","Pre-2000",43.0827951042879,-73.8102722167969
"Existing Transit","Amtrak ","Ethan Allen Express","Schenectady","Pre-2000",42.8145384730566,-73.9426016807556
"Existing Transit","Amtrak ","Hiawatha","Amtrak Milwaukee","Pre-2000",43.0345,-87.9166
"Existing Transit","Amtrak ","Hiawatha","Milwaukee General Mitchell Int Airport","Pre-2000",42.940747650094,-87.9245710372925
"Existing Transit","Amtrak ","Hiawatha","Sturtevant","Pre-2000",42.7187089846197,-87.9059725999832
"Existing Transit","Amtrak ","Keystone","Coatsville","Pre-2000",39.9856904939948,-75.8209285140038
