,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
0,0,0,0,0,0,39,035,000000,39035000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2213,1131,1095,217,878,39,035,101101,39035101101,1504,112,24,10,6,61,43,13,0,57300,434,1115,21761,260,114,137,121,137,98,43,47,36,32,48,31,6,0,0,5
2,4457,3639,2566,796,1770,39,035,101102,39035101102,3468,486,223,50,54,320,223,122,19,112900,529,2572,34575,248,136,178,267,225,258,169,159,100,258,230,204,24,41,23,52
3,2995,1779,1518,287,1231,39,035,101200,39035101200,2107,43,4,15,9,41,32,6,0,72600,342,1504,14920,456,300,133,90,98,116,35,27,23,100,54,40,6,14,6,6
4,1901,1287,977,145,832,39,035,101300,39035101300,1366,81,31,13,0,40,25,5,0,73600,409,980,20088,207,151,130,112,44,56,59,18,39,41,65,29,22,0,0,7
5,2264,1602,874,494,380,39,035,101400,39035101400,1374,42,0,0,0,44,0,7,0,68600,525,866,27683,126,58,85,67,135,56,42,44,59,89,58,14,17,5,0,11
6,2929,1775,1134,479,655,39,035,101500,39035101500,1829,69,41,14,0,65,17,0,0,66000,452,1146,26094,276,76,89,97,109,113,83,64,56,68,17,47,36,8,0,7
7,2712,1713,889,447,442,39,035,101600,39035101600,1460,52,6,7,0,7,6,0,0,62300,524,939,30223,109,52,107,86,113,82,88,87,52,53,55,45,0,5,0,5
8,2856,1498,1026,418,608,39,035,101700,39035101700,1576,30,25,0,14,39,0,0,0,57900,418,976,21950,215,151,83,85,20,95,69,57,43,39,52,31,5,10,0,21
9,3324,1928,1085,442,643,39,035,101800,39035101800,1927,57,28,0,44,14,23,0,0,55800,474,1049,21357,239,142,99,95,90,77,54,29,55,38,31,68,0,9,10,13
10,1877,992,624,254,370,39,035,101900,39035101900,1051,58,30,19,0,49,32,0,0,70400,485,670,21339,133,109,78,45,34,38,29,43,26,53,20,54,0,0,0,8
11,3365,2394,1441,701,740,39,035,102101,39035102101,2217,86,12,0,0,74,15,7,0,80300,524,1439,31250,218,127,66,126,145,137,51,111,57,169,140,50,13,14,15,0
12,2617,1811,1132,667,465,39,035,102102,39035102102,1738,58,13,0,0,59,25,0,0,72800,449,1132,28810,132,73,85,171,125,79,110,110,43,77,65,19,19,9,5,10
13,2832,2002,1147,734,413,39,035,102200,39035102200,1901,78,14,15,0,95,18,7,0,79300,565,1145,34236,99,86,64,126,102,112,60,74,96,107,82,74,32,10,4,17
14,2477,1597,852,487,365,39,035,102300,39035102300,1372,51,33,0,0,46,16,5,0,71200,500,854,32377,93,79,66,84,47,125,37,61,31,77,48,64,11,3,22,6
15,2367,1518,826,509,317,39,035,102401,39035102401,1290,24,0,16,0,23,5,0,0,63600,544,765,32077,37,30,75,104,85,92,55,65,16,68,94,18,0,0,4,22
16,3659,2205,1187,676,511,39,035,102402,39035102402,2106,51,7,0,0,60,14,8,0,61500,515,1219,30585,189,120,99,80,107,103,53,37,87,104,93,90,28,24,5,0
