,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,4047.0,240.0,18.0,2499.0,-666666666.0,-222222222.0,-666666666.0,-222222222.0,3351.0,17.0,18.0,0.0,0.0,100.0,4.0,4.0,10.0,8.0,-666666666.0,2499.0,12.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,95.0,13.0,1400000US06025010101,06,025,010101,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,06025010101,88600.0,180955.0,913.0,1225.0,22.0,19.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,338.0,299.0,13.0,20.0,0.0,6.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2499.0,06,025,010101
1,4197.0,501.0,1264.0,32669.0,109000.0,35352.0,633.0,51.0,2306.0,25.0,54.0,0.0,0.0,1886.0,72.0,93.0,739.0,525.0,684.0,15055.0,181.0,184.0,116.0,59.0,63.0,84.0,63.0,91.0,66.0,108.0,90.0,59.0,41.0,27.0,32.0,0.0,248.0,139.0,44.0,30.0,10.0,14.0,11.0,0.0,0.0,16.0,9.0,0.0,1400000US06025010102,06,025,010102,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,06025010102,94700.0,16355.0,651.0,100.0,673.0,285.0,103.0,75.0,38.0,113.0,36.0,0.0,23.0,39.0,12.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,96.0,35.0,59.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14428.0,06,025,010102
2,2995.0,331.0,731.0,37760.0,118300.0,17914.0,753.0,73.0,1606.0,110.0,18.0,0.0,5.0,920.0,37.0,23.0,333.0,398.0,758.0,17348.0,60.0,89.0,69.0,63.0,52.0,13.0,41.0,20.0,45.0,47.0,86.0,68.0,45.0,14.0,8.0,11.0,122.0,5.0,36.0,38.0,12.0,9.0,8.0,14.0,0.0,16.0,0.0,8.0,1400000US06025010200,06,025,010200,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06025010200,125700.0,30375.0,631.0,44.0,88.0,27.0,13.0,9.0,14.0,15.0,3.0,0.0,7.0,12.0,5.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15477.0,06,025,010200
3,1172.0,543.0,316.0,61250.0,210000.0,56460.0,988.0,557.0,691.0,96.0,36.0,8.0,0.0,352.0,12.0,21.0,252.0,64.0,781.0,25718.0,17.0,9.0,8.0,22.0,34.0,7.0,6.0,11.0,10.0,34.0,35.0,21.0,29.0,37.0,24.0,12.0,36.0,0.0,0.0,0.0,24.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000US06025010300,06,025,010300,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06025010300,187100.0,29463.0,725.0,568.0,33.0,3.0,0.0,17.0,0.0,13.0,0.0,0.0,0.0,8.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29839.0,06,025,010300
4,7125.0,293.0,1745.0,25212.0,120700.0,9473.0,772.0,122.0,3800.0,297.0,62.0,2.0,0.0,2215.0,14.0,53.0,904.0,841.0,796.0,11937.0,289.0,259.0,179.0,141.0,126.0,90.0,56.0,34.0,28.0,129.0,155.0,56.0,76.0,92.0,35.0,0.0,320.0,49.0,89.0,102.0,14.0,0.0,66.0,0.0,0.0,108.0,92.0,0.0,1400000US06025010400,06,025,010400,0.0,16.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,06025010400,113000.0,13095.0,671.0,70.0,513.0,231.0,69.0,70.0,50.0,85.0,8.0,0.0,0.0,41.0,21.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13643.0,06,025,010400
5,7530.0,1041.0,1911.0,43651.0,193900.0,10902.0,751.0,145.0,4461.0,422.0,133.0,15.0,0.0,2154.0,154.0,0.0,923.0,988.0,1072.0,16446.0,323.0,285.0,61.0,59.0,73.0,47.0,78.0,50.0,12.0,103.0,205.0,197.0,185.0,84.0,79.0,70.0,548.0,230.0,200.0,17.0,13.0,37.0,17.0,0.0,34.0,74.0,0.0,35.0,1400000US06025010500,06,025,010500,0.0,0.0,0.0,39.0,0.0,0.0,41.0,13.0,0.0,10.0,0.0,0.0,0.0,18.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06025010500,155200.0,9427.0,648.0,61.0,545.0,234.0,104.0,74.0,36.0,33.0,18.0,38.0,8.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,62.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18404.0,06,025,010500
6,6920.0,1718.0,1980.0,73750.0,204100.0,28970.0,841.0,57.0,4405.0,601.0,165.0,36.0,0.0,2575.0,165.0,181.0,1299.0,681.0,947.0,23852.0,58.0,172.0,25.0,162.0,28.0,29.0,75.0,134.0,77.0,144.0,91.0,462.0,209.0,87.0,108.0,119.0,427.0,137.0,121.0,17.0,46.0,0.0,0.0,0.0,106.0,86.0,44.0,26.0,1400000US06025010600,06,025,010600,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,06025010600,198600.0,20364.0,896.0,98.0,316.0,74.0,19.0,57.0,63.0,28.0,22.0,0.0,53.0,40.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,18.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31893.0,06,025,010600
7,4403.0,202.0,1062.0,33225.0,137900.0,30603.0,823.0,61.0,2646.0,303.0,0.0,39.0,0.0,1519.0,56.0,32.0,593.0,469.0,759.0,20000.0,64.0,64.0,161.0,108.0,48.0,135.0,36.0,47.0,69.0,100.0,63.0,100.0,28.0,0.0,39.0,0.0,128.0,29.0,0.0,67.0,22.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000US06025010700,06,025,010700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06025010700,107200.0,27523.0,614.0,97.0,485.0,199.0,53.0,103.0,74.0,49.0,0.0,0.0,7.0,17.0,0.0,10.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12748.0,06,025,010700
8,1202.0,617.0,388.0,76875.0,291900.0,40734.0,813.0,244.0,855.0,114.0,34.0,22.0,0.0,492.0,9.0,57.0,293.0,95.0,1116.0,27406.0,8.0,30.0,13.0,6.0,43.0,14.0,19.0,14.0,0.0,17.0,12.0,81.0,34.0,35.0,35.0,27.0,49.0,10.0,0.0,20.0,14.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,1400000US06025010800,06,025,010800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06025010800,206000.0,83427.0,729.0,303.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22656.0,06,025,010800
9,7666.0,1278.0,1930.0,46884.0,168400.0,11470.0,597.0,103.0,4600.0,377.0,113.0,87.0,0.0,2465.0,136.0,74.0,1210.0,720.0,695.0,22500.0,162.0,291.0,68.0,169.0,0.0,26.0,88.0,109.0,78.0,154.0,238.0,146.0,148.0,151.0,46.0,56.0,472.0,96.0,105.0,67.0,44.0,0.0,102.0,43.0,15.0,34.0,0.0,0.0,1400000US06025010900,06,025,010900,0.0,0.0,0.0,0.0,34.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06025010900,149300.0,28242.0,706.0,55.0,541.0,49.0,181.0,171.0,47.0,41.0,44.0,0.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,13.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16050.0,06,025,010900
