,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
0,5186,4018,1875,1233,642,28,033,070100,28033070100,3284,40,25,25,7,59,13,0,0,107800,638,1861,41940,153,111,116,84,137,93,162,129,93,156,251,247,66,16,22,25
1,2795,2476,1010,854,156,28,033,070210,28033070210,1795,119,11,0,0,55,16,25,0,102000,720,996,55172,50,56,30,41,57,64,24,77,37,115,151,210,33,22,15,14
2,5170,4404,1853,1662,191,28,033,070220,28033070220,3509,65,26,24,8,79,42,8,0,78500,718,1851,42656,106,103,111,181,163,121,86,62,168,115,289,216,69,29,15,17
3,2737,2423,1176,521,655,28,033,070310,28033070310,1667,89,16,6,0,51,22,0,0,83500,727,1175,40042,98,53,73,86,82,94,100,151,76,122,122,91,8,5,8,6
4,11353,9092,3880,2926,954,28,033,070321,28033070321,6477,154,25,0,0,214,50,37,0,71900,631,3934,39988,251,204,202,242,322,339,408,318,309,370,414,401,66,16,26,46
5,3072,2790,1112,860,252,28,033,070322,28033070322,1779,94,10,0,0,113,21,0,9,97900,712,1054,40885,49,28,15,26,100,175,111,82,68,113,116,97,19,10,35,10
6,5611,4512,2193,1200,993,28,033,070410,28033070410,3469,155,16,6,6,164,63,11,0,90400,654,2202,42333,169,110,136,113,169,160,146,150,145,281,219,253,68,37,15,31
7,5325,5026,1934,1502,432,28,033,070420,28033070420,3433,83,28,0,9,100,23,9,17,72100,626,1935,38542,129,104,206,144,94,128,257,93,111,181,240,195,20,17,9,7
8,8035,7322,3004,2111,893,28,033,070510,28033070510,5010,163,60,18,0,240,83,19,0,86200,677,3025,46794,177,162,87,123,165,213,196,279,209,463,520,314,78,32,0,7
9,4088,3748,1448,1416,32,28,033,070520,28033070520,2755,224,94,12,6,211,45,12,0,145200,679,1439,61982,45,43,30,34,45,54,69,78,56,187,290,257,103,90,38,20
10,1617,1541,720,476,244,28,033,070610,28033070610,1113,104,16,8,7,113,31,6,0,103300,691,756,50968,0,33,41,42,43,85,79,33,10,89,99,148,27,0,17,10
11,2974,2672,1058,1029,29,28,033,070620,28033070620,1999,180,34,34,6,147,33,29,0,172400,0,1000,64511,28,24,20,21,35,32,36,52,51,129,150,160,147,35,17,63
12,4225,3526,1492,1414,78,28,033,070630,28033070630,2915,208,41,0,0,247,24,0,5,148600,758,1510,64412,118,24,58,32,94,79,63,58,59,78,288,279,164,49,49,18
13,3803,3212,1341,1209,132,28,033,070710,28033070710,2582,170,46,11,8,173,65,17,11,132800,420,1352,60877,62,79,70,55,62,37,32,43,84,132,182,325,109,38,7,35
