,pop_90,white_90,hh_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,mhval_90,mrent_90,hinc_90,ohu_90,rhu_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,state,county,tract,FIPS
78,3320.0,2522.0,1119.0,325.0,355.0,667.0,332.0,105.0,77.0,63.0,79800.0,314.0,26322.0,793.0,325.0,116.0,50.0,114.0,86.0,63.0,69.0,16.0,18.0,52.0,41.0,75.0,37.0,39.0,53.0,56.0,31.0,31.0,20.0,24.0,17.0,64.0,30.0,14.0,3.0,0.0,28,033,070100,28033070100
79,6252.0,5601.0,2070.0,581.0,740.0,1306.0,652.0,192.0,216.0,55.0,52700.0,436.0,27345.0,1881.0,221.0,126.0,162.0,126.0,73.0,115.0,121.0,110.0,111.0,97.0,76.0,97.0,47.0,84.0,64.0,93.0,71.0,31.0,46.0,118.0,41.0,181.0,32.0,36.0,0.0,12.0,28,033,070200,28033070200
80,1036.0,998.0,357.0,102.0,144.0,272.0,77.0,20.0,7.0,8.0,57500.0,555.0,28750.0,292.0,56.0,5.0,13.0,20.0,32.0,29.0,9.0,8.0,23.0,35.0,9.0,30.0,14.0,5.0,21.0,22.0,0.0,27.0,0.0,21.0,11.0,14.0,9.0,0.0,0.0,0.0,28,033,070310,28033070310
81,8597.0,8232.0,2866.0,320.0,1012.0,1795.0,1129.0,161.0,162.0,72.0,47600.0,458.0,28942.0,2301.0,492.0,90.0,178.0,121.0,96.0,167.0,112.0,171.0,188.0,231.0,137.0,140.0,169.0,176.0,87.0,167.0,82.0,91.0,94.0,135.0,84.0,106.0,34.0,0.0,0.0,10.0,28,033,070320,28033070320
82,4189.0,3788.0,1471.0,163.0,412.0,1084.0,493.0,127.0,180.0,89.0,69000.0,380.0,30545.0,1146.0,365.0,132.0,86.0,51.0,122.0,39.0,63.0,107.0,49.0,30.0,24.0,149.0,61.0,40.0,68.0,35.0,21.0,23.0,24.0,84.0,60.0,97.0,57.0,15.0,11.0,23.0,28,033,070410,28033070410
83,5777.0,5717.0,1973.0,395.0,623.0,1543.0,730.0,227.0,126.0,92.0,53600.0,496.0,34864.0,1622.0,372.0,98.0,100.0,75.0,64.0,105.0,88.0,108.0,57.0,88.0,58.0,67.0,83.0,101.0,111.0,146.0,76.0,115.0,85.0,110.0,97.0,86.0,42.0,6.0,0.0,7.0,28,033,070420,28033070420
84,7068.0,6969.0,2350.0,107.0,466.0,1417.0,1164.0,256.0,501.0,148.0,67700.0,545.0,38843.0,1839.0,533.0,52.0,57.0,78.0,51.0,81.0,74.0,92.0,108.0,110.0,75.0,99.0,158.0,104.0,67.0,154.0,58.0,97.0,91.0,189.0,129.0,294.0,101.0,10.0,13.0,8.0,28,033,070510,28033070510
85,2306.0,2209.0,771.0,41.0,227.0,467.0,493.0,74.0,186.0,47.0,135500.0,532.0,50314.0,725.0,24.0,20.0,14.0,10.0,7.0,13.0,7.0,27.0,22.0,23.0,22.0,16.0,41.0,21.0,19.0,18.0,34.0,28.0,37.0,88.0,106.0,98.0,86.0,7.0,7.0,0.0,28,033,070520,28033070520
86,4682.0,3971.0,1637.0,274.0,382.0,980.0,753.0,166.0,348.0,108.0,99700.0,468.0,37944.0,1339.0,276.0,69.0,84.0,74.0,43.0,71.0,43.0,78.0,40.0,63.0,50.0,75.0,46.0,77.0,31.0,36.0,50.0,38.0,47.0,157.0,103.0,178.0,106.0,12.0,26.0,40.0,28,033,070600,28033070600
87,5514.0,4160.0,1732.0,362.0,676.0,1212.0,703.0,109.0,201.0,109.0,77900.0,309.0,34135.0,1525.0,251.0,76.0,112.0,46.0,97.0,76.0,58.0,78.0,71.0,94.0,32.0,92.0,52.0,90.0,62.0,64.0,35.0,72.0,66.0,85.0,75.0,144.0,112.0,15.0,7.0,21.0,28,033,070700,28033070700
88,5092.0,4037.0,1897.0,260.0,515.0,1292.0,626.0,151.0,271.0,110.0,70200.0,418.0,30903.0,1406.0,450.0,129.0,166.0,66.0,55.0,84.0,58.0,111.0,72.0,106.0,65.0,101.0,73.0,80.0,62.0,69.0,91.0,49.0,56.0,101.0,60.0,141.0,51.0,22.0,17.0,12.0,28,033,070800,28033070800
89,2367.0,1380.0,848.0,401.0,377.0,413.0,161.0,78.0,24.0,0.0,47100.0,240.0,24861.0,685.0,119.0,125.0,108.0,27.0,31.0,56.0,25.0,35.0,18.0,36.0,55.0,39.0,26.0,57.0,57.0,28.0,22.0,16.0,0.0,9.0,9.0,32.0,31.0,6.0,0.0,0.0,28,033,070900,28033070900
90,2537.0,1921.0,787.0,234.0,301.0,546.0,279.0,45.0,92.0,77.0,95400.0,331.0,34760.0,712.0,147.0,40.0,68.0,79.0,6.0,37.0,22.0,31.0,39.0,20.0,7.0,21.0,26.0,30.0,8.0,20.0,8.0,28.0,30.0,42.0,21.0,71.0,105.0,18.0,0.0,10.0,28,033,071000,28033071000
91,6728.0,5145.0,2480.0,661.0,796.0,1416.0,843.0,276.0,303.0,136.0,60900.0,277.0,29294.0,1934.0,554.0,212.0,190.0,74.0,134.0,71.0,155.0,74.0,118.0,151.0,85.0,123.0,71.0,131.0,63.0,49.0,70.0,108.0,97.0,124.0,91.0,162.0,77.0,27.0,8.0,15.0,28,033,071100,28033071100
92,2445.0,2067.0,919.0,330.0,361.0,519.0,220.0,94.0,69.0,48.0,54900.0,313.0,26222.0,731.0,157.0,78.0,108.0,56.0,48.0,74.0,34.0,25.0,15.0,44.0,23.0,64.0,44.0,58.0,32.0,47.0,7.0,26.0,0.0,24.0,43.0,38.0,19.0,7.0,0.0,5.0,28,033,071200,28033071200
383,4802.0,2498.0,1572.0,615.0,939.0,798.0,322.0,68.0,72.0,23.0,40200.0,197.0,19583.0,1346.0,197.0,245.0,193.0,107.0,87.0,79.0,90.0,128.0,22.0,110.0,71.0,80.0,44.0,49.0,55.0,37.0,23.0,18.0,21.0,12.0,15.0,37.0,27.0,17.0,5.0,0.0,28,093,950100,28093950100
384,6883.0,4449.0,2383.0,760.0,1233.0,1355.0,598.0,80.0,127.0,45.0,48100.0,289.0,21451.0,1939.0,433.0,249.0,300.0,121.0,183.0,112.0,147.0,137.0,135.0,109.0,92.0,79.0,48.0,99.0,63.0,50.0,41.0,60.0,27.0,114.0,109.0,50.0,50.0,5.0,0.0,3.0,28,093,950200,28093950200
385,5547.0,3004.0,1843.0,709.0,838.0,1038.0,324.0,111.0,163.0,31.0,40000.0,247.0,18782.0,1630.0,243.0,182.0,310.0,151.0,106.0,132.0,79.0,60.0,88.0,95.0,69.0,110.0,49.0,61.0,49.0,49.0,56.0,33.0,54.0,18.0,57.0,28.0,0.0,0.0,0.0,7.0,28,093,950300,28093950300
386,7604.0,2298.0,2402.0,916.0,698.0,935.0,591.0,58.0,542.0,351.0,42100.0,236.0,15963.0,1535.0,856.0,454.0,340.0,189.0,171.0,122.0,126.0,111.0,114.0,131.0,64.0,74.0,25.0,45.0,45.0,49.0,40.0,20.0,38.0,62.0,79.0,51.0,44.0,0.0,0.0,8.0,28,093,950400,28093950400
387,5525.0,2583.0,1868.0,968.0,831.0,806.0,330.0,52.0,201.0,101.0,36900.0,236.0,15791.0,1561.0,337.0,386.0,348.0,118.0,51.0,98.0,62.0,113.0,92.0,97.0,49.0,69.0,78.0,43.0,35.0,28.0,32.0,32.0,25.0,23.0,33.0,47.0,0.0,0.0,0.0,9.0,28,093,950500,28093950500
869,966.0,604.0,322.0,199.0,127.0,169.0,40.0,22.0,32.0,0.0,40700.0,140.0,12891.0,211.0,94.0,24.0,79.0,53.0,32.0,33.0,4.0,5.0,11.0,14.0,15.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,5.0,15.0,12.0,0.0,6.0,0.0,47,047,060100,47047060100
870,1713.0,936.0,512.0,304.0,173.0,264.0,109.0,14.0,53.0,28.0,50900.0,167.0,20403.0,402.0,85.0,57.0,90.0,35.0,23.0,34.0,12.0,31.0,15.0,19.0,12.0,30.0,20.0,12.0,0.0,14.0,19.0,7.0,0.0,22.0,15.0,45.0,0.0,0.0,0.0,0.0,47,047,060200,47047060200
871,3089.0,1143.0,939.0,489.0,567.0,509.0,172.0,25.0,65.0,11.0,40400.0,245.0,17731.0,611.0,321.0,99.0,198.0,52.0,52.0,61.0,81.0,52.0,26.0,41.0,30.0,33.0,29.0,33.0,19.0,14.0,33.0,11.0,7.0,12.0,11.0,34.0,4.0,5.0,2.0,0.0,47,047,060300,47047060300
872,5935.0,3918.0,1995.0,736.0,699.0,1277.0,649.0,139.0,162.0,65.0,58300.0,370.0,28361.0,1655.0,326.0,95.0,198.0,145.0,91.0,110.0,88.0,95.0,52.0,98.0,74.0,89.0,45.0,124.0,60.0,72.0,40.0,73.0,46.0,67.0,62.0,186.0,44.0,16.0,8.0,17.0,47,047,060400,47047060400
873,6673.0,3739.0,2300.0,924.0,856.0,1347.0,458.0,72.0,244.0,175.0,47800.0,229.0,20420.0,1595.0,757.0,240.0,393.0,166.0,138.0,105.0,89.0,113.0,103.0,95.0,86.0,162.0,74.0,60.0,60.0,68.0,51.0,52.0,40.0,98.0,37.0,32.0,20.0,0.0,1.0,17.0,47,047,060500,47047060500
874,3455.0,1845.0,1159.0,426.0,504.0,672.0,317.0,45.0,70.0,71.0,43700.0,222.0,22994.0,875.0,288.0,120.0,164.0,65.0,78.0,40.0,44.0,60.0,43.0,38.0,61.0,79.0,39.0,49.0,25.0,38.0,33.0,14.0,35.0,27.0,26.0,38.0,10.0,20.0,3.0,10.0,47,047,060600,47047060600
875,3728.0,1871.0,1238.0,471.0,482.0,762.0,287.0,80.0,179.0,89.0,68800.0,195.0,27049.0,978.0,255.0,148.0,145.0,58.0,29.0,42.0,53.0,64.0,30.0,61.0,62.0,52.0,24.0,73.0,44.0,52.0,26.0,42.0,29.0,44.0,26.0,73.0,20.0,21.0,0.0,20.0,47,047,060700,47047060700
1448,1209.0,401.0,594.0,152.0,193.0,137.0,72.0,41.0,130.0,129.0,27100.0,571.0,20671.0,116.0,505.0,136.0,86.0,30.0,7.0,22.0,5.0,41.0,39.0,15.0,14.0,22.0,23.0,22.0,23.0,7.0,8.0,7.0,23.0,29.0,13.0,14.0,8.0,0.0,0.0,0.0,47,157,000100,47157000100
1449,2246.0,34.0,744.0,312.0,449.0,226.0,70.0,23.0,18.0,5.0,22600.0,254.0,8220.0,155.0,567.0,287.0,114.0,42.0,65.0,57.0,24.0,42.0,20.0,7.0,17.0,6.0,22.0,0.0,8.0,18.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47,157,000200,47157000200
1450,3281.0,132.0,1018.0,429.0,435.0,545.0,96.0,38.0,31.0,24.0,30600.0,200.0,7356.0,300.0,696.0,358.0,246.0,75.0,77.0,44.0,29.0,28.0,13.0,19.0,13.0,17.0,7.0,9.0,14.0,12.0,0.0,0.0,9.0,13.0,0.0,28.0,7.0,0.0,0.0,0.0,47,157,000300,47157000300
1451,2838.0,51.0,972.0,444.0,549.0,482.0,142.0,10.0,24.0,8.0,28200.0,264.0,9087.0,519.0,490.0,287.0,225.0,85.0,70.0,63.0,0.0,46.0,42.0,47.0,13.0,28.0,13.0,10.0,0.0,7.0,8.0,8.0,0.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,47,157,000400,47157000400
1452,941.0,28.0,366.0,102.0,189.0,183.0,61.0,12.0,24.0,0.0,30000.0,278.0,11544.0,78.0,253.0,68.0,94.0,34.0,33.0,26.0,36.0,0.0,0.0,8.0,15.0,5.0,7.0,0.0,3.0,0.0,0.0,20.0,0.0,4.0,0.0,5.0,0.0,0.0,8.0,0.0,47,157,000500,47157000500
1453,3915.0,100.0,1364.0,489.0,932.0,631.0,221.0,77.0,50.0,11.0,29300.0,257.0,10131.0,808.0,559.0,366.0,309.0,134.0,72.0,81.0,47.0,95.0,43.0,41.0,10.0,11.0,25.0,18.0,18.0,25.0,6.0,6.0,0.0,4.0,30.0,0.0,11.0,0.0,5.0,7.0,47,157,000600,47157000600
1454,6447.0,1032.0,2472.0,620.0,894.0,1122.0,512.0,70.0,404.0,218.0,46200.0,351.0,15140.0,1125.0,1365.0,457.0,413.0,202.0,156.0,143.0,93.0,117.0,125.0,115.0,70.0,94.0,70.0,73.0,35.0,45.0,39.0,38.0,51.0,15.0,32.0,54.0,17.0,9.0,0.0,9.0,47,157,000700,47157000700
