,pop_17,white_17,hh_17,hinc_17,mhval_17,mhval_17_se,mrent_17,mrent_17_se,total_25_17,total_25_col_bd_17,total_25_col_md_17,total_25_col_pd_17,total_25_col_phd_17,tot_units_built_17,units_40_49_built_17,units_39_early_built_17,ohu_17,rhu_17,mmhcosts_17,iinc_17,I_10000_17,I_15000_17,I_20000_17,I_25000_17,I_30000_17,I_35000_17,I_40000_17,I_45000_17,I_50000_17,I_60000_17,I_75000_17,I_100000_17,I_125000_17,I_150000_17,I_200000_17,I_201000_17,mov_wc_w_income_17,mov_wc_9000_17,mov_wc_15000_17,mov_wc_25000_17,mov_wc_35000_17,mov_wc_50000_17,mov_wc_65000_17,mov_wc_75000_17,mov_wc_76000_more_17,mov_oc_w_income_17,mov_oc_9000_17,mov_oc_15000_17,mov_oc_25000_17,state_x,county_x,tract_x,mov_oc_35000_17,mov_oc_50000_17,mov_oc_65000_17,mov_oc_75000_17,mov_oc_76000_more_17,mov_os_w_income_17,mov_os_9000_17,mov_os_15000_17,mov_os_25000_17,mov_os_35000_17,mov_os_50000_17,mov_os_65000_17,mov_os_75000_17,mov_os_76000_more_17,mov_fa_w_income_17,mov_fa_9000_17,mov_fa_15000_17,mov_fa_25000_17,mov_fa_35000_17,mov_fa_50000_17,mov_fa_65000_17,mov_fa_75000_17,mov_fa_76000_more_17,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,4034.0,2476.0,1557.0,36348.0,120100.0,11933.0,851.0,48.0,2515.0,268.0,53.0,0.0,0.0,1822.0,34.0,0.0,666.0,891.0,844.0,23192.0,138.0,92.0,136.0,195.0,59.0,90.0,148.0,35.0,37.0,163.0,214.0,166.0,9.0,57.0,7.0,11.0,224.0,28.0,59.0,37.0,73.0,17.0,0.0,0.0,10.0,157.0,43.0,14.0,73.0,28,033,070412,0.0,27.0,0.0,0.0,0.0,213.0,42.0,43.0,84.0,17.0,0.0,27.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,0.0,28033070412,123300.0,8084.0,909.0,108.0,182.0,67.0,0.0,79.0,24.0,12.0,0.0,0.0,0.0,122.0,0.0,72.0,0.0,50.0,0.0,0.0,0.0,0.0,345.0,176.0,7.0,64.0,67.0,23.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19688.0,28,033,070412
1,5293.0,3323.0,1752.0,62455.0,117500.0,3808.0,1143.0,45.0,3037.0,246.0,80.0,0.0,71.0,1858.0,0.0,18.0,1281.0,471.0,1030.0,31094.0,25.0,81.0,31.0,65.0,99.0,91.0,89.0,100.0,35.0,152.0,344.0,337.0,195.0,68.0,9.0,31.0,440.0,155.0,37.0,34.0,93.0,35.0,33.0,7.0,46.0,142.0,40.0,24.0,21.0,28,033,070822,17.0,17.0,23.0,0.0,0.0,135.0,6.0,21.0,20.0,14.0,29.0,24.0,12.0,9.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28033070822,115700.0,3838.0,1107.0,108.0,69.0,0.0,0.0,13.0,12.0,44.0,0.0,0.0,0.0,73.0,6.0,0.0,0.0,7.0,31.0,29.0,0.0,0.0,209.0,105.0,12.0,0.0,81.0,11.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,29787.0,28,033,070822
2,4957.0,1042.0,1298.0,32099.0,76200.0,12556.0,589.0,184.0,3131.0,231.0,71.0,18.0,11.0,1451.0,37.0,132.0,686.0,612.0,714.0,21488.0,128.0,130.0,107.0,94.0,122.0,96.0,93.0,151.0,45.0,91.0,96.0,39.0,74.0,22.0,10.0,0.0,221.0,56.0,8.0,39.0,89.0,24.0,0.0,0.0,5.0,88.0,59.0,20.0,0.0,28,093,950402,9.0,0.0,0.0,0.0,0.0,48.0,22.0,8.0,0.0,5.0,7.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28093950402,82700.0,11230.0,711.0,125.0,205.0,100.0,32.0,54.0,8.0,0.0,0.0,0.0,11.0,101.0,88.0,6.0,2.0,5.0,0.0,0.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13917.0,28,093,950402
3,4332.0,2610.0,1639.0,53442.0,170100.0,9485.0,985.0,57.0,2948.0,406.0,197.0,17.0,31.0,1783.0,38.0,13.0,747.0,892.0,968.0,32816.0,79.0,58.0,37.0,66.0,120.0,150.0,111.0,77.0,60.0,142.0,229.0,177.0,116.0,73.0,96.0,48.0,273.0,28.0,0.0,13.0,86.0,93.0,27.0,0.0,26.0,200.0,13.0,63.0,0.0,28,033,070222,54.0,27.0,43.0,0.0,0.0,331.0,20.0,17.0,45.0,20.0,121.0,62.0,0.0,46.0,27.0,12.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,28033070222,165400.0,53449.0,912.0,36.0,400.0,56.0,16.0,33.0,106.0,177.0,12.0,0.0,0.0,88.0,15.0,0.0,34.0,9.0,21.0,9.0,0.0,0.0,279.0,23.0,37.0,36.0,8.0,53.0,44.0,78.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,32861.0,28,033,070222
4,4127.0,2693.0,1527.0,46415.0,109400.0,71938.0,973.0,59.0,2791.0,345.0,131.0,15.0,10.0,1606.0,35.0,0.0,1105.0,422.0,828.0,25095.0,126.0,137.0,31.0,93.0,27.0,137.0,66.0,108.0,82.0,117.0,194.0,97.0,153.0,24.0,105.0,30.0,477.0,118.0,46.0,111.0,145.0,0.0,6.0,0.0,51.0,87.0,13.0,25.0,0.0,28,033,070221,49.0,0.0,0.0,0.0,0.0,91.0,9.0,0.0,59.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28033070221,114400.0,41791.0,928.0,176.0,88.0,28.0,0.0,19.0,4.0,21.0,0.0,0.0,16.0,107.0,52.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,13.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26534.0,28,033,070221
5,4595.0,3156.0,1725.0,59803.0,118700.0,8523.0,976.0,28.0,3155.0,439.0,166.0,0.0,8.0,1821.0,0.0,0.0,1040.0,685.0,952.0,31602.0,66.0,55.0,46.0,91.0,71.0,149.0,83.0,79.0,93.0,134.0,275.0,229.0,186.0,56.0,61.0,51.0,300.0,36.0,12.0,8.0,72.0,95.0,0.0,0.0,77.0,65.0,34.0,0.0,31.0,28,033,070522,0.0,0.0,0.0,0.0,0.0,187.0,0.0,0.0,81.0,39.0,46.0,10.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28033070522,127500.0,10273.0,954.0,68.0,163.0,22.0,21.0,71.0,10.0,9.0,30.0,0.0,0.0,81.0,28.0,0.0,0.0,34.0,0.0,0.0,19.0,0.0,225.0,48.0,0.0,0.0,142.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30741.0,28,033,070522
6,3981.0,2656.0,1289.0,47179.0,91900.0,3943.0,1084.0,86.0,2511.0,278.0,100.0,8.0,0.0,1380.0,0.0,40.0,906.0,383.0,899.0,24205.0,5.0,21.0,72.0,101.0,168.0,44.0,107.0,96.0,35.0,115.0,187.0,216.0,107.0,0.0,15.0,0.0,142.0,30.0,0.0,65.0,19.0,28.0,0.0,0.0,0.0,50.0,0.0,12.0,0.0,28,033,070521,11.0,15.0,12.0,0.0,0.0,112.0,0.0,0.0,0.0,42.0,34.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28033070521,91500.0,10733.0,1041.0,114.0,358.0,94.0,0.0,101.0,120.0,0.0,14.0,29.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,83.0,19.0,35.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21188.0,28,033,070521
7,2887.0,1670.0,996.0,39871.0,75500.0,3375.0,995.0,53.0,1938.0,90.0,14.0,11.0,0.0,1146.0,19.0,9.0,489.0,507.0,876.0,19858.0,54.0,49.0,58.0,53.0,54.0,158.0,75.0,102.0,96.0,48.0,99.0,60.0,64.0,0.0,10.0,16.0,47.0,23.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,84.0,5.0,16.0,5.0,28,033,070325,42.0,5.0,5.0,0.0,6.0,117.0,0.0,54.0,45.0,18.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,28033070325,74800.0,3990.0,1104.0,90.0,123.0,31.0,0.0,37.0,55.0,0.0,0.0,0.0,0.0,85.0,50.0,19.0,0.0,16.0,0.0,0.0,0.0,0.0,90.0,48.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20510.0,28,033,070325
8,4832.0,3959.0,1874.0,64306.0,154800.0,9047.0,1006.0,220.0,3230.0,462.0,158.0,21.0,0.0,1930.0,27.0,57.0,1377.0,497.0,952.0,32674.0,45.0,23.0,68.0,95.0,76.0,71.0,95.0,61.0,161.0,135.0,252.0,423.0,198.0,68.0,63.0,40.0,173.0,46.0,13.0,33.0,29.0,32.0,9.0,4.0,7.0,33.0,14.0,13.0,0.0,28,033,070821,6.0,0.0,0.0,0.0,0.0,43.0,13.0,0.0,14.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28033070821,154000.0,5520.0,971.0,382.0,194.0,71.0,30.0,84.0,0.0,9.0,0.0,0.0,0.0,15.0,10.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,167.0,1.0,0.0,56.0,40.0,45.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28577.0,28,033,070821
9,3748.0,2102.0,1587.0,38153.0,94900.0,6915.0,961.0,57.0,2367.0,359.0,86.0,0.0,8.0,1716.0,6.0,0.0,670.0,917.0,899.0,26542.0,138.0,71.0,111.0,87.0,104.0,178.0,137.0,143.0,51.0,112.0,117.0,164.0,94.0,18.0,30.0,32.0,420.0,96.0,91.0,97.0,26.0,89.0,21.0,0.0,0.0,113.0,14.0,14.0,14.0,28,033,070310,11.0,48.0,12.0,0.0,0.0,257.0,66.0,0.0,84.0,38.0,28.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28033070310,96600.0,6467.0,981.0,44.0,292.0,135.0,13.0,46.0,0.0,60.0,33.0,5.0,0.0,25.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,348.0,67.0,39.0,12.0,87.0,101.0,23.0,0.0,19.0,14.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,29674.0,28,033,070310
