,FIPS,state,county,tract,pop_00,white_00,hu_00,ohu_00,rhu_00,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,hh_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,hinc_00,mrent_00,mhval_00
6175,06053000101,06,053,101,1891,859,531,430,101,1271,26,15,0,9,62,17,0,0,552,0,9,36,12,44,16,36,33,35,26,110,73,63,45,10,4,63333,810,233700
6176,06053000102,06,053,102,7390,1582,1832,1341,491,4197,190,45,70,23,282,41,65,8,1886,53,78,59,94,94,69,133,82,134,282,310,252,138,20,43,45,55545,871,198200
6177,06053000103,06,053,103,3478,883,1128,468,660,1950,151,46,12,36,117,53,7,0,1109,78,63,42,38,66,58,34,134,33,89,134,253,32,37,18,0,51518,765,231300
6178,06053000104,06,053,104,3214,1279,902,790,112,1886,113,0,41,0,132,22,25,0,852,21,21,29,8,69,52,13,36,44,126,117,168,76,44,21,7,60673,1390,217700
6179,06053000200,06,053,200,6922,1692,1765,1089,676,3799,131,31,0,5,173,38,5,4,1758,84,86,94,86,116,132,125,106,173,174,214,257,62,37,3,9,46190,801,172200
6180,06053000300,06,053,300,4109,1593,1311,780,531,2450,102,61,5,0,29,18,8,0,1316,44,86,93,97,87,67,64,126,69,136,157,162,77,36,3,12,44681,787,186000
6181,06053000400,06,053,400,6804,1831,2262,601,1661,3676,107,61,18,5,82,40,9,0,2261,259,118,181,275,182,143,160,132,144,186,216,129,97,12,9,18,34162,714,186700
6182,06053000500,06,053,500,9684,714,2102,818,1284,4800,63,48,0,0,76,4,0,0,2115,222,125,205,207,237,152,132,161,41,235,107,165,83,11,9,23,31898,645,155100
6183,06053000600,06,053,600,7614,422,1457,614,843,3741,57,9,5,0,28,4,28,0,1451,108,128,115,137,146,158,128,80,113,96,98,57,45,27,5,10,33044,653,152500
6184,06053000700,06,053,700,14189,442,2542,693,1849,6085,29,25,20,0,50,0,9,0,2539,314,219,224,190,180,214,203,88,174,278,185,145,40,61,7,17,33375,655,140000
6185,06053000800,06,053,800,5708,427,1184,652,532,2846,15,0,6,0,28,0,6,0,1190,75,74,66,123,111,67,78,47,116,110,132,116,47,11,17,0,40147,631,145500
6186,06053000900,06,053,900,5853,449,1259,528,731,2901,12,6,6,0,31,6,11,6,1269,109,73,140,129,116,81,140,75,38,170,92,54,37,8,7,0,34112,645,150800
6187,06053001000,06,053,1000,653,206,195,79,116,355,0,4,0,6,8,0,0,0,184,6,23,27,9,29,25,12,14,0,12,16,4,0,7,0,0,27328,624,242100
6188,06053001100,06,053,1100,3283,2135,1272,782,490,2342,210,80,37,39,264,29,10,0,1264,84,80,75,68,85,47,74,37,42,124,129,163,107,37,71,41,54571,702,275000
6189,06053001200,06,053,1200,3325,1974,1258,711,547,2294,157,75,25,11,198,79,18,8,1246,118,68,45,79,88,64,66,41,58,141,148,151,65,33,27,54,49286,671,245300
6190,06053001300,06,053,1300,2521,444,844,77,767,1457,78,29,10,4,59,10,7,0,919,217,91,55,94,79,128,67,17,20,55,28,29,30,0,0,9,25145,569,156600
6191,06053001400,06,053,1400,2721,1432,1075,491,584,1700,99,19,27,12,79,64,26,0,1000,95,84,45,49,55,88,61,47,33,82,72,140,70,39,26,14,42212,708,241600
6192,06053001500,06,053,1500,5830,3770,2618,1253,1365,4132,357,132,91,5,347,110,76,6,2622,115,89,127,114,145,164,207,157,229,336,384,285,162,43,25,40,48696,835,240100
6193,06053001600,06,053,1600,11429,4181,1009,722,287,9086,559,79,17,19,199,131,5,12,999,62,45,35,47,32,65,44,57,38,84,141,185,98,28,14,24,58750,782,244300
6194,06053001700,06,053,1700,3798,1254,1275,462,813,2263,139,54,8,0,149,46,13,0,1279,94,37,121,129,103,113,120,60,106,73,138,91,61,22,0,11,36742,704,180200
6195,06053001800,06,053,1800,8971,2596,2684,1267,1417,5239,361,73,62,7,321,100,27,0,2682,149,118,76,166,173,107,196,174,207,287,349,332,201,95,31,21,49362,903,185500
6196,06053010101,06,053,10101,4756,455,973,370,603,2291,24,10,10,0,40,0,0,0,969,82,15,58,64,83,79,61,78,94,70,98,107,26,10,13,31,42936,747,173200
6197,06053010102,06,053,10102,3400,1954,991,794,197,2167,137,83,17,14,165,16,36,0,998,19,55,5,4,50,53,40,64,62,86,125,224,64,86,41,20,66576,1023,346700
6198,06053010201,06,053,10201,4979,1076,1117,798,319,2710,89,28,30,4,83,11,2,0,1122,69,81,47,72,45,67,76,89,75,84,111,164,95,15,18,14,46974,850,236400
6199,06053010202,06,053,10202,4193,2211,1228,903,325,2666,175,70,44,9,136,45,15,0,1227,55,45,91,42,10,51,82,64,44,120,120,246,88,63,42,64,61188,804,304300
6200,06053010302,06,053,10302,1259,708,456,304,152,804,31,14,7,0,5,0,0,0,415,56,47,18,21,20,14,11,32,25,20,50,50,36,8,7,0,41653,596,213600
6201,06053010303,06,053,10303,365,179,143,63,80,242,13,16,0,0,0,17,10,0,150,10,7,11,7,11,8,11,0,0,17,29,6,23,0,0,10,58971,480,193800
6202,06053010304,06,053,10304,4384,2793,1475,1157,318,2954,210,83,8,16,192,85,0,6,1468,117,89,21,54,55,83,44,141,44,235,232,133,130,48,31,11,53700,731,210800
6203,06053010305,06,053,10305,4499,3326,1532,1283,249,3010,224,86,34,12,298,63,33,0,1522,43,19,69,26,48,11,115,64,98,157,189,296,204,91,59,33,68289,985,283400
6204,06053010400,06,053,10400,6724,569,1434,647,787,3307,27,9,0,0,23,31,9,0,1430,126,57,101,92,100,164,93,150,80,138,133,131,28,8,11,18,38594,688,174100
6205,06053010501,06,053,10501,6333,4161,2022,1638,384,4049,245,82,69,17,232,91,43,2,2023,70,49,64,105,59,88,85,89,45,154,252,426,234,125,126,52,72352,836,309900
6206,06053010503,06,053,10503,9188,2714,2830,1277,1553,5197,196,60,24,0,161,58,10,0,2836,122,162,145,153,174,151,304,206,178,369,430,281,85,52,16,8,45039,824,123400
6207,06053010504,06,053,10504,4385,1438,1474,656,818,2506,56,10,20,0,128,36,0,0,1466,65,68,130,48,90,62,120,169,121,152,207,138,38,20,28,10,44478,918,157900
6208,06053010602,06,053,10602,8179,435,1200,540,660,3740,7,8,13,0,0,7,5,0,1196,87,88,108,84,118,132,83,63,63,99,137,92,42,0,0,0,34406,671,127000
6209,06053010603,06,053,10603,5156,1867,1386,1308,78,2897,258,78,38,0,357,50,17,6,1378,31,19,10,48,18,44,22,57,15,133,185,362,295,101,4,34,83123,1354,266000
6210,06053010604,06,053,10604,3693,580,833,777,56,1901,95,32,13,9,104,17,0,11,832,37,29,17,7,8,100,30,38,27,60,154,187,79,43,8,8,65984,1188,213800
6211,06053010605,06,053,10605,2691,422,591,469,122,1275,40,26,0,10,54,46,19,0,534,31,6,14,17,23,33,32,33,47,81,76,77,13,8,18,25,53500,626,220200
6212,06053010606,06,053,10606,4403,1081,1125,564,561,2321,115,49,13,0,87,14,11,2,1132,86,67,78,60,55,55,18,39,47,86,211,158,58,25,78,11,58641,704,219900
6213,06053010701,06,053,10701,6524,5239,2294,2127,167,4420,535,282,147,76,687,288,115,30,2277,27,9,72,23,34,69,54,113,50,159,289,448,306,270,193,161,87770,1135,379900
6214,06053010702,06,053,10702,3900,3449,1512,1351,161,2862,357,155,273,70,373,248,64,20,1560,58,12,28,37,22,27,78,56,26,105,119,234,257,91,129,281,94683,1088,562500
6215,06053010801,06,053,10801,9405,1389,2198,1233,965,4657,147,42,2,0,173,9,28,0,2205,138,56,111,192,177,178,161,158,163,174,247,228,137,23,25,37,42172,627,170200
6216,06053010802,06,053,10802,1462,39,283,137,146,664,2,7,3,5,2,3,2,8,277,5,13,29,20,22,19,25,12,26,32,29,26,9,5,0,5,43375,593,154200
6217,06053010900,06,053,10900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6218,06053011000,06,053,11000,6281,5567,2615,1843,772,4789,498,291,119,110,752,326,113,17,2608,142,54,113,105,119,105,113,70,114,252,227,320,230,194,159,291,70313,837,475600
6219,06053011101,06,053,11101,5239,616,1179,622,557,2661,33,21,19,16,85,16,3,0,1178,87,103,39,75,100,72,87,70,124,79,104,115,38,40,21,24,41857,651,138800
6220,06053011102,06,053,11102,7406,932,1712,1106,606,3854,91,11,22,7,170,26,19,0,1714,70,130,96,177,120,82,87,82,131,200,220,199,73,0,23,24,45382,587,163700
6221,06053011201,06,053,11201,9145,892,1925,1088,837,4452,47,23,21,0,42,0,19,0,1923,110,156,93,211,168,178,181,112,106,246,162,139,44,9,8,0,36580,656,121800
6222,06053011202,06,053,11202,4832,677,1096,628,468,2365,28,21,8,0,36,8,8,0,1101,92,76,53,93,108,65,44,88,67,143,106,105,32,20,0,9,40841,634,134700
6223,06053011301,06,053,11301,9560,2649,2526,1681,845,5132,157,56,19,45,216,12,41,14,2527,176,197,168,110,197,141,104,167,195,237,226,340,168,69,11,21,45074,639,139000
6224,06053011302,06,053,11302,5325,956,1388,497,891,2784,80,19,0,22,62,0,15,8,1387,157,186,126,125,138,47,101,20,46,138,88,91,52,4,23,45,28868,632,140500
6225,06053011400,06,053,11400,3323,2251,1167,647,520,2085,88,33,2,1,108,11,11,0,1163,129,61,93,90,79,102,76,51,51,104,145,95,50,18,14,5,37218,547,170500
6226,06053011500,06,053,11500,1180,1050,554,268,286,959,146,31,19,9,175,21,20,12,591,63,35,21,40,34,43,27,49,27,46,47,35,41,36,26,21,42196,817,639800
6227,06053011600,06,053,11600,7349,6685,3524,2624,900,6070,731,411,284,111,1005,316,88,58,3519,187,168,183,116,180,125,180,91,96,346,287,459,273,224,169,435,65424,1167,599600
6228,06053011700,06,053,11700,4290,3913,1940,1483,457,3503,523,218,147,50,485,366,122,31,1945,70,58,32,49,98,75,77,58,113,141,185,358,240,114,79,198,76948,1430,643400
6229,06053011800,06,053,11800,4075,3777,2282,1301,981,3542,434,273,120,56,647,283,80,44,2273,158,155,72,126,119,129,86,91,46,203,213,251,212,84,136,192,58163,1120,660200
6230,06053011900,06,053,11900,4548,4076,2103,1854,249,3815,451,374,235,146,685,327,81,27,2115,31,27,55,26,21,42,80,30,86,123,143,393,269,229,228,332,100036,2001,736900
6231,06053012000,06,053,12000,3694,2800,1463,815,648,2579,313,125,26,36,338,171,42,39,1484,86,39,71,67,83,93,101,134,55,157,143,216,91,79,46,23,50533,864,370600
6232,06053012100,06,053,12100,2193,1835,1021,621,400,1633,137,68,35,20,265,111,7,5,987,40,17,31,92,30,62,70,69,102,90,101,134,70,24,33,22,48984,1162,413200
6233,06053012200,06,053,12200,2779,2334,1258,627,631,2117,227,74,22,43,310,175,25,12,1248,39,40,88,48,81,63,90,59,89,186,140,132,120,21,25,27,51164,1104,386900
6234,06053012301,06,053,12301,1028,756,389,337,52,760,102,29,21,7,122,43,7,15,392,17,0,18,16,20,20,8,34,13,25,42,64,28,48,24,15,70625,689,295500
6235,06053012302,06,053,12302,1959,1701,992,397,595,1537,194,72,33,28,217,85,28,0,932,67,34,46,37,27,54,68,37,51,148,106,86,61,50,28,32,52009,949,415600
6236,06053012401,06,053,12401,1781,1580,1009,367,642,1512,140,105,49,17,232,145,27,0,985,56,55,53,25,105,25,86,63,67,82,96,98,67,40,29,38,46914,980,427800
6237,06053012402,06,053,12402,3102,2696,1564,769,795,2511,307,171,58,46,372,182,70,34,1640,84,97,94,101,93,104,110,75,56,155,184,193,112,25,58,99,50366,925,512900
6238,06053012500,06,053,12500,5315,4021,2592,950,1642,4024,596,208,69,113,470,212,62,41,2604,118,131,138,99,186,166,139,180,131,367,349,298,159,88,29,26,50254,886,359700
6239,06053012600,06,053,12600,2510,1959,68,2,66,431,93,8,8,0,63,17,0,0,74,0,0,0,5,10,9,0,22,0,12,0,8,8,0,0,0,42500,1034,0
6240,06053012700,06,053,12700,3538,2627,1810,491,1319,2747,253,175,45,31,352,276,34,29,1818,197,138,112,164,120,148,74,134,101,136,122,206,105,17,0,44,36705,818,397400
6241,06053012800,06,053,12800,5502,4607,2365,1703,662,4367,579,299,182,88,639,396,36,29,2356,81,82,84,62,66,153,162,139,112,181,261,318,282,150,72,151,61228,1102,453100
6242,06053013000,06,053,13000,3469,2623,1902,286,1616,2711,473,149,35,94,318,136,22,30,1897,141,77,143,90,131,104,120,107,102,213,167,232,117,60,63,30,46675,973,376800
6243,06053013100,06,053,13100,1796,1365,502,7,495,993,305,170,0,0,238,41,13,0,490,9,0,0,13,11,13,29,61,47,95,95,85,28,4,0,0,53889,1037,875000
6244,06053013200,06,053,13200,3662,3164,1423,1229,194,2756,299,253,161,123,492,183,56,15,1438,26,37,25,32,47,20,79,42,46,125,206,168,174,79,124,208,78808,1580,547000
6245,06053013300,06,053,13300,6019,3682,2759,898,1861,4325,491,189,35,69,503,115,19,39,2777,335,174,164,146,143,154,160,126,250,357,353,173,109,43,74,16,44325,844,289000
6246,06053013400,06,053,13400,1650,1367,704,539,165,1248,128,59,16,14,115,65,16,15,708,19,21,24,30,26,34,53,34,37,79,109,126,54,28,27,7,59423,1284,299200
6247,06053013500,06,053,13500,5042,1903,1725,1036,689,3337,117,62,19,13,162,82,41,0,1725,170,96,111,87,73,121,110,68,94,200,198,222,88,27,45,15,46577,736,249600
6248,06053013600,06,053,13600,4524,1493,1418,653,765,2718,79,6,10,8,120,23,9,5,1425,133,86,60,49,104,127,126,75,87,148,173,147,62,16,21,11,41677,773,263300
