,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
5373,06053000100,06,053,100,9189,2628,9189,5401,710,789,1409,1426,503,431,2628,65,77,97,25,42,71,93,78,126,60,159,91,70,118,166,107,151,106,191,157,286,196,41,35,42139,2641,1780,642,162000
5374,06053000200,06,053,200,5700,1720,5700,3373,587,425,1163,634,314,189,1720,22,43,31,62,69,66,96,68,120,92,91,92,84,29,124,77,93,65,100,85,127,74,10,0,35238,1749,1038,616,141000
5375,06053000300,06,053,300,4012,1456,4012,2551,224,403,679,570,191,374,1456,17,83,42,52,84,28,103,65,85,37,95,80,74,40,69,64,39,41,66,72,107,62,36,10,33656,1456,785,640,157300
5376,06053000400,06,053,400,4907,1913,4907,3076,394,462,773,777,273,289,1913,70,230,78,89,98,66,115,95,122,85,142,63,93,49,68,27,70,42,74,73,82,41,20,0,27367,1919,585,538,161300
5377,06053000500,06,053,500,9255,2282,9255,4520,2191,717,750,487,96,227,2282,149,225,104,150,166,111,231,125,111,70,80,77,66,64,79,66,54,21,86,51,90,62,11,9,22600,2267,793,468,151200
5378,06053000600,06,053,600,5904,1359,5904,2799,1532,512,394,187,88,58,1359,61,126,34,117,44,75,110,92,53,37,80,72,68,49,92,29,50,11,44,53,27,30,5,0,25967,1391,598,549,125000
5379,06053000700,06,053,700,11272,2545,11272,4908,2388,866,806,565,209,63,2545,138,372,187,154,250,149,231,133,86,82,70,120,116,54,45,54,35,24,99,19,107,20,0,0,20244,2528,749,530,120500
5380,06053000800,06,053,800,4637,1191,4637,2367,984,396,500,325,85,39,1191,21,123,38,57,23,72,74,109,84,90,86,70,51,6,27,38,28,0,34,47,43,63,7,0,27336,1203,655,534,125100
5381,06053000900,06,053,900,4663,1256,4663,2326,903,423,503,287,133,49,1256,61,90,40,99,81,53,103,94,57,53,34,60,38,24,53,52,43,49,56,34,53,23,6,0,25307,1223,493,565,124100
5382,06053001000,06,053,1000,529,181,529,249,157,46,4,27,7,0,181,9,23,43,0,14,28,15,0,0,8,23,0,0,0,6,12,0,0,0,0,0,0,0,0,17634,178,22,440,72700
5383,06053001100,06,053,1100,3228,1251,3228,2413,222,247,540,593,179,405,1251,44,48,34,56,32,47,33,26,64,36,82,49,45,24,58,45,19,37,80,62,145,93,21,32,40237,1245,793,615,232400
5384,06053001200,06,053,1200,3182,1240,3182,2197,205,228,434,602,196,345,1240,33,73,33,26,59,47,79,61,57,61,80,57,98,35,48,50,30,14,26,35,92,66,34,7,32982,1240,686,535,205700
5385,06053001300,06,053,1300,2225,821,2225,1205,444,300,197,137,74,23,821,37,249,61,27,38,77,27,38,48,26,29,42,19,14,32,14,15,7,7,8,6,0,0,0,17401,786,87,469,134900
5386,06053001400,06,053,1400,2719,1132,2719,1828,155,257,450,499,123,217,1132,27,97,89,36,40,48,73,28,49,45,68,27,69,29,34,7,35,23,64,50,87,50,36,7,31250,1072,472,574,188600
5387,06053001500,06,053,1500,5736,2449,5736,4056,179,397,871,1015,330,844,2449,75,164,70,49,44,65,75,109,61,83,186,137,122,68,98,40,69,53,134,140,256,235,87,21,37182,2443,1283,616,202600
5388,06053001600,06,053,1600,2780,998,2780,1861,70,147,509,491,262,258,998,29,23,12,33,22,38,18,15,58,26,51,25,22,12,29,25,40,21,66,80,166,122,27,18,50000,996,720,625,200900
5389,06053001700,06,053,1700,3523,1278,3523,2040,370,332,426,406,146,277,1278,42,106,62,60,67,38,82,101,69,38,162,38,40,46,56,22,14,46,50,20,82,37,0,0,28289,1253,478,564,176900
5390,06053001800,06,053,1800,7249,2392,7249,4258,559,542,992,1004,400,578,2392,71,117,101,16,61,111,159,103,44,64,118,127,89,91,132,79,121,69,214,50,259,126,37,0,37912,2385,1097,690,167100
5391,06053010198,06,053,10198,7084,1811,7084,3852,1342,408,845,580,248,255,1811,67,85,61,69,44,84,104,103,99,62,90,45,75,36,46,61,32,49,93,131,170,121,47,28,34583,1788,1036,564,226200
5392,06053010201,06,053,10201,4052,940,4052,2010,501,376,466,292,126,161,940,24,25,3,36,20,21,16,55,46,66,34,28,93,54,9,41,42,34,86,46,90,47,9,0,37639,968,607,596,210000
5393,06053010202,06,053,10202,3799,1150,3799,2403,388,308,530,600,205,290,1150,28,7,16,43,17,11,68,34,35,40,46,50,58,65,61,29,52,26,91,29,145,128,43,6,42336,1116,792,681,236400
5394,06053010301,06,053,10301,8454,2762,8454,5444,378,643,1352,1496,514,769,2762,63,118,121,51,95,32,63,135,49,140,128,123,56,106,101,122,124,59,119,172,395,273,52,17,42500,2773,2260,757,230900
5395,06053010302,06,053,10302,1977,656,1977,1198,195,244,301,222,48,148,656,42,44,44,30,23,24,9,21,8,34,32,32,37,35,16,21,40,13,41,18,20,27,15,21,33828,679,412,476,175300
5396,06053010400,06,053,10400,5272,1287,5272,2651,1293,437,407,235,141,110,1287,68,68,50,57,51,87,122,55,98,78,67,54,51,54,30,16,31,17,74,24,46,49,40,0,27181,1277,562,533,132600
