,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,2306.0,594.0,521.0,80369.0,309400.0,52454.0,1125.0,227.0,1517.0,134.0,53.0,0.0,0.0,576.0,74.0,20.0,409.0,112.0,1452.0,26862.0,25.0,5.0,11.0,13.0,15.0,36.0,0.0,16.0,24.0,37.0,43.0,127.0,96.0,30.0,28.0,15.0,17.0,0.0,0.0,2.0,0.0,0.0,12.0,0.0,3.0,32.0,14.0,2.0,1400000US06053000101,06,053,000101,7.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06053000101,261200.0,40244.0,1589.0,237.0,22.0,2.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24298.0,06,053,000101
1,9262.0,933.0,2259.0,81236.0,444200.0,16586.0,1967.0,331.0,5912.0,482.0,173.0,43.0,0.0,2298.0,0.0,92.0,1520.0,739.0,2012.0,27818.0,113.0,12.0,44.0,14.0,84.0,46.0,29.0,25.0,139.0,172.0,361.0,279.0,193.0,279.0,297.0,172.0,166.0,48.0,0.0,0.0,1.0,48.0,0.0,30.0,39.0,44.0,16.0,0.0,1400000US06053000102,06,053,000102,0.0,0.0,0.0,0.0,0.0,28.0,50.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,31.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,06053000102,352800.0,27749.0,1424.0,293.0,447.0,50.0,11.0,133.0,0.0,60.0,147.0,0.0,46.0,118.0,0.0,0.0,0.0,46.0,15.0,57.0,0.0,0.0,51.0,15.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28224.0,06,053,000102
2,4386.0,573.0,1343.0,53887.0,422500.0,26398.0,1256.0,147.0,2876.0,277.0,61.0,67.0,27.0,1406.0,26.0,7.0,352.0,991.0,1379.0,22458.0,31.0,153.0,101.0,132.0,68.0,18.0,25.0,32.0,42.0,187.0,121.0,131.0,126.0,63.0,87.0,26.0,213.0,24.0,23.0,62.0,61.0,28.0,8.0,0.0,7.0,42.0,7.0,19.0,1400000US06053000103,06,053,000103,0.0,7.0,0.0,0.0,0.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06053000103,273200.0,16104.0,1122.0,103.0,538.0,98.0,27.0,110.0,118.0,67.0,67.0,17.0,34.0,24.0,0.0,0.0,9.0,0.0,6.0,9.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28492.0,06,053,000103
3,3850.0,538.0,938.0,94167.0,415000.0,20984.0,1821.0,183.0,2483.0,509.0,110.0,10.0,24.0,970.0,23.0,0.0,718.0,220.0,1862.0,33291.0,28.0,0.0,6.0,32.0,20.0,19.0,7.0,12.0,0.0,133.0,62.0,191.0,177.0,72.0,111.0,68.0,82.0,32.0,0.0,2.0,6.0,0.0,16.0,18.0,8.0,91.0,13.0,0.0,1400000US06053000104,06,053,000104,18.0,0.0,47.0,7.0,0.0,6.0,14.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,5.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06053000104,329100.0,28604.0,1726.0,189.0,260.0,0.0,0.0,47.0,59.0,39.0,32.0,43.0,40.0,26.0,8.0,0.0,0.0,0.0,0.0,11.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,30868.0,06,053,000104
4,7500.0,897.0,1753.0,70123.0,299600.0,32648.0,1673.0,112.0,4665.0,179.0,77.0,0.0,30.0,1800.0,127.0,48.0,1034.0,719.0,1581.0,25793.0,52.0,31.0,83.0,52.0,23.0,56.0,116.0,82.0,46.0,200.0,184.0,324.0,116.0,206.0,139.0,43.0,381.0,61.0,121.0,64.0,50.0,70.0,0.0,0.0,15.0,115.0,18.0,9.0,1400000US06053000200,06,053,000200,22.0,0.0,51.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06053000200,194800.0,19258.0,1231.0,140.0,457.0,62.0,59.0,125.0,56.0,111.0,20.0,0.0,24.0,57.0,14.0,13.0,0.0,9.0,0.0,21.0,0.0,0.0,86.0,15.0,0.0,51.0,20.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20424.0,06,053,000200
5,4605.0,927.0,1312.0,56875.0,350700.0,14175.0,1288.0,75.0,2922.0,237.0,25.0,0.0,24.0,1319.0,169.0,36.0,835.0,477.0,1376.0,24004.0,31.0,39.0,12.0,88.0,137.0,81.0,25.0,34.0,77.0,165.0,204.0,185.0,94.0,41.0,18.0,81.0,335.0,144.0,37.0,43.0,43.0,60.0,8.0,0.0,0.0,75.0,9.0,12.0,1400000US06053000300,06,053,000300,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06053000300,257500.0,21587.0,1241.0,115.0,392.0,78.0,71.0,59.0,30.0,69.0,63.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,24.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25552.0,06,053,000300
6,8489.0,1143.0,2428.0,48886.0,331100.0,25081.0,1262.0,101.0,4782.0,320.0,111.0,12.0,0.0,2457.0,61.0,83.0,637.0,1791.0,1269.0,22054.0,222.0,106.0,70.0,163.0,134.0,79.0,191.0,136.0,158.0,175.0,275.0,460.0,18.0,195.0,46.0,0.0,394.0,71.0,32.0,65.0,89.0,6.0,21.0,30.0,80.0,289.0,41.0,0.0,1400000US06053000400,06,053,000400,177.0,0.0,41.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06053000400,285400.0,33747.0,937.0,58.0,678.0,266.0,117.0,119.0,91.0,60.0,25.0,0.0,0.0,149.0,4.0,0.0,42.0,0.0,53.0,0.0,0.0,50.0,79.0,0.0,13.0,36.0,0.0,13.0,17.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22007.0,06,053,000400
7,4349.0,153.0,1088.0,39922.0,322300.0,54635.0,1012.0,94.0,2478.0,88.0,0.0,0.0,0.0,1123.0,102.0,165.0,169.0,919.0,993.0,16674.0,90.0,129.0,25.0,31.0,50.0,143.0,78.0,128.0,39.0,250.0,58.0,54.0,13.0,0.0,0.0,0.0,174.0,12.0,0.0,139.0,23.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1400000US06053000501,06,053,000501,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06053000501,324000.0,61505.0,895.0,171.0,399.0,78.0,118.0,203.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,11.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12521.0,06,053,000501
8,3919.0,343.0,950.0,51111.0,270900.0,20457.0,1193.0,180.0,2133.0,86.0,20.0,7.0,0.0,1013.0,41.0,5.0,525.0,425.0,1177.0,22123.0,41.0,35.0,46.0,89.0,75.0,28.0,61.0,52.0,40.0,82.0,150.0,125.0,73.0,31.0,19.0,3.0,75.0,13.0,0.0,54.0,0.0,0.0,5.0,0.0,3.0,49.0,14.0,8.0,1400000US06053000502,06,053,000502,0.0,15.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06053000502,188000.0,38805.0,995.0,240.0,193.0,90.0,58.0,42.0,0.0,0.0,0.0,0.0,3.0,19.0,5.0,0.0,0.0,0.0,0.0,10.0,0.0,4.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18417.0,06,053,000502
9,7376.0,205.0,1466.0,47179.0,281700.0,33172.0,1263.0,133.0,3945.0,100.0,22.0,0.0,0.0,1466.0,610.0,21.0,417.0,1049.0,1243.0,19747.0,29.0,60.0,110.0,47.0,92.0,145.0,82.0,134.0,67.0,209.0,230.0,155.0,38.0,24.0,37.0,7.0,234.0,27.0,19.0,165.0,0.0,11.0,12.0,0.0,0.0,56.0,15.0,0.0,1400000US06053000600,06,053,000600,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,06053000600,172800.0,96764.0,1013.0,97.0,272.0,15.0,124.0,88.0,14.0,12.0,0.0,19.0,0.0,46.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,15824.0,06,053,000600
