,FIPS,state,county,tract,pop_00,white_00,hu_00,ohu_00,rhu_00,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,hh_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,hinc_00,mrent_00,mhval_00
6938,06065010000,06,065,10000,1956,1565,979,800,179,1596,206,71,46,8,115,53,16,8,970,62,56,56,74,67,60,67,56,55,62,86,97,51,30,48,43,43194,964,125900
6939,06065010100,06,065,10100,2830,1732,1485,480,1005,2164,160,55,34,25,149,38,11,8,1482,263,187,164,159,107,105,58,66,57,67,90,85,32,14,24,4,23961,581,117100
6940,06065010200,06,065,10200,3653,2738,1802,1313,489,2902,343,104,48,25,214,92,31,15,1807,167,97,113,102,154,131,124,99,80,158,175,192,88,44,43,40,40731,722,135000
6941,06065010300,06,065,10300,2561,2194,1390,944,446,2237,292,127,87,22,178,66,29,2,1404,71,73,70,105,81,79,106,60,93,135,172,135,76,64,46,38,47568,876,154900
6942,06065010400,06,065,10400,2433,2231,1492,1229,263,2285,255,85,99,25,178,95,19,16,1473,122,96,128,133,92,122,47,58,57,106,98,144,75,59,58,78,39620,748,147800
6943,06065010500,06,065,10500,1726,1386,1038,793,245,1537,101,62,25,16,97,39,17,7,1033,118,96,64,72,80,68,88,103,21,86,60,65,56,16,20,20,35680,628,94700
6944,06065010600,06,065,10600,2179,2019,1359,1156,203,2127,183,99,16,19,153,44,6,9,1360,142,121,134,148,98,129,74,60,60,77,95,92,63,33,17,17,31652,833,67600
6945,06065010700,06,065,10700,1229,1099,713,459,254,1106,137,37,89,8,91,38,13,2,716,81,56,24,57,51,28,43,27,21,31,61,69,39,32,24,72,42955,759,268500
6946,06065010800,06,065,10800,1487,1342,817,723,94,1341,98,45,29,16,88,37,24,0,779,53,36,47,45,53,49,69,42,33,68,103,75,36,27,11,32,44531,692,52600
6947,06065010900,06,065,10900,1304,1181,759,650,109,1213,118,34,66,4,82,37,11,0,756,45,48,47,76,55,48,33,36,20,48,57,84,45,17,28,69,43438,850,121100
6948,06065030100,06,065,30100,7907,2514,2251,1357,894,4316,97,11,20,5,123,30,11,0,2249,208,184,140,165,149,170,160,89,170,228,227,185,113,33,7,21,38410,631,103600
6949,06065030200,06,065,30200,4682,2822,1896,909,987,2999,234,73,28,72,162,127,29,16,1913,260,89,100,180,140,114,106,140,40,167,198,151,117,6,49,56,38271,572,128300
6950,06065030300,06,065,30300,4845,2138,1533,208,1325,3088,133,21,0,12,109,26,20,6,1540,371,231,169,164,135,141,85,21,40,63,55,34,20,0,4,7,19929,493,125000
6951,06065030400,06,065,30400,5966,555,1583,733,850,3140,68,6,24,0,93,24,14,6,1582,289,161,155,139,141,105,127,49,80,64,105,97,47,10,5,8,25955,480,95000
6952,06065030501,06,065,30501,4529,531,1215,616,599,2494,30,35,11,18,48,24,11,4,1203,173,141,106,131,72,91,61,29,64,105,67,53,51,38,6,15,28147,493,107800
6953,06065030502,06,065,30502,2103,190,483,197,286,1048,21,20,0,0,11,0,7,0,505,78,53,61,42,28,78,17,5,27,47,31,16,9,0,0,13,27625,531,86900
6954,06065030503,06,065,30503,4325,368,1102,191,911,1952,17,0,10,0,33,0,13,0,1102,299,120,104,55,141,79,54,65,53,46,39,16,26,0,5,0,22672,477,94600
6955,06065030601,06,065,30601,4324,3123,1400,1334,66,2771,342,146,200,96,358,174,105,41,1392,44,14,14,47,32,34,46,35,28,55,146,254,140,78,139,286,95378,1208,347600
6956,06065030602,06,065,30602,3478,2659,1270,1157,113,2288,190,127,86,58,249,119,21,10,1161,55,32,16,21,18,9,42,85,0,76,150,224,169,96,57,111,83564,1183,218900
6957,06065030603,06,065,30603,2841,2359,1054,986,68,2223,259,171,93,68,253,177,41,29,1168,22,22,22,6,43,79,0,45,33,43,180,159,234,66,123,91,89564,1606,215900
6958,06065030700,06,065,30700,5463,3566,2128,1268,860,3488,360,114,39,25,336,152,35,32,2126,226,131,111,175,153,179,134,66,36,249,190,223,106,44,52,51,38333,619,140800
6959,06065030800,06,065,30800,6402,3971,2353,1544,809,4234,196,72,56,8,264,82,8,8,2364,216,92,108,171,115,204,94,164,191,216,311,294,105,50,14,19,45523,678,137300
6960,06065030900,06,065,30900,3070,1139,829,623,206,1700,48,36,20,0,55,7,0,5,833,70,40,31,58,62,56,75,40,50,144,86,46,42,18,10,5,43155,808,119000
6961,06065031001,06,065,31001,4787,3074,1810,1079,731,3098,204,100,11,8,147,62,17,0,1815,157,88,134,134,114,92,147,137,91,216,158,186,100,9,22,30,41206,711,130500
6962,06065031002,06,065,31002,4116,1359,1114,718,396,2213,87,8,0,0,68,23,4,0,1112,57,98,50,71,76,150,97,41,60,109,112,109,53,17,12,0,37933,779,102900
6963,06065031100,06,065,31100,4638,2988,1681,947,734,2953,154,102,11,20,159,68,23,11,1688,88,88,127,119,144,132,95,93,41,174,214,222,124,10,7,10,42452,744,133500
6964,06065031200,06,065,31200,6504,3651,2138,1592,546,3913,232,113,40,30,229,151,28,9,2134,186,64,76,99,177,118,106,103,114,237,368,218,136,52,39,41,50714,918,135400
6965,06065031300,06,065,31300,2606,84,606,406,200,1348,4,6,4,0,16,0,7,0,608,52,57,76,111,40,22,35,24,47,64,18,36,10,7,4,5,26176,640,88500
6966,06065031401,06,065,31401,6008,3063,2129,995,1134,3510,145,69,51,10,201,57,14,0,2136,207,106,216,144,137,166,169,164,152,155,234,194,49,22,15,6,38422,680,121100
6967,06065031402,06,065,31402,6026,3374,2267,1001,1266,3741,107,84,29,0,178,22,26,8,2277,235,141,185,164,160,175,184,172,135,259,279,91,69,18,10,0,37256,759,108800
6968,06065031501,06,065,31501,6219,3199,2083,767,1316,3319,149,38,6,0,139,85,39,17,2092,268,149,108,180,145,147,148,145,108,252,154,138,48,36,32,34,36914,705,115800
6969,06065031502,06,065,31502,7091,3885,2525,1386,1139,4367,184,55,29,0,206,78,9,0,2530,297,156,240,143,250,209,146,97,136,185,236,235,124,32,6,38,34405,632,118100
6970,06065031600,06,065,31600,9087,3925,2859,1305,1554,5115,215,16,35,0,112,84,20,12,2861,291,256,220,145,251,269,219,260,117,227,333,204,64,5,0,0,34968,696,112800
6971,06065031701,06,065,31701,2764,979,773,532,241,1485,52,20,18,37,60,36,17,0,747,61,64,58,35,53,27,50,37,25,60,75,98,21,12,36,35,43487,448,175000
6972,06065031702,06,065,31702,2402,1476,712,597,115,1494,122,34,46,0,51,37,5,5,711,13,6,32,8,27,38,39,47,24,101,86,148,76,18,12,36,61830,967,143900
6973,06065031703,06,065,31703,2914,1628,832,649,183,1760,106,76,8,9,111,67,0,0,862,42,17,94,27,17,40,76,47,29,77,90,140,80,28,40,18,55357,1050,143200
6974,06065031704,06,065,31704,4714,2199,1587,909,678,2727,88,24,10,0,84,85,7,0,1599,182,92,104,41,166,96,126,170,50,156,158,135,78,11,7,27,39659,661,121800
6975,06065040100,06,065,40100,8005,2266,1935,1554,381,4392,85,5,11,17,27,34,8,0,1926,182,103,106,137,54,121,115,213,93,219,230,216,56,36,20,25,43132,773,118300
6976,06065040201,06,065,40201,4356,1744,1239,913,326,2550,80,30,22,0,106,15,0,8,1272,54,61,57,111,48,94,77,77,79,114,216,162,54,48,0,20,48659,713,118200
6977,06065040202,06,065,40202,2501,1402,818,644,174,1420,40,7,8,0,20,20,12,5,777,22,77,71,33,33,73,58,15,9,81,121,132,37,6,9,0,49306,739,109900
6978,06065040203,06,065,40203,3785,818,1043,439,604,1808,41,0,8,0,17,9,0,0,1043,225,72,114,102,93,106,74,36,40,44,70,29,21,0,0,17,25327,480,63100
6979,06065040204,06,065,40204,3508,474,840,371,469,1680,17,0,19,0,12,0,8,0,840,167,127,64,98,108,33,47,19,8,65,54,25,16,9,0,0,22857,548,83900
6980,06065040301,06,065,40301,6634,2138,1775,1103,672,3536,61,7,0,8,16,42,13,8,1770,240,140,147,127,146,104,163,98,37,180,176,130,63,0,12,7,34221,513,91700
6981,06065040302,06,065,40302,6484,3336,1868,1665,203,3897,217,68,27,14,198,49,38,0,1886,59,46,66,15,45,146,103,86,77,252,314,357,179,58,15,68,61319,1185,153300
6982,06065040303,06,065,40303,2526,992,686,515,171,1364,52,14,8,0,24,0,0,0,684,81,56,38,17,24,45,55,26,26,78,62,87,27,8,41,13,43750,722,117600
6983,06065040401,06,065,40401,7606,4145,2250,1854,396,4513,200,96,8,6,158,39,13,0,2252,39,36,68,114,55,157,47,98,116,282,402,415,236,77,41,69,62782,1022,157700
6984,06065040402,06,065,40402,3837,2015,997,760,237,2171,57,6,9,0,46,8,15,0,1003,62,40,58,49,88,63,30,68,58,81,182,171,36,9,8,0,49046,720,151200
6985,06065040403,06,065,40403,4441,1879,1084,876,208,2293,56,9,0,0,24,8,0,0,1084,42,54,85,48,71,60,79,49,58,135,116,163,35,44,38,7,49730,824,128600
6986,06065040501,06,065,40501,5764,2701,1589,1323,266,3276,105,39,0,0,94,13,7,0,1592,110,73,124,64,147,58,46,90,104,275,225,170,55,10,5,36,48837,717,125400
6987,06065040502,06,065,40502,4323,1501,1125,680,445,2450,45,0,7,0,17,13,9,0,1127,80,43,137,105,21,91,41,115,79,95,134,82,70,30,0,4,41517,678,114300
6988,06065040503,06,065,40503,3886,1955,1757,498,1259,2777,69,22,11,6,44,19,0,0,1769,385,229,127,135,119,111,133,65,65,119,118,54,52,29,28,0,25299,579,120600
6989,06065040602,06,065,40602,4510,2117,1234,924,310,2463,75,8,7,0,106,27,0,0,1249,67,103,110,111,117,66,104,68,94,63,131,73,86,42,5,9,37568,640,52500
6990,06065040603,06,065,40603,2136,949,576,441,135,1267,19,7,18,11,11,0,0,8,617,14,66,16,60,46,45,20,54,36,124,35,66,16,8,4,7,44199,600,144200
6991,06065040604,06,065,40604,5150,3278,1405,1299,106,3011,63,27,17,0,133,28,11,13,1376,19,17,51,68,46,69,124,36,71,111,178,262,189,84,51,0,66172,1147,185700
6992,06065040605,06,065,40605,2804,981,700,445,255,1492,0,0,0,0,0,5,0,0,731,45,52,51,34,80,96,30,28,45,83,98,45,22,8,0,14,36339,736,135400
6993,06065040606,06,065,40606,2850,1110,724,532,192,1588,47,0,7,4,31,0,3,0,690,50,43,3,67,78,92,39,54,0,38,59,114,35,14,0,4,37823,543,148100
6994,06065040701,06,065,40701,2358,1835,692,658,34,1487,61,17,0,0,119,12,13,0,730,0,18,45,7,0,23,48,22,18,34,77,193,93,53,40,59,85999,1141,251000
6995,06065040702,06,065,40702,2695,2026,907,672,235,1746,55,18,0,0,25,17,26,0,893,88,29,24,32,20,74,66,15,63,110,121,143,70,26,12,0,51409,842,164000
