,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
6008,06065030100,06,065,30100,6245,1936,6245,3473,385,906,892,666,394,182,1936,101,138,83,23,99,129,104,94,115,43,80,110,141,47,46,63,129,60,71,62,135,47,8,0,31219,1932,1204,586,96700
6009,06065030200,06,065,30200,4873,1939,4873,3134,208,340,958,751,227,440,1939,130,200,78,51,113,65,88,108,105,81,87,93,37,49,62,56,25,11,34,42,215,100,20,38,28472,1951,932,487,124600
6010,06065030300,06,065,30300,5877,1811,5877,3539,596,741,899,713,149,283,1811,193,374,184,93,78,104,153,53,93,58,90,26,10,41,38,47,33,25,49,0,50,19,0,0,16971,1818,226,432,109000
6011,06065030400,06,065,30400,6206,1620,6206,3176,1063,743,524,497,172,88,1620,58,207,151,121,115,60,144,89,70,35,93,33,50,37,29,70,34,37,66,20,18,40,15,14,21701,1585,748,452,87800
6012,06065030500,06,065,30500,9887,2712,9887,4851,1359,975,1165,557,264,316,2712,123,361,237,222,213,128,165,117,80,162,147,67,92,55,61,71,68,33,56,25,100,73,6,28,21091,2739,978,488,92900
6013,06065030600,06,065,30600,10041,3415,10041,6618,55,269,1048,1596,597,1552,3415,59,25,26,42,16,29,27,17,51,64,101,59,61,33,88,41,99,70,157,196,404,704,349,218,76038,3398,3199,1001,240400
6014,06065030700,06,065,30700,5392,2135,5392,3444,101,260,811,1139,259,483,2135,93,147,65,92,71,138,28,44,162,96,113,112,64,75,105,82,116,17,103,80,174,79,43,20,32913,2141,1257,544,131900
6015,06065030800,06,065,30800,6056,2310,6056,4093,176,356,1319,1182,345,477,2310,59,127,105,106,75,51,78,75,70,95,106,55,160,179,100,64,42,49,161,93,180,198,38,24,37391,2308,1610,597,130800
6016,06065030900,06,065,30900,3005,816,3005,1635,144,201,590,373,148,151,816,13,30,21,54,20,12,46,16,27,49,29,26,48,48,21,11,24,28,55,51,113,57,6,11,38385,825,625,701,116000
6017,06065031000,06,065,31000,8801,3115,8801,5186,353,882,1504,1458,443,357,3115,155,207,162,137,99,147,211,104,253,162,224,89,100,94,116,35,80,79,147,102,205,148,36,0,28773,3097,1875,577,113200
