,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,1329.0,148.0,360.0,57903.0,247600.0,68022.0,1774.0,192.0,697.0,64.0,73.0,0.0,0.0,360.0,37.0,87.0,191.0,169.0,1651.0,19884.0,32.0,0.0,8.0,15.0,27.0,0.0,19.0,25.0,36.0,44.0,49.0,25.0,33.0,36.0,11.0,0.0,88.0,16.0,5.0,31.0,0.0,0.0,23.0,13.0,0.0,55.0,19.0,0.0,1400000US06065030101,06,065,030101,0.0,4.0,16.0,10.0,0.0,6.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,06065030101,186600.0,28165.0,1171.0,615.0,84.0,24.0,12.0,9.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19542.0,06,065,030101
1,2228.0,663.0,614.0,45833.0,268800.0,11788.0,1169.0,159.0,1442.0,142.0,79.0,6.0,2.0,680.0,112.0,131.0,272.0,342.0,1294.0,22799.0,73.0,45.0,22.0,40.0,39.0,34.0,19.0,30.0,15.0,34.0,63.0,97.0,46.0,47.0,5.0,5.0,55.0,8.0,8.0,16.0,8.0,14.0,1.0,0.0,0.0,95.0,12.0,10.0,1400000US06065030103,06,065,030103,38.0,8.0,9.0,3.0,8.0,7.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06065030103,192700.0,47348.0,1018.0,202.0,372.0,113.0,0.0,178.0,51.0,30.0,0.0,0.0,0.0,62.0,34.0,0.0,0.0,0.0,22.0,0.0,6.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23624.0,06,065,030103
2,7645.0,1115.0,1869.0,63668.0,285500.0,22148.0,1394.0,259.0,4502.0,613.0,125.0,28.0,1.0,1905.0,61.0,218.0,1194.0,675.0,1463.0,28723.0,68.0,58.0,91.0,92.0,42.0,49.0,42.0,122.0,85.0,140.0,318.0,175.0,212.0,211.0,42.0,122.0,242.0,53.0,14.0,42.0,51.0,82.0,0.0,0.0,0.0,96.0,36.0,20.0,1400000US06065030104,06,065,030104,16.0,9.0,0.0,0.0,0.0,15.0,60.0,10.0,0.0,41.0,0.0,0.0,9.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,06065030104,173900.0,36235.0,1250.0,255.0,579.0,88.0,131.0,147.0,58.0,66.0,23.0,0.0,66.0,332.0,162.0,0.0,48.0,34.0,0.0,73.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,22.0,0.0,12.0,0.0,0.0,0.0,20255.0,06,065,030104
3,4332.0,2468.0,1764.0,74273.0,351900.0,24326.0,1151.0,51.0,3211.0,664.0,311.0,82.0,169.0,1942.0,100.0,943.0,823.0,941.0,1179.0,34153.0,30.0,59.0,70.0,117.0,80.0,68.0,39.0,95.0,59.0,134.0,156.0,375.0,165.0,117.0,115.0,85.0,253.0,28.0,0.0,116.0,24.0,58.0,17.0,0.0,10.0,155.0,53.0,4.0,1400000US06065030200,06,065,030200,18.0,29.0,25.0,0.0,0.0,26.0,74.0,20.0,9.0,25.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06065030200,272500.0,27425.0,949.0,54.0,414.0,51.0,37.0,65.0,36.0,55.0,114.0,0.0,56.0,133.0,28.0,17.0,0.0,26.0,18.0,34.0,10.0,0.0,41.0,0.0,0.0,25.0,0.0,8.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,30692.0,06,065,030200
4,4247.0,1234.0,1598.0,30436.0,363000.0,50615.0,935.0,97.0,3138.0,198.0,102.0,61.0,7.0,1740.0,305.0,515.0,154.0,1444.0,969.0,15882.0,231.0,205.0,136.0,75.0,137.0,95.0,93.0,62.0,66.0,90.0,136.0,90.0,110.0,35.0,11.0,26.0,886.0,184.0,307.0,171.0,80.0,42.0,42.0,0.0,60.0,195.0,114.0,7.0,1400000US06065030300,06,065,030300,28.0,19.0,7.0,0.0,8.0,12.0,77.0,15.0,9.0,18.0,0.0,0.0,35.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,06065030300,256300.0,58372.0,848.0,31.0,509.0,151.0,66.0,117.0,66.0,60.0,22.0,16.0,11.0,275.0,41.0,51.0,31.0,56.0,30.0,7.0,36.0,23.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17049.0,06,065,030300
5,6321.0,637.0,1552.0,46071.0,282700.0,15051.0,1046.0,82.0,3833.0,267.0,31.0,16.0,9.0,1688.0,241.0,558.0,634.0,918.0,1049.0,21991.0,64.0,190.0,13.0,107.0,103.0,120.0,128.0,33.0,81.0,77.0,127.0,192.0,71.0,79.0,68.0,99.0,450.0,78.0,82.0,99.0,36.0,82.0,13.0,0.0,60.0,200.0,27.0,3.0,1400000US06065030400,06,065,030400,56.0,53.0,0.0,41.0,20.0,0.0,61.0,30.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06065030400,171900.0,75699.0,839.0,101.0,260.0,146.0,34.0,10.0,31.0,0.0,30.0,9.0,0.0,103.0,10.0,25.0,0.0,12.0,27.0,0.0,0.0,29.0,26.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,17384.0,06,065,030400
6,4615.0,637.0,1278.0,48667.0,304400.0,32310.0,1060.0,79.0,2597.0,334.0,147.0,13.0,8.0,1435.0,151.0,118.0,608.0,670.0,1048.0,20538.0,93.0,88.0,83.0,45.0,92.0,123.0,46.0,33.0,60.0,149.0,186.0,171.0,35.0,38.0,11.0,25.0,228.0,92.0,62.0,47.0,0.0,18.0,9.0,0.0,0.0,106.0,32.0,8.0,1400000US06065030501,06,065,030501,26.0,18.0,9.0,13.0,0.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06065030501,240700.0,33196.0,888.0,76.0,204.0,44.0,22.0,97.0,0.0,15.0,26.0,0.0,0.0,122.0,74.0,36.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,16395.0,06,065,030501
7,2092.0,168.0,502.0,36154.0,243200.0,19903.0,1156.0,63.0,1325.0,62.0,7.0,0.0,0.0,530.0,70.0,228.0,202.0,300.0,1144.0,19491.0,39.0,47.0,27.0,82.0,32.0,0.0,52.0,41.0,25.0,31.0,15.0,41.0,57.0,5.0,4.0,4.0,103.0,40.0,0.0,47.0,0.0,0.0,0.0,0.0,16.0,57.0,10.0,16.0,1400000US06065030502,06,065,030502,20.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06065030502,256300.0,71330.0,950.0,150.0,106.0,45.0,29.0,0.0,8.0,10.0,14.0,0.0,0.0,31.0,0.0,18.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17348.0,06,065,030502
8,3397.0,237.0,976.0,30946.0,257000.0,26953.0,1024.0,52.0,1659.0,84.0,14.0,0.0,0.0,1161.0,125.0,72.0,154.0,822.0,1035.0,18106.0,141.0,91.0,115.0,66.0,61.0,67.0,72.0,51.0,61.0,102.0,66.0,55.0,25.0,3.0,0.0,0.0,186.0,36.0,47.0,46.0,30.0,0.0,5.0,9.0,13.0,57.0,0.0,27.0,1400000US06065030503,06,065,030503,10.0,5.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06065030503,131300.0,49788.0,861.0,33.0,362.0,117.0,69.0,86.0,60.0,23.0,7.0,0.0,0.0,73.0,40.0,0.0,9.0,11.0,13.0,0.0,0.0,0.0,124.0,88.0,28.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13452.0,06,065,030503
9,5493.0,3440.0,1816.0,148667.0,730600.0,45594.0,2401.0,1072.0,4147.0,801.0,789.0,363.0,243.0,1816.0,4.0,14.0,1724.0,92.0,2515.0,58207.0,58.0,0.0,14.0,54.0,0.0,27.0,2.0,42.0,6.0,21.0,93.0,199.0,142.0,282.0,274.0,602.0,179.0,82.0,0.0,12.0,0.0,11.0,19.0,0.0,55.0,37.0,10.0,0.0,1400000US06065030601,06,065,030601,12.0,0.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06065030601,607500.0,38248.0,2001.0,-333333333.0,236.0,0.0,24.0,0.0,31.0,46.0,8.0,13.0,114.0,98.0,24.0,0.0,0.0,0.0,17.0,30.0,0.0,27.0,28.0,8.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58556.0,06,065,030601
