,FIPS,state,county,tract,pop_00,white_00,hu_00,ohu_00,rhu_00,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,hh_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,hinc_00,mrent_00,mhval_00
7568,06071000103,06,071,103,4779,1808,1682,1145,537,3068,469,135,13,26,361,121,29,29,1678,77,49,20,39,59,65,73,78,104,170,308,245,130,146,52,63,64206,1067,204400
7569,06071000104,06,071,104,6560,2266,1870,1613,257,3904,481,220,121,23,495,107,53,0,1853,45,41,13,17,63,20,41,39,31,99,321,356,323,144,207,93,86763,1176,261000
7570,06071000105,06,071,105,6095,1958,1621,1552,69,3580,573,230,40,16,653,92,75,0,1630,67,15,10,18,34,53,13,20,25,80,236,412,248,168,91,140,91508,1435,274600
7571,06071000106,06,071,106,11989,4647,3544,3241,303,7385,1261,518,114,82,1291,335,80,10,3541,96,45,18,72,61,35,81,123,172,222,368,655,665,336,325,267,91756,1063,292000
7572,06071000107,06,071,107,2982,1825,831,745,86,1719,191,70,9,7,170,35,5,9,856,26,9,0,12,21,10,31,32,14,78,167,236,129,59,14,18,80000,1161,191900
7573,06071000108,06,071,108,4905,2595,1611,1051,560,2915,522,158,8,15,424,96,29,10,1588,51,34,34,49,31,65,98,23,36,140,225,303,207,139,99,54,75616,1117,234700
7574,06071000109,06,071,109,7093,4379,2091,1860,231,4221,365,123,8,0,330,113,19,7,2079,46,28,44,16,52,50,45,72,86,211,334,530,371,113,55,26,77826,1171,190800
7575,06071000110,06,071,110,10407,3979,3137,2302,835,5963,534,125,63,25,392,108,59,16,3148,126,119,119,214,177,184,220,199,160,324,402,406,237,168,51,42,50979,894,139700
7576,06071000111,06,071,111,2081,1416,677,618,59,1279,150,7,21,8,166,49,0,9,675,10,0,48,0,0,56,36,21,20,58,75,135,71,80,65,0,81433,490,266000
7577,06071000112,06,071,112,10872,4889,3235,3041,194,6564,1071,254,33,34,968,204,54,10,3229,5,30,27,78,60,57,43,52,77,309,453,864,605,292,249,28,87287,1375,240800
7578,06071000201,06,071,201,4560,1065,1285,633,652,2436,101,12,11,14,75,12,24,5,1286,100,96,116,84,62,89,81,103,50,129,147,147,48,14,17,3,40436,741,117100
7579,06071000202,06,071,202,17494,5026,4669,3418,1251,10429,328,71,23,8,413,78,31,16,4642,271,279,293,288,328,240,251,247,214,547,627,632,294,58,19,54,47837,790,135300
7580,06071000301,06,071,301,7938,841,1957,508,1449,4039,98,24,20,16,143,12,0,5,1963,184,223,232,216,168,135,139,125,109,140,120,54,43,46,13,16,28847,632,109000
7581,06071000303,06,071,303,6494,1340,1679,1152,527,3419,90,15,12,0,71,39,0,8,1679,141,180,141,124,155,128,112,120,68,150,158,149,29,8,10,6,33829,601,77700
