,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
6348,06071000101,06,071,101,16234,5026,16234,9723,251,542,1706,2557,1086,2583,5026,67,97,24,33,33,63,71,49,111,56,77,112,183,134,172,115,196,163,289,340,933,999,426,120,61546,4990,4277,903,272900
6349,06071000102,06,071,102,22829,7386,22829,13333,495,1325,3209,3891,1743,2028,7386,107,123,82,79,141,136,175,137,225,137,444,236,266,151,272,241,310,272,621,558,1240,1012,282,80,51156,7326,5736,734,195600
6350,06071000201,06,071,201,4155,1294,4155,2358,315,394,613,504,221,243,1294,37,146,42,43,77,32,32,74,43,32,82,34,31,53,59,50,29,68,73,48,104,81,14,10,33015,1304,677,676,123000
6351,06071000202,06,071,202,15163,4681,15163,9347,817,1831,2885,2093,718,722,4681,178,249,203,167,189,106,232,120,130,101,222,253,179,143,265,176,218,113,349,174,478,296,92,20,37701,4629,3436,697,135100
6352,06071000301,06,071,301,6658,1831,6658,3188,703,821,736,538,227,114,1831,137,238,116,109,121,97,119,103,124,100,97,61,53,31,53,26,17,23,80,14,78,9,13,0,22048,1894,466,583,124300
6353,06071000302,06,071,302,9302,2820,9302,5377,862,1062,1471,1294,291,268,2820,125,159,92,130,59,128,151,86,140,95,156,121,124,84,160,94,155,46,81,133,260,182,25,9,34339,2858,1978,565,131800
6354,06071000400,06,071,400,13946,4662,13946,8548,667,1260,2418,2208,916,779,4662,93,309,195,127,165,109,195,91,117,112,166,170,208,113,197,102,74,85,235,206,744,482,157,122,42043,4610,3340,631,174500
6355,06071000500,06,071,500,15113,4524,15113,8405,786,1085,2003,2443,903,895,4524,151,93,150,81,106,103,177,174,246,112,228,137,224,87,111,104,196,130,371,208,726,450,114,21,44471,4491,3067,696,180500
6356,06071000601,06,071,601,10497,3498,10497,6251,584,845,1737,1815,628,498,3498,112,247,173,69,156,131,90,86,145,76,155,111,188,145,130,49,240,76,219,191,447,173,46,15,37672,3394,2017,651,160800
6357,06071000602,06,071,602,7888,2116,7888,4206,1243,975,940,597,273,139,2116,148,188,34,77,80,88,111,116,111,88,123,41,68,74,77,58,64,105,92,62,197,80,16,0,30346,2066,1052,623,114600
6358,06071000700,06,071,700,8079,0,8079,1225,205,253,326,281,39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6359,06071000804,06,071,804,2935,1046,2935,1997,60,97,307,566,227,396,1046,17,29,4,6,11,27,38,20,9,16,25,13,38,23,43,44,29,12,49,29,122,168,87,47,64292,1020,868,672,345700
6360,06071000805,06,071,805,8126,2537,8126,5000,153,282,759,1337,507,1287,2537,37,35,5,0,15,47,28,5,32,45,16,38,91,62,57,33,53,39,97,93,523,506,323,181,71982,2527,2441,917,310700
6361,06071000806,06,071,806,7382,2441,7382,4720,90,294,690,1197,559,1104,2441,34,48,36,19,21,14,15,21,52,48,37,46,49,26,102,42,85,58,130,89,396,556,206,105,68442,2403,2276,1001,285600
6362,06071000807,06,071,807,5498,1858,5498,3647,66,152,627,1054,353,883,1858,46,18,13,18,21,35,30,5,28,40,32,15,20,30,46,38,50,62,80,86,360,399,209,48,67892,1861,1557,920,259300
6363,06071000808,06,071,808,5728,1971,5728,3568,240,507,852,827,413,488,1971,50,135,67,62,65,43,50,28,107,43,62,49,111,64,98,52,48,46,178,86,240,170,54,25,41263,1935,1425,585,180400
6364,06071000809,06,071,809,8913,3151,8913,5810,191,416,1277,1762,595,1105,3151,33,157,84,83,42,61,109,77,69,61,61,68,82,67,57,145,78,84,248,276,422,424,186,43,53028,3136,2490,633,232900
6365,06071000810,06,071,810,11174,4805,11174,6904,367,848,1670,2156,644,852,4805,218,283,189,159,324,238,317,270,309,118,283,183,230,74,174,155,195,91,201,173,328,167,80,9,29523,4826,1316,612,153300
6366,06071000811,06,071,811,7063,2754,7063,4231,273,615,1074,1181,406,476,2754,136,169,148,90,86,102,155,122,194,117,129,88,138,95,144,57,81,44,90,63,295,167,27,0,31124,2787,1075,616,150200
6367,06071000812,06,071,812,3690,1210,3690,2368,102,292,427,785,276,306,1210,39,55,9,21,22,19,22,42,21,30,30,29,75,29,53,47,25,32,72,22,228,180,40,35,50313,1208,955,873,182800
6368,06071000900,06,071,900,9603,3592,9603,5781,818,993,1320,1375,646,452,3592,185,459,209,148,148,160,174,132,191,160,265,186,176,125,118,64,23,88,140,129,160,89,55,0,27369,3623,1326,590,123800
