,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,4597.0,1040.0,1588.0,90305.0,522800.0,50611.0,2037.0,149.0,3223.0,900.0,340.0,95.0,17.0,1696.0,0.0,0.0,1003.0,585.0,1990.0,48018.0,89.0,36.0,35.0,29.0,52.0,39.0,30.0,18.0,40.0,98.0,191.0,227.0,152.0,128.0,296.0,128.0,103.0,7.0,26.0,9.0,11.0,0.0,18.0,21.0,11.0,302.0,14.0,3.0,1400000US06071000103,06,071,000103,42.0,23.0,25.0,82.0,0.0,113.0,31.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06071000103,386100.0,45709.0,1755.0,98.0,79.0,6.0,0.0,7.0,33.0,23.0,6.0,4.0,0.0,200.0,106.0,0.0,0.0,0.0,32.0,13.0,0.0,49.0,43.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37552.0,06,071,000103
1,6897.0,1502.0,2028.0,107019.0,662600.0,21960.0,2051.0,243.0,4607.0,1560.0,509.0,121.0,117.0,2110.0,0.0,11.0,1428.0,600.0,2131.0,44385.0,23.0,30.0,6.0,36.0,86.0,95.0,62.0,73.0,18.0,80.0,302.0,88.0,289.0,200.0,403.0,237.0,182.0,28.0,4.0,14.0,21.0,16.0,87.0,0.0,12.0,356.0,62.0,15.0,1400000US06071000104,06,071,000104,38.0,48.0,24.0,43.0,66.0,60.0,28.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,19.0,23.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,06071000104,574900.0,26508.0,1686.0,199.0,208.0,4.0,0.0,9.0,0.0,49.0,131.0,0.0,15.0,273.0,35.0,38.0,53.0,28.0,108.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,39659.0,06,071,000104
2,6439.0,1602.0,1893.0,117852.0,710500.0,37983.0,2049.0,171.0,4256.0,1440.0,595.0,177.0,81.0,2002.0,0.0,34.0,1290.0,603.0,2359.0,42384.0,110.0,14.0,35.0,21.0,16.0,6.0,10.0,36.0,28.0,107.0,139.0,304.0,279.0,195.0,286.0,307.0,55.0,6.0,0.0,7.0,0.0,18.0,0.0,0.0,24.0,379.0,50.0,0.0,1400000US06071000105,06,071,000105,19.0,59.0,70.0,50.0,36.0,95.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,111.0,12.0,9.0,0.0,56.0,9.0,0.0,0.0,25.0,06071000105,569100.0,28101.0,1932.0,143.0,226.0,13.0,29.0,8.0,30.0,97.0,7.0,13.0,29.0,229.0,25.0,0.0,58.0,28.0,0.0,57.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,11.0,0.0,0.0,14.0,0.0,0.0,0.0,15.0,49326.0,06,071,000105
3,2942.0,1299.0,968.0,103500.0,545300.0,42774.0,1806.0,128.0,2040.0,500.0,163.0,53.0,33.0,973.0,0.0,5.0,766.0,202.0,1864.0,39276.0,34.0,0.0,7.0,30.0,12.0,43.0,29.0,30.0,21.0,30.0,113.0,122.0,137.0,64.0,158.0,138.0,42.0,0.0,0.0,0.0,0.0,0.0,30.0,8.0,4.0,72.0,33.0,0.0,1400000US06071000107,06,071,000107,13.0,12.0,0.0,3.0,0.0,11.0,11.0,5.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06071000107,437900.0,12561.0,1697.0,114.0,107.0,0.0,32.0,25.0,0.0,5.0,41.0,4.0,0.0,134.0,75.0,16.0,0.0,0.0,6.0,26.0,0.0,11.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38491.0,06,071,000107
4,5783.0,2022.0,1820.0,88500.0,601700.0,23968.0,2017.0,163.0,3399.0,1114.0,442.0,155.0,34.0,1849.0,0.0,0.0,1081.0,739.0,2167.0,41345.0,171.0,2.0,28.0,15.0,40.0,37.0,49.0,46.0,40.0,184.0,161.0,228.0,224.0,172.0,237.0,186.0,314.0,10.0,75.0,94.0,50.0,10.0,0.0,0.0,75.0,399.0,72.0,17.0,1400000US06071000108,06,071,000108,82.0,41.0,69.0,69.0,9.0,40.0,44.0,8.0,0.0,7.0,7.0,10.0,12.0,0.0,0.0,53.0,14.0,0.0,18.0,14.0,0.0,0.0,0.0,7.0,06071000108,476500.0,25158.0,1677.0,106.0,280.0,82.0,26.0,28.0,0.0,50.0,21.0,8.0,65.0,163.0,0.0,0.0,28.0,0.0,34.0,33.0,8.0,60.0,57.0,12.0,0.0,0.0,30.0,0.0,0.0,15.0,0.0,51.0,21.0,0.0,0.0,0.0,0.0,13.0,0.0,17.0,45455.0,06,071,000108
5,7059.0,2922.0,2219.0,104617.0,545700.0,35363.0,2027.0,325.0,4831.0,1479.0,297.0,53.0,13.0,2257.0,0.0,0.0,1909.0,310.0,1905.0,36941.0,91.0,65.0,44.0,40.0,36.0,52.0,0.0,67.0,67.0,46.0,225.0,283.0,493.0,335.0,216.0,159.0,190.0,51.0,0.0,28.0,0.0,73.0,19.0,0.0,19.0,122.0,2.0,0.0,1400000US06071000109,06,071,000109,36.0,36.0,15.0,13.0,0.0,20.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06071000109,383400.0,19847.0,1818.0,156.0,60.0,14.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,151.0,46.0,0.0,0.0,39.0,42.0,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,39990.0,06,071,000109
6,2361.0,1092.0,808.0,124167.0,714100.0,52487.0,2410.0,685.0,1721.0,480.0,246.0,52.0,39.0,933.0,37.0,70.0,732.0,76.0,2382.0,51164.0,34.0,6.0,0.0,8.0,5.0,16.0,50.0,4.0,19.0,27.0,97.0,52.0,93.0,74.0,114.0,209.0,109.0,14.0,9.0,0.0,19.0,0.0,32.0,5.0,30.0,33.0,7.0,0.0,1400000US06071000111,06,071,000111,0.0,6.0,13.0,0.0,0.0,7.0,15.0,0.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06071000111,599300.0,114091.0,2001.0,-333333333.0,219.0,38.0,0.0,4.0,29.0,49.0,0.0,23.0,76.0,220.0,95.0,31.0,0.0,19.0,9.0,0.0,24.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36610.0,06,071,000111
7,12081.0,2617.0,3523.0,74187.0,366200.0,28193.0,1591.0,216.0,8167.0,1884.0,524.0,53.0,104.0,3736.0,232.0,14.0,2646.0,877.0,1547.0,31159.0,68.0,67.0,149.0,29.0,326.0,114.0,100.0,215.0,96.0,238.0,393.0,409.0,488.0,234.0,300.0,297.0,318.0,23.0,20.0,29.0,129.0,36.0,35.0,0.0,46.0,228.0,44.0,0.0,1400000US06071000113,06,071,000113,44.0,20.0,42.0,16.0,62.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,21.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,06071000113,300000.0,37062.0,1492.0,244.0,432.0,67.0,0.0,0.0,113.0,23.0,124.0,48.0,57.0,318.0,77.0,0.0,57.0,14.0,70.0,13.0,0.0,87.0,30.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22506.0,06,071,000113
8,7486.0,2460.0,2292.0,110726.0,571000.0,46455.0,2109.0,224.0,4820.0,1535.0,329.0,160.0,96.0,2427.0,0.0,0.0,1677.0,615.0,2297.0,41495.0,24.0,119.0,48.0,43.0,33.0,0.0,63.0,31.0,112.0,71.0,197.0,261.0,421.0,313.0,283.0,273.0,60.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,44.0,302.0,26.0,11.0,1400000US06071000115,06,071,000115,58.0,43.0,27.0,0.0,0.0,137.0,100.0,0.0,16.0,67.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06071000115,523200.0,41696.0,1915.0,262.0,294.0,16.0,63.0,24.0,32.0,21.0,20.0,0.0,118.0,140.0,15.0,32.0,16.0,0.0,64.0,0.0,0.0,13.0,82.0,16.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51974.0,06,071,000115
9,12462.0,4132.0,3732.0,111667.0,611300.0,24089.0,2460.0,249.0,8235.0,2682.0,1227.0,308.0,253.0,3874.0,0.0,23.0,2793.0,939.0,2429.0,57621.0,85.0,38.0,12.0,83.0,33.0,55.0,222.0,0.0,34.0,132.0,219.0,592.0,570.0,354.0,627.0,676.0,430.0,33.0,33.0,0.0,79.0,17.0,0.0,0.0,268.0,475.0,13.0,18.0,1400000US06071000116,06,071,000116,28.0,14.0,148.0,32.0,0.0,222.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06071000116,519800.0,32378.0,2001.0,-333333333.0,247.0,120.0,0.0,0.0,13.0,0.0,12.0,36.0,66.0,175.0,33.0,0.0,0.0,37.0,0.0,60.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,53043.0,06,071,000116
