,FIPS,state,county,tract,pop_00,white_00,hu_00,ohu_00,rhu_00,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,hh_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,hinc_00,mrent_00,mhval_00
8714,06079010000,06,079,10000,6803,5549,2637,1951,686,4700,343,102,54,14,260,71,17,9,2657,187,115,160,202,184,145,128,281,118,194,413,288,84,55,4,99,43144,627,180900
8715,06079010100,06,079,10100,8787,5052,3255,1183,2072,5121,264,98,45,12,287,89,25,9,3262,547,225,250,268,273,298,221,217,94,215,260,165,66,117,19,27,31197,565,168700
8716,06079010201,06,079,10201,4687,3134,1407,1171,236,2463,164,96,24,21,211,30,15,0,1397,98,82,30,60,94,82,100,83,79,153,180,192,74,26,26,38,49340,694,192900
8717,06079010202,06,079,10202,4180,2629,1445,1109,336,2517,164,42,0,7,100,37,8,0,1444,92,133,74,129,152,129,100,91,22,171,103,107,68,26,28,19,35580,732,134400
8718,06079010203,06,079,10203,8069,5967,2940,1940,1000,4998,346,112,77,0,348,76,42,0,2965,152,94,143,188,183,150,137,283,182,314,468,418,77,50,41,85,49142,757,168900
8719,06079010300,06,079,10300,7967,6375,2686,2122,564,5119,309,93,49,7,370,76,18,4,2683,172,119,113,128,114,199,180,116,130,339,329,314,195,47,105,83,51207,710,198900
8720,06079010400,06,079,10400,6247,5168,2822,2083,739,4912,598,169,86,80,564,165,51,23,2819,178,160,145,133,174,244,125,247,157,276,300,228,173,99,93,87,45088,864,303800
8721,06079010500,06,079,10500,8174,7030,3848,2249,1599,6093,412,184,85,50,524,221,61,13,3839,445,297,223,228,298,404,204,234,209,317,382,228,176,85,41,68,35638,706,237700
8722,06079010600,06,079,10600,5418,4509,2663,1406,1257,4261,417,150,57,27,429,193,30,25,2673,391,163,242,151,165,175,193,154,113,335,224,190,103,17,43,14,35959,698,245300
8723,06079010701,06,079,10701,4929,4021,1927,1264,663,3290,274,178,44,58,430,97,99,5,1929,78,77,129,53,100,146,110,151,88,199,243,312,84,84,37,38,51098,804,197100
8724,06079010702,06,079,10702,5855,5185,2610,2100,510,4566,389,239,67,110,646,279,24,26,2606,129,123,226,190,175,229,139,90,110,206,352,306,137,66,34,94,45082,885,202000
8725,06079010703,06,079,10703,3567,2665,1355,752,603,2278,256,57,31,12,281,133,8,0,1373,89,122,122,73,89,52,92,74,60,126,143,174,66,47,29,15,42241,787,194800
8726,06079010800,06,079,10800,2369,1851,955,575,380,1711,149,50,36,19,115,72,12,38,938,43,23,26,77,41,60,18,100,14,125,133,135,53,35,15,40,55648,679,438500
8727,06079010901,06,079,10901,5659,4285,1209,22,1187,285,48,18,0,0,43,6,0,0,1212,704,186,119,54,60,0,31,0,33,8,0,0,16,0,1,0,7171,540,625000
8728,06079010902,06,079,10902,3916,2921,1554,309,1245,1055,124,37,27,58,86,30,11,11,1554,406,204,152,134,96,66,80,72,34,60,109,45,53,24,0,19,20326,715,274700
8729,06079011000,06,079,11000,8269,6747,3431,1666,1765,5109,622,234,173,99,728,273,51,57,3420,369,279,208,273,255,137,217,127,162,241,280,368,183,110,80,131,39271,799,288700
8730,06079011101,06,079,11101,3621,2759,1918,288,1630,1929,291,24,17,16,219,84,27,15,1917,393,311,80,171,250,156,147,59,36,148,53,90,12,6,5,0,25069,651,231300
8731,06079011102,06,079,11102,5000,3882,2320,723,1597,3123,351,110,23,31,428,116,35,8,2371,271,257,189,144,176,126,189,150,101,232,221,160,101,16,31,7,35411,701,253700
8732,06079011103,06,079,11103,2476,1803,1183,659,524,1561,175,60,15,27,104,68,0,0,1138,149,144,73,155,82,73,22,75,60,62,79,97,24,0,20,23,28191,695,118700
8733,06079011200,06,079,11200,7355,5992,2938,1346,1592,3797,518,241,114,106,516,172,60,25,2944,387,212,230,200,157,178,199,151,164,162,199,275,175,78,95,82,37833,848,294100
8734,06079011300,06,079,11300,6662,5145,2577,1517,1060,3851,468,196,126,122,494,137,55,24,2580,229,181,192,174,140,221,124,117,103,144,280,277,141,111,109,37,41422,843,227400
8735,06079011400,06,079,11400,23,20,11,2,9,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16250,950,0
8736,06079011501,06,079,11501,1701,1389,750,559,191,1071,78,40,26,14,99,32,0,8,704,80,40,41,49,34,53,96,41,20,41,84,47,21,21,20,16,37560,831,67700
8737,06079011502,06,079,11502,11204,5761,1353,1051,302,8833,445,105,54,44,365,138,47,30,1405,50,79,51,57,72,82,22,57,73,123,194,210,167,66,31,71,61862,850,315400
8738,06079011600,06,079,11600,3908,3586,1624,1214,410,2850,425,198,132,99,411,190,32,29,1613,89,73,57,65,41,73,38,58,77,120,191,285,184,82,97,83,70869,744,397000
8739,06079011700,06,079,11700,8525,7424,4220,2642,1578,6639,835,170,195,100,709,306,127,28,4210,314,334,238,325,267,235,138,190,206,296,462,465,315,152,163,110,46333,845,262100
8740,06079011800,06,079,11800,6590,5741,2575,2159,416,4612,621,229,127,22,616,166,15,11,2556,121,106,92,73,118,159,116,78,117,347,267,375,252,118,130,87,58345,889,299800
8741,06079011901,06,079,11901,2851,2401,1286,995,291,2026,149,55,51,12,195,38,41,0,1249,115,74,70,73,101,95,48,71,65,109,106,137,65,33,37,50,43661,609,162500
8742,06079011902,06,079,11902,7279,5682,2967,1667,1300,5004,356,103,8,8,425,60,25,20,2994,314,171,212,207,170,202,237,125,198,347,332,227,138,45,29,40,39600,712,189700
8743,06079012000,06,079,12000,7020,4880,2774,1442,1332,4618,385,75,34,23,269,107,49,23,2766,187,199,212,199,179,234,291,176,108,271,331,179,93,11,82,14,37403,757,177600
8744,06079012100,06,079,12100,6080,4171,2257,1108,1149,3962,254,75,29,12,203,70,53,0,2257,150,142,224,118,152,151,225,133,120,242,188,237,102,18,19,36,39015,730,180800
8745,06079012200,06,079,12200,7124,3455,2402,1283,1119,4296,183,93,25,24,154,22,27,6,2394,231,211,144,224,97,182,173,200,149,197,226,153,123,35,11,38,37774,670,136900
8746,06079012301,06,079,12301,6348,4906,2386,1836,550,4484,388,173,41,15,270,169,19,0,2395,107,86,114,162,174,179,86,83,167,167,263,445,113,129,62,58,51282,812,291900
8747,06079012302,06,079,12302,4489,3978,1655,1206,449,3093,401,121,78,44,360,191,43,0,1661,55,62,54,125,86,133,55,55,102,160,169,215,89,76,101,124,56472,666,413800
8748,06079012401,06,079,12401,5580,2515,1593,1137,456,3168,125,50,0,14,107,33,7,0,1595,79,71,73,100,195,52,166,71,126,142,214,164,73,35,17,17,44181,654,160000
8749,06079012402,06,079,12402,7074,5153,2439,2035,404,4695,361,66,39,17,397,97,13,0,2431,86,139,122,80,121,108,195,111,118,300,331,360,172,84,54,50,54446,823,221700
8750,06079012501,06,079,12501,4110,3462,1541,1096,445,2702,227,35,17,16,171,20,22,0,1541,77,92,51,160,78,98,40,94,105,97,287,200,93,49,16,4,48906,592,178400
8751,06079012502,06,079,12502,5023,4089,1926,997,929,3046,196,36,6,28,123,43,20,0,1926,145,69,189,139,113,164,147,113,89,185,249,179,92,20,33,0,39856,621,170900
8752,06079012503,06,079,12503,4369,3476,1836,855,981,2783,139,22,8,19,172,39,23,0,1826,178,143,112,119,125,130,157,113,88,215,227,157,27,20,6,9,37682,727,148200
8753,06079012600,06,079,12600,7561,6554,2739,1988,751,4932,435,128,56,14,404,100,10,0,2730,179,142,118,99,141,168,134,190,103,348,370,352,210,109,44,23,53000,713,199200
