,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
7233,06079010000,06,079,10000,5060,1953,5060,3576,223,493,997,1147,207,368,1953,37,191,90,81,91,88,91,54,56,122,61,125,86,137,47,56,80,45,57,100,93,38,73,26,32790,1868,1376,557,145900
7234,06079010100,06,079,10100,8135,3149,8135,4912,696,809,1323,1027,333,618,3149,187,491,220,213,175,186,181,125,143,73,135,100,80,53,71,99,62,77,144,103,131,76,8,0,21416,3188,1271,473,161000
7235,06079010200,06,079,10200,12552,4224,12552,7332,358,871,2181,2062,589,862,4224,80,205,191,159,196,186,241,210,172,164,215,153,249,188,198,130,192,132,241,164,347,134,48,8,34020,4329,2967,520,156600
7236,06079010300,06,079,10300,6319,2094,6319,3945,222,437,1179,1141,300,549,2094,50,109,89,24,118,91,64,81,87,98,102,69,107,53,70,82,74,53,115,62,163,214,39,32,36519,2041,1589,599,168400
7237,06079010400,06,079,10400,5417,2433,5417,4292,125,222,863,1389,448,856,2433,13,165,58,136,46,160,145,110,96,77,102,106,126,83,136,52,25,63,108,94,200,143,74,45,35050,2395,1750,704,277200
7238,06079010500,06,079,10500,7373,3461,7373,5573,188,528,1277,1763,565,784,3461,148,258,154,156,189,169,155,169,252,142,171,204,102,123,80,55,127,59,172,84,204,113,83,26,28917,3414,2060,626,244900
7239,06079010599,06,079,10599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7240,06079010600,06,079,10600,5411,2483,5411,4192,219,572,1062,955,387,731,2483,185,282,157,88,91,136,163,139,177,85,84,111,106,37,63,57,27,44,133,84,96,60,34,18,25007,2493,1333,546,219700
7241,06079010699,06,079,10699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7242,06079010701,06,079,10701,8505,3240,8505,5464,143,370,1111,1609,538,1259,3240,118,155,121,131,161,123,143,75,84,170,146,128,174,126,114,81,105,124,168,139,292,240,62,16,35934,3212,1866,646,190500
7243,06079010702,06,079,10702,5872,2538,5872,4474,104,252,984,1137,475,1021,2538,66,108,123,113,145,88,154,127,101,123,74,65,126,103,57,122,62,95,115,117,192,143,56,33,34308,2557,2006,736,234400
7244,06079010800,06,079,10800,2305,827,2305,1498,71,93,467,378,89,280,827,31,48,20,44,62,16,31,34,43,22,41,43,61,25,24,22,33,18,11,28,45,19,34,20,33750,921,546,477,259000
7245,06079010900,06,079,10900,9292,2301,9292,1651,21,56,181,558,319,314,2301,459,318,250,106,164,159,109,92,40,48,116,59,9,53,36,17,25,12,0,47,46,87,20,9,15267,2290,392,573,248600
7246,06079011000,06,079,11000,8141,3019,8141,4898,197,298,985,1190,337,1049,3019,220,218,239,133,72,150,136,187,138,88,151,20,121,70,92,68,59,33,125,42,236,225,99,27,27969,3024,1608,629,254800
7247,06079011100,06,079,11100,10871,5206,10871,6459,326,556,1385,1728,704,1311,5206,413,683,377,300,329,194,343,153,214,273,443,147,141,107,80,65,91,127,158,87,242,147,55,0,22238,5214,1648,537,205300
