,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,4526.0,3261.0,1385.0,68510.0,387300.0,32832.0,1703.0,138.0,2517.0,397.0,179.0,34.0,9.0,3104.0,0.0,62.0,1184.0,201.0,1791.0,24146.0,88.0,56.0,10.0,62.0,26.0,120.0,96.0,29.0,26.0,98.0,149.0,190.0,193.0,35.0,67.0,140.0,159.0,13.0,9.0,54.0,10.0,33.0,13.0,0.0,27.0,214.0,88.0,11.0,1400000US06079010002,06,079,010002,10.0,21.0,14.0,9.0,9.0,52.0,342.0,91.0,10.0,0.0,203.0,0.0,0.0,11.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010002,319500.0,38031.0,1438.0,257.0,89.0,8.0,18.0,15.0,0.0,40.0,0.0,0.0,8.0,152.0,20.0,0.0,25.0,22.0,26.0,6.0,0.0,53.0,230.0,52.0,154.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24761.0,06,079,010002
1,5088.0,2881.0,1702.0,68102.0,525800.0,166064.0,1387.0,142.0,3465.0,585.0,108.0,86.0,38.0,2000.0,93.0,175.0,1067.0,635.0,1564.0,30256.0,50.0,23.0,116.0,102.0,76.0,40.0,73.0,78.0,36.0,121.0,297.0,202.0,171.0,107.0,112.0,98.0,231.0,48.0,0.0,79.0,43.0,0.0,42.0,13.0,6.0,115.0,22.0,0.0,1400000US06079010016,06,079,010016,28.0,0.0,17.0,22.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010016,410100.0,103090.0,1140.0,312.0,616.0,83.0,72.0,128.0,173.0,53.0,28.0,9.0,70.0,105.0,3.0,0.0,47.0,0.0,28.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26464.0,06,079,010016
2,1743.0,1382.0,738.0,85385.0,579400.0,58961.0,1083.0,436.0,1377.0,443.0,90.0,35.0,22.0,848.0,51.0,31.0,538.0,200.0,1644.0,43413.0,10.0,36.0,20.0,27.0,24.0,41.0,24.0,38.0,16.0,61.0,34.0,103.0,36.0,106.0,98.0,64.0,142.0,8.0,13.0,20.0,10.0,40.0,27.0,6.0,18.0,60.0,9.0,0.0,1400000US06079010101,06,079,010101,5.0,10.0,0.0,6.0,0.0,30.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010101,448700.0,38795.0,1230.0,146.0,49.0,0.0,0.0,16.0,15.0,13.0,0.0,5.0,0.0,46.0,0.0,0.0,15.0,0.0,5.0,0.0,5.0,21.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,34692.0,06,079,010101
3,7194.0,2446.0,2993.0,46056.0,389800.0,47851.0,1085.0,65.0,4631.0,676.0,82.0,16.0,11.0,3140.0,343.0,310.0,606.0,2387.0,1092.0,26696.0,205.0,136.0,122.0,146.0,486.0,30.0,265.0,82.0,80.0,432.0,244.0,178.0,305.0,203.0,74.0,5.0,250.0,64.0,0.0,1.0,121.0,33.0,15.0,0.0,16.0,226.0,0.0,48.0,1400000US06079010102,06,079,010102,65.0,77.0,0.0,0.0,15.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010102,390100.0,49882.0,943.0,92.0,892.0,204.0,75.0,264.0,201.0,133.0,0.0,0.0,15.0,186.0,21.0,40.0,59.0,0.0,47.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23533.0,06,079,010102
4,7264.0,5172.0,2790.0,75265.0,491500.0,22169.0,1797.0,204.0,5140.0,1087.0,438.0,94.0,0.0,2982.0,16.0,49.0,2481.0,309.0,1988.0,36375.0,125.0,18.0,71.0,95.0,115.0,246.0,119.0,95.0,95.0,163.0,246.0,302.0,298.0,271.0,283.0,248.0,322.0,40.0,18.0,26.0,72.0,50.0,28.0,29.0,59.0,86.0,50.0,0.0,1400000US06079010201,06,079,010201,0.0,0.0,27.0,0.0,0.0,9.0,71.0,15.0,0.0,0.0,0.0,13.0,28.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010201,428300.0,16870.0,1864.0,282.0,837.0,203.0,46.0,154.0,109.0,90.0,84.0,29.0,122.0,125.0,24.0,0.0,20.0,0.0,29.0,20.0,0.0,32.0,24.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,13.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32077.0,06,079,010201
5,5331.0,3176.0,2039.0,59935.0,362600.0,21374.0,1391.0,120.0,3698.0,472.0,134.0,47.0,26.0,2125.0,12.0,18.0,1568.0,471.0,1529.0,28068.0,71.0,105.0,14.0,160.0,113.0,129.0,96.0,105.0,64.0,164.0,238.0,248.0,205.0,159.0,144.0,24.0,204.0,22.0,20.0,38.0,16.0,63.0,9.0,23.0,13.0,112.0,25.0,33.0,1400000US06079010202,06,079,010202,0.0,19.0,0.0,0.0,22.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,61.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010202,310900.0,20527.0,1344.0,199.0,321.0,3.0,43.0,51.0,45.0,62.0,78.0,12.0,27.0,62.0,7.0,0.0,0.0,20.0,27.0,0.0,0.0,8.0,38.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25880.0,06,079,010202
6,6580.0,3946.0,2440.0,62218.0,483100.0,27945.0,1169.0,60.0,4284.0,893.0,166.0,73.0,57.0,2456.0,0.0,0.0,1323.0,1117.0,1544.0,32845.0,126.0,48.0,35.0,89.0,135.0,127.0,72.0,303.0,88.0,134.0,274.0,277.0,193.0,144.0,217.0,178.0,427.0,71.0,13.0,86.0,71.0,91.0,31.0,0.0,64.0,123.0,4.0,0.0,1400000US06079010204,06,079,010204,19.0,0.0,29.0,27.0,0.0,44.0,86.0,16.0,0.0,34.0,17.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010204,364200.0,19963.0,992.0,72.0,432.0,107.0,26.0,83.0,11.0,115.0,62.0,0.0,28.0,202.0,21.0,0.0,31.0,0.0,0.0,126.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,18.0,10.0,0.0,0.0,0.0,0.0,0.0,21.0,31638.0,06,079,010204
7,4469.0,2751.0,1550.0,78919.0,370900.0,11303.0,1641.0,159.0,2993.0,346.0,138.0,35.0,26.0,1596.0,21.0,33.0,997.0,553.0,1573.0,31871.0,28.0,7.0,10.0,10.0,70.0,86.0,64.0,43.0,104.0,114.0,209.0,288.0,178.0,81.0,144.0,114.0,393.0,10.0,2.0,215.0,0.0,50.0,25.0,16.0,75.0,59.0,12.0,0.0,1400000US06079010205,06,079,010205,0.0,9.0,0.0,38.0,0.0,0.0,25.0,0.0,9.0,16.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010205,319000.0,22975.0,1310.0,289.0,163.0,57.0,8.0,40.0,29.0,16.0,0.0,0.0,13.0,165.0,59.0,0.0,0.0,0.0,102.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28698.0,06,079,010205
8,9075.0,6360.0,3607.0,82475.0,469800.0,19954.0,1423.0,448.0,7026.0,1140.0,334.0,117.0,50.0,4131.0,181.0,196.0,2775.0,832.0,1833.0,39111.0,57.0,230.0,177.0,145.0,65.0,81.0,115.0,98.0,145.0,219.0,340.0,542.0,492.0,321.0,222.0,358.0,284.0,11.0,18.0,18.0,70.0,42.0,0.0,54.0,71.0,87.0,6.0,11.0,1400000US06079010300,06,079,010300,7.0,7.0,15.0,24.0,0.0,17.0,41.0,0.0,14.0,13.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010300,401400.0,38217.0,856.0,197.0,360.0,68.0,72.0,89.0,29.0,3.0,6.0,11.0,82.0,148.0,15.0,3.0,16.0,45.0,19.0,15.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32837.0,06,079,010300
9,3581.0,2984.0,1785.0,73614.0,632200.0,22765.0,1523.0,182.0,3135.0,809.0,368.0,223.0,79.0,2863.0,54.0,44.0,1280.0,505.0,1510.0,38250.0,40.0,39.0,55.0,81.0,75.0,72.0,95.0,30.0,95.0,159.0,177.0,209.0,264.0,137.0,115.0,142.0,47.0,0.0,8.0,0.0,0.0,10.0,0.0,7.0,22.0,254.0,43.0,0.0,1400000US06079010403,06,079,010403,80.0,32.0,20.0,5.0,0.0,74.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06079010403,646300.0,63072.0,1424.0,149.0,122.0,0.0,0.0,0.0,15.0,57.0,0.0,15.0,35.0,57.0,0.0,0.0,15.0,0.0,15.0,0.0,0.0,27.0,65.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36670.0,06,079,010403
