,FIPS,state,county,tract,pop_00,white_00,hu_00,ohu_00,rhu_00,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,hh_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,hinc_00,mrent_00,mhval_00
8913,06083000101,06,083,101,5038,3651,2166,1672,494,3846,405,175,69,41,357,136,50,54,2160,113,170,117,134,150,172,160,117,105,218,250,224,76,56,69,29,42828,1119,188700
8914,06083000102,06,083,102,5315,3811,2240,911,1329,3673,400,177,32,26,491,171,38,10,2237,134,144,83,167,181,143,129,200,118,141,232,314,121,84,38,8,43653,879,424000
8915,06083000103,06,083,103,3084,2718,1195,1049,146,2319,297,121,103,105,354,154,31,50,1192,49,20,43,21,36,58,37,19,59,115,82,184,168,76,77,148,82952,1103,731900
8916,06083000200,06,083,200,4467,3310,2147,937,1210,3419,404,136,51,59,506,188,67,48,2144,142,128,91,155,94,82,75,164,134,170,273,337,131,89,28,51,50254,1061,450800
8917,06083000300,06,083,300,7086,4345,3242,666,2576,4977,609,181,49,89,839,145,53,51,3244,382,167,252,252,236,180,247,178,133,293,274,400,124,64,46,16,37762,909,314500
8918,06083000400,06,083,400,4854,4065,2345,866,1479,3749,551,315,170,106,575,249,93,46,2344,155,118,97,154,103,171,157,150,87,197,136,311,135,129,69,175,48780,942,652300
8919,06083000501,06,083,501,3568,3241,1428,1177,251,2810,403,154,109,140,623,153,14,58,1433,78,27,9,34,57,15,32,70,60,127,123,181,173,105,167,175,83074,1299,676500
8920,06083000502,06,083,502,5756,4830,2392,1720,672,4236,545,254,201,215,737,375,71,55,2394,85,48,63,46,129,130,77,89,108,168,274,364,195,178,224,216,72135,1090,491800
8921,06083000600,06,083,600,5006,3763,2290,1336,954,3959,538,246,211,108,736,216,92,58,2298,153,53,64,94,86,111,76,174,167,126,185,325,198,127,124,235,61940,918,653900
8922,06083000700,06,083,700,7018,5477,2290,1589,701,4187,589,279,165,218,574,232,114,36,2288,101,64,38,67,73,101,107,67,117,155,186,255,214,228,192,323,78353,941,824600
8923,06083000801,06,083,801,4493,819,1200,447,753,2550,124,68,19,4,97,36,9,13,1192,102,79,35,97,81,106,77,51,73,86,108,168,50,24,20,35,42375,913,356300
8924,06083000802,06,083,802,6932,1580,2078,791,1287,4167,208,92,55,24,273,42,0,8,2069,157,109,144,144,153,169,193,138,101,201,216,119,101,52,23,49,38834,886,318100
8925,06083000900,06,083,900,3219,1453,1358,170,1188,2189,191,56,30,6,224,106,21,6,1378,183,183,133,120,109,53,71,85,38,157,99,78,19,30,6,14,27108,780,381600
8926,06083001000,06,083,1000,6279,2827,2675,336,2339,4043,355,135,6,30,345,146,46,17,2687,500,258,174,136,181,185,177,141,95,280,214,196,30,37,27,56,32091,801,336100
8927,06083001101,06,083,1101,4585,1843,1519,662,857,2900,228,103,48,11,240,91,10,29,1518,120,74,96,99,69,90,92,103,100,144,212,163,75,13,45,23,45615,957,346700
8928,06083001102,06,083,1102,5129,1057,1347,296,1051,2697,121,45,0,24,167,28,5,13,1354,118,95,150,96,100,92,87,42,97,159,105,151,32,17,13,0,36512,947,324300
8929,06083001202,06,083,1202,3992,3013,1701,910,791,2854,415,213,85,79,417,194,103,31,1703,74,67,88,92,84,101,79,79,92,123,176,258,165,116,49,60,56888,1340,474400
8930,06083001203,06,083,1203,2666,2052,1243,734,509,1999,349,139,30,41,315,160,33,19,1237,109,74,50,49,55,52,60,55,51,92,147,161,120,46,41,75,54073,1093,497800
8931,06083001204,06,083,1204,4531,1586,1604,270,1334,2563,242,50,13,21,223,51,12,6,1613,194,116,121,113,106,81,103,102,109,139,133,133,65,27,56,15,38142,947,284600
8932,06083001301,06,083,1301,3581,3057,1566,946,620,2983,326,161,94,93,519,231,21,68,1571,89,24,56,74,87,59,93,60,44,122,159,255,169,94,64,122,65911,1617,456800
8933,06083001302,06,083,1302,7690,5333,2944,1933,1011,5364,816,244,112,62,643,275,88,42,2956,209,119,55,118,96,173,132,89,142,421,341,306,287,147,159,162,57443,984,485600
8934,06083001400,06,083,1400,3737,3440,1712,1152,560,2896,352,265,172,61,659,191,121,57,1722,80,40,26,73,59,37,103,24,52,108,147,212,174,94,107,386,82521,1424,931300
8935,06083001500,06,083,1500,3291,3035,1351,1111,240,2569,479,167,168,100,485,193,34,24,1354,40,32,41,20,8,60,17,43,12,19,85,179,138,67,78,515,121319,1682,1000001
8936,06083001601,06,083,1601,5815,3100,1804,1364,440,3814,341,86,59,22,426,133,38,16,1801,81,58,39,39,94,74,51,64,90,163,264,343,212,89,101,39,67743,992,388400
8937,06083001602,06,083,1602,5436,2866,2115,818,1297,3639,357,91,13,37,352,137,27,16,2120,188,93,189,94,212,120,114,125,123,143,249,182,94,91,65,38,41953,909,312400
8938,06083001701,06,083,1701,4739,3797,2020,1342,678,3557,520,255,115,48,598,209,19,21,2014,90,72,61,62,85,63,129,96,134,145,244,245,197,92,92,207,66490,1046,652400
8939,06083001702,06,083,1702,3118,1459,1071,703,368,2088,129,17,20,10,144,57,14,6,1081,62,45,65,74,104,70,131,92,62,69,105,121,41,14,17,9,39464,950,146800
8940,06083001800,06,083,1800,1349,741,462,272,190,841,51,18,3,2,27,7,2,0,464,50,33,42,34,23,30,39,40,24,40,37,32,14,5,7,14,37935,508,87800
8941,06083001901,06,083,1901,6240,4243,2277,1607,670,4056,308,85,42,28,309,93,11,11,2268,115,122,169,143,105,149,131,89,130,184,273,322,145,75,56,60,49406,745,246400
