,FIPS,state,county,tract,pop_90,hh_90,white_90,total_25_col_9th_90,total_25_col_12th_90,total_25_col_hs_90,total_25_col_sc_90,total_25_col_ad_90,total_25_col_bd_90,total_25_col_gd_90,I_5000_90,I_10000_90,I_12500_90,I_15000_90,I_17500_90,I_20000_90,I_22500_90,I_25000_90,I_27500_90,I_30000_90,I_32500_90,I_35000_90,I_37500_90,I_40000_90,I_42500_90,I_45000_90,I_47500_90,I_50000_90,I_55000_90,I_60000_90,I_75000_90,I_100000_90,I_125000_90,I_150000_90,I_150001_90,hinc_90,ohu_90,rhu_90,mrent_90,mhval_90
7425,06083000101,06,083,101,4903,1896,4903,3830,202,525,912,1009,188,651,1896,88,163,90,94,48,85,72,103,83,55,82,57,50,70,68,45,30,43,65,129,161,95,59,10,32043,1875,1462,770,346800
7426,06083000102,06,083,102,4524,2035,4524,3370,115,265,718,693,223,808,2035,70,121,99,67,90,154,72,109,64,23,88,42,58,88,74,65,60,28,56,104,208,169,49,24,35797,2065,871,680,329500
7427,06083000103,06,083,103,3191,1150,3191,2361,33,98,371,555,173,667,1150,13,38,12,0,17,0,10,12,34,32,36,58,21,0,26,33,11,37,70,59,155,196,98,64,64581,1139,988,1001,500001
7428,06083000200,06,083,200,4045,1981,4045,3247,162,280,496,905,211,769,1981,48,145,70,48,75,61,99,71,63,77,120,91,71,64,78,51,43,59,89,145,150,135,51,56,35792,1970,845,782,332300
7429,06083000300,06,083,300,6612,3103,6612,4744,424,472,706,1182,477,879,3103,152,218,204,126,276,152,167,138,162,108,158,93,144,73,80,39,127,60,119,76,183,115,61,35,26829,3088,633,655,297700
7430,06083000400,06,083,400,4820,2320,4820,3858,88,154,601,903,250,1156,2320,101,162,87,41,58,91,77,79,137,77,120,55,130,83,93,83,25,37,132,87,144,141,106,50,36442,2298,870,720,490000
7431,06083000501,06,083,501,3557,1424,3557,2682,46,108,332,554,234,750,1424,9,0,42,12,39,8,39,31,28,53,13,4,50,37,30,18,63,30,63,75,207,275,126,83,64093,1374,1196,1001,429300
7432,06083000502,06,083,502,5621,2282,5621,4215,139,251,665,1005,337,1005,2282,51,100,75,56,63,32,102,62,41,99,71,59,48,82,49,28,57,70,147,51,318,345,93,55,49857,2324,1700,846,356100
7433,06083000600,06,083,600,5069,2235,5069,3986,250,224,620,859,237,1138,2235,41,113,34,78,53,53,120,40,108,36,130,46,51,63,66,37,37,54,133,45,240,264,99,94,48032,2209,1303,749,471300
7434,06083000700,06,083,700,6916,2349,6916,4377,255,319,622,946,162,1248,2349,65,114,116,35,67,65,87,64,35,76,59,72,76,30,66,42,19,62,87,59,277,280,156,147,51323,2313,1556,804,500001
