,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,6216.0,3703.0,2331.0,67672.0,424300.0,71844.0,1242.0,828.0,4756.0,1146.0,198.0,200.0,178.0,2474.0,38.0,47.0,1667.0,664.0,1483.0,31794.0,70.0,188.0,262.0,109.0,143.0,99.0,16.0,0.0,106.0,73.0,190.0,302.0,106.0,144.0,236.0,287.0,699.0,84.0,135.0,85.0,118.0,85.0,64.0,21.0,107.0,308.0,83.0,40.0,1400000US06083000101,06,083,000101,61.0,0.0,24.0,72.0,0.0,28.0,26.0,11.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,18.0,0.0,12.0,0.0,0.0,12.0,06083000101,294700.0,70788.0,1410.0,197.0,568.0,204.0,58.0,48.0,79.0,117.0,24.0,0.0,38.0,187.0,91.0,24.0,15.0,0.0,32.0,25.0,0.0,0.0,24.0,15.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28088.0,06,083,000101
1,5634.0,3850.0,2263.0,72878.0,839300.0,53034.0,1837.0,163.0,3890.0,1195.0,488.0,284.0,37.0,2468.0,139.0,131.0,1028.0,1235.0,1833.0,36406.0,170.0,79.0,28.0,64.0,67.0,55.0,64.0,81.0,89.0,145.0,326.0,282.0,200.0,120.0,219.0,274.0,448.0,45.0,9.0,130.0,34.0,117.0,24.0,17.0,72.0,265.0,35.0,19.0,1400000US06083000102,06,083,000102,0.0,40.0,17.0,9.0,16.0,129.0,217.0,108.0,0.0,0.0,21.0,50.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06083000102,800600.0,54818.0,1301.0,122.0,773.0,72.0,140.0,182.0,125.0,126.0,101.0,0.0,27.0,82.0,21.0,0.0,23.0,12.0,11.0,0.0,0.0,15.0,37.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,28540.0,06,083,000102
2,3212.0,2653.0,1218.0,166389.0,1233200.0,155886.0,2327.0,219.0,2443.0,836.0,369.0,181.0,208.0,1329.0,18.0,31.0,1111.0,107.0,2371.0,54715.0,34.0,54.0,10.0,38.0,7.0,0.0,19.0,12.0,11.0,42.0,43.0,92.0,141.0,73.0,113.0,529.0,145.0,13.0,17.0,7.0,0.0,13.0,31.0,0.0,64.0,51.0,0.0,0.0,1400000US06083000103,06,083,000103,15.0,0.0,24.0,0.0,0.0,12.0,27.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06083000103,1000001.0,-333333333.0,2001.0,-333333333.0,77.0,17.0,0.0,0.0,0.0,0.0,18.0,0.0,42.0,83.0,5.0,2.0,14.0,0.0,0.0,0.0,5.0,57.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,47656.0,06,083,000103
3,4314.0,3377.0,2077.0,91546.0,889200.0,58179.0,1672.0,171.0,3445.0,1413.0,468.0,109.0,127.0,2189.0,263.0,213.0,766.0,1311.0,1830.0,49329.0,102.0,94.0,45.0,12.0,40.0,14.0,80.0,104.0,35.0,138.0,101.0,540.0,144.0,146.0,151.0,331.0,438.0,44.0,4.0,74.0,61.0,42.0,54.0,18.0,141.0,95.0,20.0,0.0,1400000US06083000200,06,083,000200,0.0,0.0,15.0,29.0,0.0,31.0,25.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06083000200,769500.0,86178.0,1667.0,113.0,350.0,61.0,17.0,39.0,40.0,106.0,12.0,32.0,43.0,146.0,28.0,0.0,0.0,7.0,35.0,13.0,0.0,63.0,81.0,0.0,0.0,38.0,14.0,15.0,14.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,41648.0,06,083,000200
4,2868.0,1350.0,1243.0,56006.0,844500.0,98539.0,1651.0,102.0,1971.0,555.0,225.0,39.0,34.0,1434.0,113.0,602.0,226.0,1017.0,1644.0,29375.0,102.0,35.0,52.0,35.0,92.0,101.0,19.0,75.0,41.0,94.0,166.0,157.0,83.0,62.0,55.0,74.0,431.0,83.0,28.0,20.0,146.0,48.0,51.0,20.0,35.0,158.0,17.0,11.0,1400000US06083000301,06,083,000301,33.0,10.0,29.0,8.0,0.0,50.0,43.0,0.0,2.0,22.0,10.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06083000301,692000.0,69738.0,1533.0,220.0,909.0,269.0,138.0,107.0,23.0,158.0,113.0,13.0,88.0,89.0,0.0,0.0,54.0,8.0,14.0,0.0,13.0,0.0,79.0,45.0,16.0,0.0,0.0,0.0,18.0,0.0,0.0,78.0,0.0,16.0,0.0,62.0,0.0,0.0,0.0,0.0,30935.0,06,083,000301
5,4057.0,2094.0,1869.0,65950.0,766400.0,113080.0,1500.0,111.0,3033.0,896.0,373.0,74.0,91.0,2077.0,128.0,443.0,411.0,1458.0,1542.0,36918.0,50.0,137.0,53.0,61.0,81.0,110.0,53.0,77.0,60.0,161.0,288.0,215.0,136.0,73.0,182.0,132.0,398.0,21.0,22.0,117.0,63.0,92.0,0.0,62.0,21.0,163.0,27.0,15.0,1400000US06083000302,06,083,000302,0.0,24.0,0.0,32.0,0.0,65.0,72.0,13.0,10.0,0.0,8.0,0.0,19.0,13.0,9.0,11.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,06083000302,680400.0,93045.0,1455.0,170.0,828.0,117.0,84.0,219.0,178.0,92.0,20.0,0.0,118.0,231.0,36.0,0.0,57.0,0.0,89.0,49.0,0.0,0.0,80.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,54.0,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32137.0,06,083,000302
6,5348.0,4152.0,2638.0,95682.0,1221900.0,270278.0,2054.0,256.0,4166.0,1256.0,920.0,224.0,276.0,2749.0,301.0,1047.0,1179.0,1459.0,2107.0,48597.0,69.0,35.0,183.0,23.0,26.0,12.0,86.0,137.0,50.0,336.0,164.0,270.0,326.0,271.0,317.0,333.0,821.0,42.0,81.0,17.0,300.0,39.0,46.0,73.0,223.0,90.0,23.0,12.0,1400000US06083000400,06,083,000400,0.0,0.0,22.0,0.0,0.0,33.0,11.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,17.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,06083000400,1000001.0,-333333333.0,1338.0,99.0,454.0,56.0,0.0,50.0,94.0,114.0,108.0,0.0,32.0,86.0,13.0,0.0,0.0,13.0,11.0,20.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,44347.0,06,083,000400
7,3647.0,3033.0,1433.0,129053.0,1231700.0,182850.0,2017.0,340.0,2765.0,1001.0,503.0,172.0,145.0,1505.0,146.0,168.0,1210.0,223.0,2683.0,48750.0,7.0,44.0,24.0,40.0,30.0,51.0,36.0,12.0,35.0,45.0,70.0,131.0,163.0,151.0,149.0,445.0,193.0,16.0,27.0,7.0,30.0,24.0,57.0,0.0,32.0,87.0,27.0,0.0,1400000US06083000501,06,083,000501,0.0,13.0,10.0,0.0,12.0,25.0,64.0,19.0,0.0,0.0,0.0,26.0,0.0,0.0,19.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,06083000501,1000001.0,-333333333.0,1864.0,898.0,84.0,11.0,14.0,0.0,0.0,21.0,0.0,10.0,28.0,41.0,21.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,48.0,16.0,0.0,0.0,22.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52500.0,06,083,000501
8,6434.0,5169.0,2474.0,112813.0,1063100.0,59414.0,2305.0,294.0,4733.0,1818.0,910.0,232.0,194.0,2604.0,435.0,569.0,1801.0,673.0,2230.0,42486.0,125.0,17.0,82.0,36.0,99.0,15.0,30.0,168.0,30.0,55.0,285.0,202.0,257.0,277.0,287.0,509.0,235.0,25.0,20.0,27.0,24.0,26.0,35.0,42.0,36.0,103.0,0.0,38.0,1400000US06083000502,06,083,000502,34.0,0.0,31.0,0.0,0.0,0.0,146.0,36.0,33.0,8.0,25.0,17.0,0.0,0.0,27.0,45.0,0.0,0.0,0.0,18.0,0.0,12.0,0.0,15.0,06083000502,921000.0,43935.0,1407.0,179.0,267.0,35.0,33.0,72.0,41.0,0.0,19.0,0.0,67.0,41.0,0.0,0.0,23.0,0.0,0.0,0.0,18.0,0.0,63.0,31.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,30.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,41434.0,06,083,000502
9,5168.0,4106.0,2321.0,105563.0,1222600.0,357895.0,2225.0,225.0,4031.0,1004.0,948.0,248.0,345.0,2419.0,149.0,822.0,1411.0,910.0,2238.0,57840.0,17.0,38.0,52.0,18.0,36.0,60.0,0.0,51.0,116.0,257.0,230.0,183.0,254.0,220.0,166.0,623.0,802.0,125.0,0.0,67.0,174.0,100.0,27.0,200.0,109.0,105.0,0.0,0.0,1400000US06083000600,06,083,000600,0.0,0.0,28.0,20.0,19.0,38.0,117.0,51.0,4.0,0.0,17.0,23.0,0.0,22.0,0.0,93.0,0.0,26.0,0.0,17.0,0.0,15.0,0.0,35.0,06083000600,1000001.0,-333333333.0,1540.0,189.0,268.0,46.0,2.0,0.0,63.0,55.0,16.0,29.0,57.0,174.0,0.0,17.0,0.0,59.0,60.0,0.0,0.0,38.0,52.0,16.0,0.0,0.0,0.0,0.0,17.0,0.0,19.0,36.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,20.0,38629.0,06,083,000600
