,FIPS,state,county,tract,pop_00,white_00,hu_00,ohu_00,rhu_00,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,hh_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,hinc_00,mrent_00,mhval_00
9340,06087100100,06,087,100100,2220,1858,808,648,160,1576,169,89,22,6,258,76,16,13,827,18,8,52,24,17,58,19,50,39,85,79,164,99,41,42,32,66467,1160,424100
9341,06087100200,06,087,100200,7063,4858,2541,1265,1276,4451,572,134,67,35,594,138,16,8,2510,209,155,140,161,86,166,114,135,112,181,294,283,217,138,93,26,48777,887,356300
9342,06087100300,06,087,100300,2875,2452,1077,819,258,2048,298,130,70,105,275,167,68,43,1088,54,37,45,18,34,15,21,52,38,59,116,220,145,88,82,64,81314,1321,518900
9343,06087100400,06,087,100400,4179,2460,420,110,310,628,62,59,0,129,88,98,0,61,416,72,47,36,10,19,30,15,12,17,41,24,55,3,22,13,0,33636,776,136700
9344,06087100500,06,087,100500,4916,3886,1979,1090,889,3184,431,280,52,127,498,253,31,43,1971,158,39,57,68,69,102,113,139,66,130,176,276,255,63,148,112,62099,1332,433300
9345,06087100600,06,087,100600,3169,2612,1240,779,461,2164,330,139,38,65,389,182,41,25,1217,27,53,46,49,66,49,35,34,88,108,179,204,105,81,42,51,62552,1265,408100
9346,06087100700,06,087,100700,1882,1398,945,284,661,1397,219,88,15,19,183,86,14,18,972,205,61,65,85,46,62,83,36,25,63,63,73,13,50,23,19,31250,735,269800
9347,06087100800,06,087,100800,6803,4474,2798,788,2010,4288,533,172,42,14,589,263,52,22,2787,288,191,137,210,84,194,173,149,123,292,400,261,134,37,61,53,43822,904,337200
9348,06087100900,06,087,100900,4314,3435,1989,806,1183,3131,408,179,52,37,485,140,34,23,1991,117,92,120,108,132,130,117,132,123,160,169,197,165,50,104,75,46649,1025,443600
9349,06087101000,06,087,101000,7743,4401,2986,614,2372,4567,458,195,13,102,392,218,41,24,2992,476,333,226,193,188,194,170,77,127,229,251,191,126,68,69,74,31754,797,302600
9350,06087101100,06,087,101100,5436,4272,2168,1221,947,3799,550,143,89,91,661,229,28,46,2171,147,72,131,59,99,141,115,109,72,213,269,261,225,56,82,120,55788,1114,401700
9351,06087101200,06,087,101200,2751,2166,1038,758,280,1994,210,81,88,31,275,156,38,0,1043,52,27,28,74,46,26,32,66,24,82,112,226,101,47,40,60,64583,1329,385700
9352,06087110100,06,087,110100,5861,1726,1971,1094,877,3707,42,56,6,11,113,39,17,6,1974,163,138,198,193,214,173,107,98,73,165,173,134,73,25,28,19,32275,771,188300
9353,06087110200,06,087,110200,7204,2065,2065,1206,859,4137,169,43,38,9,255,56,25,0,2065,181,107,75,168,109,81,87,118,150,176,239,264,128,59,52,71,47868,786,267600
9354,06087110300,06,087,110300,7683,582,1753,274,1479,3873,45,9,23,0,91,7,13,0,1749,270,159,148,93,142,180,133,82,126,135,111,100,42,13,0,15,31736,633,192500
9355,06087110400,06,087,110400,5224,476,1173,252,921,2430,37,27,9,0,40,40,14,0,1173,116,83,122,95,103,111,115,69,47,129,85,69,16,0,8,5,32583,822,172200
9356,06087110501,06,087,110501,7218,1853,1818,1015,803,3851,115,57,0,8,181,35,11,0,1823,142,114,85,166,152,163,120,104,42,169,160,243,89,23,23,28,38638,821,186400
9357,06087110502,06,087,110502,6165,1084,1409,847,562,3244,80,11,0,0,124,16,14,0,1415,89,84,61,98,108,146,99,92,84,101,224,198,31,0,0,0,41278,743,198800
9358,06087110600,06,087,110600,7544,1203,1917,1020,897,4210,112,36,6,0,86,36,0,0,1924,193,184,117,152,119,93,132,96,57,228,222,155,78,21,18,59,38852,644,202100
9359,06087110700,06,087,110700,3616,1088,937,645,292,2142,47,10,6,0,83,21,0,0,944,42,35,26,80,64,56,55,48,48,91,129,166,51,12,2,39,51731,731,238200
9360,06087120200,06,087,120200,4191,3420,1478,1080,398,2944,500,160,30,82,432,229,37,29,1479,102,43,40,29,54,72,41,45,55,84,155,218,206,85,103,147,76912,1051,441300
9361,06087120301,06,087,120301,5396,4796,2129,1516,613,3741,540,146,36,31,500,71,20,27,2104,78,47,30,61,70,82,70,104,108,249,301,369,219,119,116,81,66538,1001,335400
9362,06087120302,06,087,120302,2874,2497,1071,718,353,1885,164,48,18,23,249,62,16,8,1106,55,43,24,25,40,110,64,53,67,118,152,193,103,4,33,22,56667,950,292100
9363,06087120400,06,087,120400,5475,4720,2175,1466,709,3821,486,108,15,15,506,121,7,15,2176,124,95,42,129,122,149,86,60,33,173,233,307,290,157,59,117,62467,913,292000
9364,06087120500,06,087,120500,6238,5522,2492,1995,497,4512,600,361,77,133,624,290,18,54,2492,157,32,82,93,57,122,78,51,97,150,269,261,314,216,245,268,82080,909,431400
9365,06087120600,06,087,120600,5141,4558,1876,1505,371,3458,366,134,71,14,397,137,72,0,1875,73,56,60,36,64,69,94,56,49,173,235,340,268,130,97,75,72431,888,313700
9366,06087120700,06,087,120700,5234,4245,1622,1154,468,2817,385,145,43,32,327,140,64,23,1636,83,60,43,84,48,76,60,77,131,191,156,200,239,96,63,29,56859,906,290800
9367,06087120800,06,087,120800,6103,5420,2382,1964,418,4497,457,236,144,70,675,126,34,35,2386,87,61,80,115,136,100,40,89,104,215,132,339,282,190,178,238,77715,1693,439600
9368,06087120900,06,087,120900,7823,6523,2956,2111,845,5145,877,259,73,71,712,242,30,32,2963,63,92,101,99,110,178,77,138,145,227,290,383,395,224,236,205,71922,974,389400
9369,06087121000,06,087,121000,3549,3220,1329,1073,256,2502,369,222,78,52,362,164,38,22,1327,55,27,28,29,27,40,48,52,66,43,92,149,176,91,192,212,100828,1038,597100
9370,06087121100,06,087,121100,2710,2309,1130,910,220,1977,190,136,39,41,248,53,18,5,1131,58,61,84,72,50,61,44,46,37,118,82,131,70,47,63,107,52117,912,443400
9371,06087121200,06,087,121200,6286,5523,2269,1722,547,4377,595,220,108,69,652,226,76,45,2263,156,43,22,74,47,40,145,59,112,145,243,331,239,178,247,182,79625,866,499900
9372,06087121300,06,087,121300,4181,2944,1675,911,764,2842,278,107,29,35,338,159,49,13,1672,140,49,109,80,88,67,94,93,111,115,181,232,155,58,49,51,50658,1069,374400
9373,06087121401,06,087,121401,2708,1976,875,529,346,1829,128,103,0,0,220,48,0,7,881,19,50,17,110,70,34,32,50,41,65,81,107,132,44,14,15,53510,895,311900
9374,06087121402,06,087,121402,4071,2658,1467,792,675,2661,207,46,7,0,236,106,7,0,1466,68,62,79,123,106,112,139,50,122,110,143,164,93,52,16,27,44531,1004,268600
9375,06087121403,06,087,121403,3276,2295,1322,759,563,2227,228,60,39,10,202,108,28,0,1317,80,74,67,84,108,86,89,28,83,180,153,156,81,22,18,8,47125,919,253000
9376,06087121500,06,087,121500,5533,3893,2409,899,1510,3761,333,159,28,50,450,98,20,36,2404,213,185,150,157,206,165,146,70,126,199,262,231,89,94,45,66,39057,998,351400
9377,06087121600,06,087,121600,6573,5278,2899,1557,1342,4738,562,137,90,33,476,91,105,10,2909,291,172,197,158,147,173,185,181,144,201,258,304,198,117,74,109,43096,1042,335200
9378,06087121700,06,087,121700,7387,5239,3072,1669,1403,5107,468,119,48,27,554,169,39,21,3074,171,210,136,164,133,292,195,235,151,259,393,382,225,40,41,47,45025,978,285000
9379,06087121800,06,087,121800,4962,4163,2455,1086,1369,3726,454,225,41,19,512,236,36,11,2454,191,187,95,125,150,123,90,180,168,201,253,217,261,66,60,87,47337,953,370300
9380,06087122001,06,087,122001,5126,4225,1843,1342,501,3478,432,216,63,41,526,191,42,19,1841,93,72,79,91,103,72,60,59,28,114,195,281,198,168,63,165,71803,1078,445300
9381,06087122002,06,087,122002,3554,3150,1308,1048,260,2456,335,127,135,32,377,165,31,20,1312,88,0,20,36,39,14,52,48,54,108,112,233,169,111,148,80,85073,1319,476600
9382,06087122003,06,087,122003,6463,5222,2690,1899,791,4577,430,194,104,73,493,218,36,16,2697,189,133,74,38,146,93,160,166,190,261,380,342,203,157,96,69,56452,1045,297600
