,pop_00,white_00,hu_00,ohu_00,rhu_00,state,county,tract,FIPS,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,mhval_00,mrent_00,hh_00,hinc_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00
0,5530,3291,2573,834,1739,53,033,000100,53033000100,3749,404,246,138,54,420,232,89,60,267600,653,2581,31980,422,190,153,261,175,234,109,101,69,211,205,224,43,46,73,65
1,7345,5042,3361,1885,1476,53,033,000200,53033000200,5459,701,256,68,71,760,240,37,40,195600,744,3379,43470,308,180,151,193,220,241,204,239,165,372,376,389,137,114,71,19
2,2485,1752,1067,694,373,53,033,000300,53033000300,1793,167,62,10,5,207,43,10,6,189100,852,1063,45108,74,18,44,32,79,94,104,83,114,78,142,125,48,15,13,0
3,4734,3328,2669,779,1890,53,033,000401,53033000401,3595,350,55,48,31,394,64,34,22,186000,658,2675,28821,492,246,177,220,261,146,183,159,90,197,193,155,58,22,60,16
4,4582,3570,2148,1044,1104,53,033,000402,53033000402,3576,332,151,27,0,469,181,24,25,226000,797,2156,42444,98,44,141,171,161,225,108,178,128,113,280,180,193,39,42,55
5,3296,2891,1343,1266,77,53,033,000500,53033000500,2512,432,171,101,33,502,164,26,21,356300,1108,1346,71983,38,27,41,44,22,54,40,107,14,95,214,192,193,72,79,114
6,7361,4678,3172,1819,1353,53,033,000600,53033000600,5298,665,272,124,27,711,231,101,17,203000,819,3158,42938,220,227,221,197,125,260,225,170,171,277,381,311,154,94,68,57
7,4189,2703,2030,805,1225,53,033,000700,53033000700,2954,380,197,33,18,404,138,24,8,195500,691,2037,36080,161,100,188,209,172,144,147,119,73,208,172,221,74,21,22,6
8,2600,1994,1036,774,262,53,033,000800,53033000800,1883,232,103,11,42,286,173,11,0,217600,996,1032,59000,32,35,62,49,35,62,58,42,42,111,135,204,64,72,29,0
9,2044,1752,867,740,127,53,033,000900,53033000900,1527,187,135,89,67,322,163,38,63,398000,1175,842,81118,19,18,14,28,14,12,22,17,48,90,109,106,70,80,75,120
10,1705,1247,707,474,233,53,033,001000,53033001000,1180,135,101,25,50,127,107,18,18,232600,858,730,50536,30,35,61,20,29,47,23,71,43,68,55,127,75,33,8,5
11,2369,1776,1057,719,338,53,033,001100,53033001100,1658,210,52,42,35,308,109,20,11,234800,764,1029,54776,52,24,54,56,56,44,80,35,49,125,90,198,66,33,33,34
12,6106,3901,3300,841,2459,53,033,001200,53033001200,4476,467,185,47,44,608,241,47,50,196000,707,3318,32463,452,312,191,260,247,296,241,226,123,211,264,282,123,18,58,14
13,4183,2690,2020,683,1337,53,033,001300,53033001300,3009,359,97,21,9,448,79,40,12,169100,749,2017,32983,284,188,80,141,169,232,184,138,70,178,108,161,80,4,0,0
14,4673,3722,2139,1216,923,53,033,001400,53033001400,3386,404,119,38,53,443,161,21,3,222100,744,2144,46022,111,76,90,75,113,174,162,233,153,217,331,207,129,28,39,6
15,2350,2152,1027,848,179,53,033,001500,53033001500,1882,294,104,75,40,263,120,31,18,333600,724,1055,63207,43,12,27,42,41,68,57,49,30,79,159,145,104,41,101,57
16,3946,3487,1753,1367,386,53,033,001600,53033001600,3014,445,89,104,27,535,146,83,23,356400,699,1739,61329,73,35,76,104,60,87,48,122,68,163,211,213,118,106,94,161
17,7448,5349,3418,1799,1619,53,033,001700,53033001700,5503,799,142,79,35,743,250,34,9,186600,728,3417,42436,209,249,110,169,252,256,254,276,160,422,430,392,174,26,11,27
18,3991,2832,1879,673,1206,53,033,001800,53033001800,2870,442,125,34,49,500,93,52,40,200000,783,1884,41941,104,68,95,176,160,123,150,131,137,168,225,136,131,41,34,5
19,3423,2680,1580,1099,481,53,033,001900,53033001900,2562,377,110,41,33,588,133,35,45,225400,895,1583,51760,80,39,69,73,83,110,96,104,84,152,172,259,102,48,80,32
20,3116,2541,1489,992,497,53,033,002000,53033002000,2351,440,120,55,43,422,200,36,26,218300,872,1498,50351,37,94,83,60,79,91,115,83,99,143,191,212,89,82,36,4
21,3637,2912,1637,1156,481,53,033,002100,53033002100,2757,435,176,57,67,505,221,63,19,233900,766,1631,50284,104,82,84,72,101,126,83,69,92,93,172,271,118,74,41,49
22,5396,4403,2131,1809,322,53,033,002200,53033002200,3933,653,257,204,163,771,359,106,78,322900,1038,2128,68450,49,74,43,69,86,77,79,109,68,217,316,283,198,110,148,202
23,2828,2345,1252,841,411,53,033,002400,53033002400,2105,329,216,103,109,396,185,61,38,275200,946,1251,62784,17,72,37,31,61,56,67,47,57,137,136,236,124,88,66,19
24,2541,2122,1156,833,323,53,033,002500,53033002500,1942,292,122,82,51,400,175,61,59,262000,1006,1156,57778,53,32,64,51,17,32,85,60,52,156,160,178,93,41,39,43
25,4522,3861,1923,1292,631,53,033,002600,53033002600,3237,557,237,76,78,624,356,63,54,275400,846,1927,66066,75,81,62,44,93,71,95,80,81,171,189,408,171,126,124,56
26,4943,4268,2198,1461,737,53,033,002700,53033002700,3833,734,372,69,63,736,391,49,25,299100,875,2205,63952,58,79,64,63,139,85,105,89,119,188,348,387,207,137,88,49
27,4232,3672,2064,1187,877,53,033,002800,53033002800,3304,714,190,80,60,716,239,51,56,245200,794,2070,58446,51,63,62,53,111,153,114,125,108,241,283,241,175,137,66,87
28,3984,3422,1835,1244,591,53,033,002900,53033002900,3134,539,154,123,51,674,266,67,6,256400,757,1836,62150,62,56,112,69,59,93,116,97,47,164,223,357,161,154,48,18
29,5250,4561,2378,1730,648,53,033,003000,53033003000,3992,657,144,89,58,706,224,102,27,245800,763,2375,57116,89,66,85,115,71,149,146,171,66,283,282,420,232,84,100,16
30,6038,5421,2596,2022,574,53,033,003100,53033003100,4597,652,229,60,78,918,220,51,37,266700,924,2600,56580,81,71,115,89,110,177,115,140,163,330,336,407,261,113,64,28
31,7213,6376,3776,1764,2012,53,033,003200,53033003200,5747,928,249,97,34,911,281,81,19,259900,711,3776,46366,283,230,224,229,264,219,150,224,179,384,457,485,200,107,83,58
32,5832,4887,2915,1148,1767,53,033,003300,53033003300,4466,741,187,22,49,811,233,29,11,232000,771,2914,43934,135,109,119,290,266,223,199,145,170,204,369,376,155,72,39,43
33,3198,2789,1476,870,606,53,033,003400,53033003400,2463,423,135,62,26,382,255,82,20,280500,764,1475,55885,53,20,42,96,71,66,83,85,67,187,173,226,159,63,48,36
34,3639,3244,1766,975,791,53,033,003500,53033003500,2881,495,281,47,68,569,303,80,12,306900,737,1762,56000,67,68,47,44,91,145,82,156,73,166,192,256,109,101,91,74
35,4886,4072,2713,805,1908,53,033,003600,53033003600,3897,793,216,154,90,873,284,47,61,306400,775,2715,47547,234,167,102,148,162,227,87,160,148,250,242,371,228,51,72,66
36,1980,1678,794,559,235,53,033,003800,53033003800,1521,268,132,44,79,269,117,63,38,291300,898,815,59432,51,24,7,32,46,54,44,42,31,79,79,132,83,31,44,36
