,FIPS,state,county,tract,pop_00,white_00,hu_00,ohu_00,rhu_00,total_25_00,male_25_col_bd_00,male_25_col_md_00,male_25_col_psd_00,male_25_col_phd_00,female_25_col_bd_00,female_25_col_md_00,female_25_col_psd_00,female_25_col_phd_00,hh_00,I_10000_00,I_15000_00,I_20000_00,I_25000_00,I_30000_00,I_35000_00,I_40000_00,I_45000_00,I_50000_00,I_60000_00,I_75000_00,I_100000_00,I_125000_00,I_150000_00,I_200000_00,I_201000_00,hinc_00,mrent_00,mhval_00
9815,06111000100,06,111,100,752,635,314,227,87,626,57,26,7,8,58,27,0,0,336,10,23,20,7,21,19,25,8,12,32,35,57,10,25,26,6,56964,460,198600
9816,06111000200,06,111,200,2380,527,605,312,293,1301,41,15,0,0,21,0,0,0,609,54,26,50,37,61,41,45,61,6,52,44,76,25,4,15,12,38869,547,169700
9817,06111000301,06,111,301,8766,2486,2178,1400,778,4758,204,115,24,18,175,41,27,9,2107,121,114,117,112,65,138,118,150,127,208,246,306,144,61,51,29,49683,880,173400
9818,06111000302,06,111,302,6379,2481,2077,1266,811,3750,143,65,29,7,218,43,52,0,2031,233,85,166,123,127,134,123,42,161,195,188,242,131,29,16,36,42269,661,155000
9819,06111000400,06,111,400,6597,1486,1690,1065,625,3656,83,58,56,28,88,17,23,5,1708,109,110,149,62,184,92,117,72,69,188,175,194,68,28,35,56,42348,645,164500
9820,06111000500,06,111,500,2333,925,610,389,221,1635,7,11,0,8,20,19,0,15,668,45,52,76,99,36,65,29,21,23,104,32,51,16,1,18,0,32031,640,95300
9821,06111000600,06,111,600,6066,807,1725,405,1320,3357,51,7,0,0,58,29,9,0,1734,277,231,164,116,114,148,103,84,85,128,131,61,40,20,27,5,28611,600,160500
9822,06111000700,06,111,700,9143,2296,2420,1532,888,5100,136,39,1,24,186,1,0,13,2428,115,123,147,116,130,188,156,141,138,287,306,338,147,13,61,22,48214,770,156500
9823,06111000800,06,111,800,7415,3112,2421,1632,789,4594,248,76,50,32,169,57,8,10,2434,180,121,71,108,210,129,105,78,116,225,258,386,199,77,78,93,54618,767,205300
9824,06111000901,06,111,901,2542,2297,1088,724,364,2042,209,111,88,32,298,135,19,6,1140,81,24,35,65,34,96,64,55,62,60,78,159,109,31,58,129,59250,851,429000
9825,06111000902,06,111,902,2139,1745,833,490,343,1316,125,43,30,26,165,59,8,7,785,122,32,32,52,25,33,26,67,44,60,64,77,50,23,37,41,45337,630,302100
9826,06111000903,06,111,903,6429,5015,2220,1352,868,4110,275,180,33,90,469,245,18,40,2227,195,44,98,162,139,164,90,143,75,275,195,246,142,74,81,104,50061,816,284100
9827,06111001001,06,111,1001,2663,2152,977,654,323,1835,90,43,24,16,115,47,28,5,990,60,89,34,41,62,54,78,43,77,76,99,103,48,45,46,35,47024,802,216200
9828,06111001002,06,111,1002,7286,5593,2667,1913,754,4714,289,101,32,17,320,140,71,0,2665,158,237,119,126,139,258,166,65,81,255,388,323,199,44,59,48,49103,794,212500
9829,06111001101,06,111,1101,4868,3764,1668,1294,374,3126,163,85,0,0,227,61,38,0,1681,89,104,28,58,111,51,135,70,71,199,226,292,130,58,35,24,55881,1034,201500
