,pop_18,white_18,hh_18,hinc_18,mhval_18,mhval_18_se,mrent_18,mrent_18_se,total_25_18,total_25_col_bd_18,total_25_col_md_18,total_25_col_pd_18,total_25_col_phd_18,tot_units_built_18,units_40_49_built_18,units_39_early_built_18,ohu_18,rhu_18,mmhcosts_18,iinc_18,I_10000_18,I_15000_18,I_20000_18,I_25000_18,I_30000_18,I_35000_18,I_40000_18,I_45000_18,I_50000_18,I_60000_18,I_75000_18,I_100000_18,I_125000_18,I_150000_18,I_200000_18,I_201000_18,mov_wc_w_income_18,mov_wc_9000_18,mov_wc_15000_18,mov_wc_25000_18,mov_wc_35000_18,mov_wc_50000_18,mov_wc_65000_18,mov_wc_75000_18,mov_wc_76000_more_18,mov_oc_w_income_18,mov_oc_9000_18,mov_oc_15000_18,GEO_ID,state_x,county_x,tract_x,mov_oc_25000_18,mov_oc_35000_18,mov_oc_50000_18,mov_oc_65000_18,mov_oc_75000_18,mov_oc_76000_more_18,mov_os_w_income_18,mov_os_9000_18,mov_os_15000_18,mov_os_25000_18,mov_os_35000_18,mov_os_50000_18,mov_os_65000_18,mov_os_75000_18,mov_os_76000_more_18,mov_fa_w_income_18,mov_fa_9000_18,mov_fa_15000_18,mov_fa_25000_18,mov_fa_35000_18,mov_fa_50000_18,mov_fa_65000_18,mov_fa_75000_18,mov_fa_76000_more_18,FIPS,mhval_12,mhval_12_se,mrent_12,mrent_12_se,mov_wc_w_income_12,mov_wc_9000_12,mov_wc_15000_12,mov_wc_25000_12,mov_wc_35000_12,mov_wc_50000_12,mov_wc_65000_12,mov_wc_75000_12,mov_wc_76000_more_12,mov_oc_w_income_12,mov_oc_9000_12,mov_oc_15000_12,mov_oc_25000_12,mov_oc_35000_12,mov_oc_50000_12,mov_oc_65000_12,mov_oc_75000_12,mov_oc_76000_more_12,mov_os_w_income_12,mov_os_9000_12,mov_os_15000_12,mov_os_25000_12,mov_os_35000_12,mov_os_50000_12,mov_os_65000_12,mov_os_75000_12,mov_os_76000_more_12,mov_fa_w_income_12,mov_fa_9000_12,mov_fa_15000_12,mov_fa_25000_12,mov_fa_35000_12,mov_fa_50000_12,mov_fa_65000_12,mov_fa_75000_12,mov_fa_76000_more_12,iinc_12,state_y,county_y,tract_y
0,560.0,488.0,239.0,58942.0,354400.0,53452.0,1179.0,456.0,496.0,134.0,18.0,11.0,2.0,487.0,38.0,64.0,187.0,52.0,1113.0,21875.0,6.0,18.0,17.0,30.0,3.0,7.0,0.0,0.0,25.0,19.0,8.0,53.0,27.0,3.0,5.0,18.0,12.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400000US06111000100,06,111,000100,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06111000100,357100.0,133224.0,725.0,2514.0,33.0,14.0,0.0,0.0,0.0,0.0,10.0,9.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23269.0,06,111,000100
1,2602.0,277.0,752.0,52250.0,324700.0,19484.0,1065.0,191.0,1589.0,124.0,16.0,10.0,28.0,793.0,64.0,155.0,392.0,360.0,1148.0,19942.0,39.0,38.0,51.0,63.0,35.0,27.0,22.0,45.0,47.0,47.0,91.0,143.0,36.0,47.0,0.0,21.0,49.0,0.0,8.0,8.0,5.0,9.0,19.0,0.0,0.0,41.0,24.0,4.0,1400000US06111000200,06,111,000200,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06111000200,204300.0,59333.0,894.0,182.0,116.0,31.0,24.0,12.0,22.0,7.0,20.0,0.0,0.0,22.0,2.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19682.0,06,111,000200
2,7906.0,1885.0,2331.0,61217.0,369900.0,41139.0,1322.0,133.0,4863.0,411.0,249.0,128.0,13.0,2517.0,175.0,519.0,1245.0,1086.0,1466.0,22772.0,53.0,135.0,138.0,152.0,123.0,51.0,133.0,106.0,101.0,155.0,141.0,581.0,90.0,216.0,98.0,58.0,327.0,50.0,55.0,63.0,28.0,131.0,0.0,0.0,0.0,50.0,0.0,0.0,1400000US06111000302,06,111,000302,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06111000302,290700.0,49833.0,1095.0,106.0,332.0,32.0,30.0,57.0,135.0,49.0,17.0,0.0,12.0,136.0,0.0,0.0,20.0,27.0,46.0,22.0,0.0,21.0,49.0,18.0,0.0,16.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23010.0,06,111,000302
3,5005.0,1261.0,1407.0,74464.0,409800.0,26653.0,1616.0,240.0,3290.0,454.0,89.0,17.0,0.0,1499.0,43.0,153.0,1056.0,351.0,1742.0,28935.0,47.0,12.0,44.0,8.0,37.0,75.0,38.0,102.0,77.0,115.0,153.0,186.0,166.0,69.0,191.0,87.0,181.0,44.0,23.0,75.0,34.0,5.0,0.0,0.0,0.0,73.0,21.0,0.0,1400000US06111000303,06,111,000303,0.0,23.0,0.0,16.0,0.0,13.0,29.0,13.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06111000303,403800.0,51072.0,1753.0,557.0,165.0,42.0,17.0,20.0,0.0,8.0,50.0,0.0,28.0,70.0,9.0,0.0,38.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27024.0,06,111,000303
4,4459.0,965.0,1193.0,73352.0,414100.0,43599.0,1421.0,139.0,2640.0,251.0,37.0,11.0,0.0,1259.0,198.0,164.0,741.0,452.0,1600.0,24006.0,82.0,20.0,42.0,54.0,56.0,28.0,81.0,43.0,92.0,5.0,108.0,206.0,121.0,77.0,142.0,36.0,206.0,49.0,19.0,11.0,77.0,33.0,17.0,0.0,0.0,60.0,0.0,12.0,1400000US06111000304,06,111,000304,21.0,17.0,0.0,7.0,0.0,3.0,18.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06111000304,341200.0,30725.0,1173.0,139.0,118.0,65.0,9.0,0.0,8.0,21.0,11.0,0.0,4.0,54.0,13.0,21.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23409.0,06,111,000304
5,6293.0,1452.0,1744.0,63733.0,378200.0,47703.0,1319.0,73.0,3714.0,439.0,199.0,60.0,38.0,1788.0,178.0,283.0,1132.0,612.0,1257.0,25289.0,85.0,36.0,43.0,103.0,54.0,84.0,83.0,43.0,90.0,132.0,290.0,224.0,222.0,51.0,119.0,85.0,146.0,44.0,4.0,10.0,39.0,8.0,11.0,2.0,28.0,124.0,57.0,20.0,1400000US06111000400,06,111,000400,5.0,10.0,12.0,11.0,0.0,9.0,40.0,39.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06111000400,333100.0,68042.0,1164.0,81.0,312.0,92.0,11.0,112.0,33.0,9.0,0.0,53.0,2.0,113.0,76.0,25.0,0.0,0.0,0.0,0.0,0.0,12.0,96.0,22.0,29.0,0.0,32.0,13.0,0.0,0.0,0.0,24.0,12.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,20116.0,06,111,000400
6,1648.0,590.0,582.0,47308.0,132800.0,44511.0,1387.0,329.0,1128.0,108.0,28.0,6.0,0.0,686.0,91.0,79.0,339.0,243.0,1106.0,27272.0,19.0,32.0,10.0,19.0,85.0,45.0,26.0,19.0,44.0,55.0,39.0,44.0,76.0,32.0,11.0,26.0,68.0,23.0,8.0,0.0,29.0,5.0,0.0,0.0,3.0,21.0,0.0,11.0,1400000US06111000500,06,111,000500,5.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,06111000500,141700.0,65417.0,1131.0,97.0,402.0,96.0,77.0,93.0,73.0,30.0,0.0,0.0,33.0,114.0,57.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,10.0,0.0,0.0,12.0,9.0,0.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19936.0,06,111,000500
7,5976.0,412.0,1880.0,35413.0,360900.0,40206.0,1092.0,49.0,3389.0,165.0,53.0,5.0,0.0,1973.0,263.0,440.0,458.0,1422.0,1131.0,20266.0,129.0,234.0,89.0,185.0,156.0,129.0,211.0,95.0,112.0,159.0,138.0,103.0,49.0,11.0,0.0,80.0,246.0,66.0,46.0,61.0,23.0,28.0,22.0,0.0,0.0,24.0,18.0,6.0,1400000US06111000600,06,111,000600,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06111000600,305400.0,35231.0,959.0,85.0,502.0,143.0,44.0,158.0,102.0,20.0,0.0,0.0,35.0,74.0,45.0,0.0,0.0,11.0,11.0,7.0,0.0,0.0,17.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17677.0,06,111,000600
8,7619.0,527.0,1909.0,51418.0,330900.0,19864.0,1266.0,87.0,4400.0,192.0,94.0,30.0,12.0,1978.0,70.0,65.0,907.0,1002.0,1283.0,19237.0,61.0,125.0,131.0,143.0,109.0,145.0,125.0,86.0,0.0,174.0,235.0,375.0,85.0,36.0,53.0,26.0,257.0,52.0,24.0,132.0,5.0,20.0,23.0,0.0,1.0,48.0,22.0,0.0,1400000US06111000701,06,111,000701,10.0,4.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,06111000701,261800.0,42679.0,1225.0,89.0,856.0,288.0,110.0,201.0,128.0,21.0,53.0,19.0,36.0,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21150.0,06,111,000701
9,3445.0,603.0,931.0,63385.0,379700.0,27487.0,1574.0,190.0,2203.0,221.0,34.0,20.0,0.0,965.0,7.0,4.0,707.0,224.0,1693.0,26766.0,47.0,5.0,36.0,5.0,18.0,32.0,21.0,88.0,43.0,99.0,155.0,103.0,80.0,69.0,127.0,3.0,141.0,17.0,6.0,31.0,0.0,38.0,14.0,18.0,17.0,26.0,0.0,0.0,1400000US06111000702,06,111,000702,26.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,06111000702,342500.0,26992.0,1391.0,189.0,168.0,65.0,12.0,16.0,8.0,62.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23782.0,06,111,000702
10,8556.0,2333.0,2720.0,75559.0,448500.0,40590.0,1278.0,174.0,5454.0,689.0,368.0,117.0,24.0,2867.0,251.0,745.0,1655.0,1065.0,1517.0,31337.0,110.0,7.0,84.0,80.0,135.0,96.0,60.0,135.0,47.0,259.0,311.0,510.0,437.0,181.0,121.0,147.0,526.0,31.0,18.0,103.0,122.0,97.0,65.0,30.0,60.0,224.0,24.0,17.0,1400000US06111000800,06,111,000800,35.0,0.0,3.0,129.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,1.0,06111000800,397700.0,34977.0,1184.0,110.0,297.0,79.0,8.0,7.0,88.0,64.0,51.0,0.0,0.0,97.0,65.0,0.0,9.0,0.0,10.0,8.0,0.0,5.0,116.0,20.0,17.0,22.0,0.0,57.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28224.0,06,111,000800
