,total_hh,lim_english_spanish_hh,lim_english_indoeuro_hh,lim_english_api_hh,lim_english_other_hh,isolated_hh,prop_isolated_hh,prop_isolated_hh_spanish
0,1348,289,42,111,14,456.0,0.33827892,0.2143917
1,1417,267,26,57,0,350.0,0.24700071,0.18842626
2,1881,335,24,0,12,371.0,0.19723551,0.17809676
3,1797,257,14,40,0,311.0,0.17306623,0.14301614
4,727,30,41,0,0,71.0,0.09766162,0.041265473
5,1469,76,0,28,0,104.0,0.07079646,0.051735874
6,1826,236,38,32,78,384.0,0.21029572,0.12924425
7,1117,147,4,45,0,196.0,0.17547001,0.13160251
8,2370,172,4,20,0,196.0,0.082700424,0.07257384
9,1658,19,0,8,0,27.0,0.01628468,0.01145959
10,1672,4,0,0,0,4.0,0.0023923444,0.0023923444
11,2429,10,21,0,0,31.0,0.012762453,0.0041169208
12,2655,13,26,0,0,39.0,0.014689266,0.004896422
13,2091,0,0,0,0,0.0,0.0,0.0
14,1981,10,0,11,0,21.0,0.010600707,0.0050479556
15,2804,72,0,0,0,72.0,0.025677603,0.025677603
16,2568,39,0,12,0,51.0,0.019859813,0.015186916
17,2458,0,0,43,0,43.0,0.017493898,0.0
18,3198,0,49,0,0,49.0,0.015322076,0.0
19,2904,60,0,15,0,75.0,0.025826447,0.020661157
20,1362,8,12,0,0,20.0,0.014684288,0.005873715
21,1098,25,0,5,0,30.0,0.027322404,0.02276867
22,924,0,0,6,0,6.0,0.0064935065,0.0
23,1929,33,8,14,0,55.0,0.028512182,0.01710731
24,2094,0,22,4,0,26.0,0.012416428,0.0
25,2937,19,0,0,0,19.0,0.0064691864,0.0064691864
26,2476,0,19,0,0,19.0,0.0076736673,0.0
27,1975,73,14,0,0,87.0,0.044050634,0.036962025
28,2627,0,0,61,0,61.0,0.023220403,0.0
29,2717,122,0,0,0,122.0,0.044902466,0.044902466
30,1625,0,0,14,0,14.0,0.008615385,0.0
31,2274,22,0,0,0,22.0,0.009674583,0.009674583
32,1217,0,10,5,7,22.0,0.01807724,0.0
33,1203,8,0,25,0,33.0,0.027431421,0.006650042
34,583,0,0,0,0,0.0,0.0,0.0
35,1325,16,0,0,0,16.0,0.012075472,0.012075472
36,2702,11,27,30,0,68.0,0.025166543,0.0040710587
37,413,0,0,3,0,3.0,0.0072639226,0.0
38,760,65,0,6,11,82.0,0.10789473,0.08552632
39,1105,38,0,0,0,38.0,0.034389142,0.034389142
40,1409,39,0,0,0,39.0,0.027679205,0.027679205
41,2438,300,0,24,0,324.0,0.13289581,0.12305168
42,1427,166,0,0,0,166.0,0.116327964,0.116327964
43,1519,213,0,0,0,213.0,0.14022383,0.14022383
44,2442,192,0,22,0,214.0,0.08763309,0.07862408
45,1537,131,0,0,0,131.0,0.08523097,0.08523097
46,1244,153,0,0,0,153.0,0.122990355,0.122990355
47,722,18,0,0,0,18.0,0.024930747,0.024930747
48,1504,43,0,9,0,52.0,0.034574468,0.028590426
49,3282,185,23,0,0,208.0,0.06337599,0.056368068
50,1385,56,0,0,0,56.0,0.040433213,0.040433213
51,1097,58,0,0,0,58.0,0.05287147,0.05287147
52,1859,81,19,22,0,122.0,0.06562668,0.04357181
53,1388,85,0,0,0,85.0,0.061239194,0.061239194
54,1665,138,0,7,0,145.0,0.08708709,0.08288288
55,2663,47,11,52,24,134.0,0.050319187,0.017649267
56,792,20,0,0,0,20.0,0.025252525,0.025252525
57,1571,50,9,0,0,59.0,0.0375557,0.03182686
58,2181,67,0,0,20,87.0,0.039889958,0.030719854
59,1266,16,0,0,0,16.0,0.012638231,0.012638231
60,1213,68,0,0,0,68.0,0.056059357,0.056059357
61,1368,111,0,0,0,111.0,0.081140354,0.081140354
62,1612,139,9,58,0,206.0,0.12779157,0.08622829
63,2002,174,0,31,0,205.0,0.102397606,0.08691309
64,2216,206,0,0,0,206.0,0.09296029,0.09296029
65,2228,200,0,0,0,200.0,0.08976661,0.08976661
66,869,106,0,5,0,111.0,0.12773302,0.12197929
67,1006,116,0,8,0,124.0,0.12326044,0.11530815
68,1267,89,0,38,0,127.0,0.10023678,0.07024467
69,1581,104,35,63,0,202.0,0.12776724,0.065781154
70,1480,40,33,0,0,73.0,0.049324322,0.027027028
71,2383,10,12,12,0,34.0,0.01426773,0.004196391
72,1119,0,27,0,0,27.0,0.024128687,0.0
73,1527,24,0,11,0,35.0,0.02292076,0.015717093
74,1789,22,8,5,0,35.0,0.019564003,0.012297373
75,1687,28,0,10,0,38.0,0.022525193,0.016597511
76,1786,62,0,6,0,68.0,0.03807391,0.034714445
