GEOID,Site_Notes,Miriam_Student_Notes,City,AltType,CommunityComments
13121005800,Change to Advanced Gentrification.  This tract rapidly changed between 2013 and 2018 so it was likely missed in the 2012-17 ACS data.,,Atlanta,Advanced Gentrification,Change to Advanced Gentrification.  This tract rapidly changed between 2013 and 2018 so it was likely missed in the 2012-17 ACS data.
13121002500,Change to At Risk of Gentrification.  Based on adjacency to rapidly changeing neighborhoods and already higher home sale prices than other nearby low-income neighborhoods.,,Atlanta,At Risk of Gentrification,Change to At Risk of Gentrification.  Based on adjacency to rapidly changeing neighborhoods and already higher home sale prices than other nearby low-income neighborhoods.
13121004200,Change to Ongoing Gentrification.  This tract was already showing signs of gentrification in 2013 (based on our analysis).  It has been gentrifying over the proceeding years (albeit not as rapidly as 13121004100 to its west).,,Atlanta,Early/Ongoing Gentrification,Change to Ongoing Gentrification.  This tract was already showing signs of gentrification in 2013 (based on our analysis).  It has been gentrifying over the proceeding years (albeit not as rapidly as 13121004100 to its west).
17031050200,,Labeled as stable/moderate but i think should be recategorized as at risk or becoming exclusive. North Center neighborhood has rising rents,Chicago,At Risk of Becoming Exclusive,Labeled as stable/moderate but i think should be recategorized as at risk or becoming exclusive. North Center neighborhood has rising rents
17031220602,,"Says on early/ongoing but very progressed gentrification. Borders the heart of Logan Square, massive new development of apartments + Target right around the corner",Chicago,Advanced Gentrification,"Says on early/ongoing but very progressed gentrification. Borders the heart of Logan Square, massive new development of apartments + Target right around the corner"
17031240900,,"Tract is labeled low/ moderate income but would expect it to be labeled as early gentrification. Given its proximity to Humboldt Park, we would expect that property values would be higher and that this tract would be gentrifying",Chicago,Early/Ongoing Gentrification,"Tract is labeled low/ moderate income but would expect it to be labeled as early gentrification. Given its proximity to Humboldt Park, we would expect that property values would be higher and that this tract would be gentrifying"
8001009604,"(Just using this tract as an example for the area - south/sw Adams County) This area is interesting because we hear from the community, and have seen in some education data that while the community profile may not be demonstrating displacement of residents, it is actually happening. The replacement just happens to be those with similar lower-incomes.",,Denver,Ongoing Displacement,"(Just using this tract as an example for the area - south/sw Adams County) This area is interesting because we hear from the community, and have seen in some education data that while the community profile may not be demonstrating displacement of residents, it is actually happening. The replacement just happens to be those with similar lower-incomes."
8031003203,"Historically exclusive, old money country club area",,Denver,Stable/Advanced Exclusive,"Historically exclusive, old money country club area"
8001008200,"I'm confused about this tract's designation.This is an area that is definitely lower-income, and does not hold very desirable housing stock.",,Denver,Stable/Low-Income,"This is an area that is definitely lower-income, and does not hold very desirable housing stock."
8031002403,"This area has seen immense development and while there are some subsidized properties, the units coming to the market have definitely elevated existing unit prices that have pushed long-time residents out",,Denver,Ongoing Displacement,"This area has seen immense development and while there are some subsidized properties, the units coming to the market have definitely elevated existing unit prices that have pushed long-time residents out"
